date,value
1990-01-01,8712.0
1990-02-01,8949.0
1990-03-01,9161.0
1990-04-01,9400.0
1990-05-01,9526.0
1990-06-01,9703.0
1990-07-01,9861.0
1990-08-01,9712.0
1990-09-01,9502.0
1990-10-01,9536.0
1990-11-01,9429.0
1990-12-01,9126.0
1991-01-01,8790.0
1991-02-01,8865.0
1991-03-01,9070.0
1991-04-01,9831.0
1991-05-01,9636.0
1991-06-01,9909.0
1991-07-01,9783.0
1991-08-01,10048.0
1991-09-01,10058.0
1991-10-01,9567.0
1991-11-01,9422.0
1991-12-01,9071.0
1992-01-01,9107.0
1992-02-01,9195.0
1992-03-01,9287.0
1992-04-01,9850.0
1992-05-01,10116.0
1992-06-01,10308.0
1992-07-01,10126.0
1992-08-01,9989.0
1992-09-01,10112.0
1992-10-01,9805.0
1992-11-01,9405.0
1992-12-01,9111.0
1993-01-01,9015.0
1993-02-01,9127.0
1993-03-01,9494.0
1993-04-01,9810.0
1993-05-01,9980.0
1993-06-01,10614.0
1993-07-01,10594.0
1993-08-01,9921.0
1993-09-01,9871.0
1993-10-01,9898.0
1993-11-01,9669.0
1993-12-01,9512.0
1994-01-01,9136.0
1994-02-01,9254.0
1994-03-01,9300.0
1994-04-01,10186.0
1994-05-01,10223.0
1994-06-01,10352.0
1994-07-01,10162.0
1994-08-01,10206.0
1994-09-01,10394.0
1994-10-01,10111.0
1994-11-01,9946.0
1994-12-01,9747.0
1995-01-01,9509.0
1995-02-01,9703.0
1995-03-01,9586.0
1995-04-01,10216.0
1995-05-01,10394.0
1995-06-01,10687.0
1995-07-01,10581.0
1995-08-01,10606.0
1995-09-01,10928.0
1995-10-01,10657.0
1995-11-01,10597.0
1995-12-01,10162.0
1996-01-01,9896.0
1996-02-01,9670.0
1996-03-01,9998.0
1996-04-01,9888.0
1996-05-01,10269.0
1996-06-01,10498.0
1996-07-01,10767.0
1996-08-01,10948.0
1996-09-01,10716.0
1996-10-01,10663.0
1996-11-01,10461.0
1996-12-01,10155.0
1997-01-01,9686.0
1997-02-01,9553.0
1997-03-01,10013.0
1997-04-01,10315.0
1997-05-01,10545.0
1997-06-01,10591.0
1997-07-01,10661.0
1997-08-01,10603.0
1997-09-01,10408.0
1997-10-01,10456.0
1997-11-01,10195.0
1997-12-01,9811.0
1998-01-01,10002.0
1998-02-01,10232.0
1998-03-01,10532.0
1998-04-01,10542.0
1998-05-01,10780.0
1998-06-01,10837.0
1998-07-01,10968.0
1998-08-01,10777.0
1998-09-01,10522.0
1998-10-01,10419.0
1998-11-01,10323.0
1998-12-01,9967.0
1999-01-01,9596.0
1999-02-01,9688.0
1999-03-01,9860.0
1999-04-01,10141.0
1999-05-01,10194.0
1999-06-01,10591.0
1999-07-01,10414.0
1999-08-01,10362.0
1999-09-01,10055.0
1999-10-01,9945.0
1999-11-01,9842.0
1999-12-01,9534.0
2000-01-01,9738.0
2000-02-01,9828.0
2000-03-01,9877.0
2000-04-01,10060.0
2000-05-01,10112.0
2000-06-01,10212.0
2000-07-01,10506.0
2000-08-01,10244.0
2000-09-01,10105.0
2000-10-01,10097.0
2000-11-01,9997.0
2000-12-01,10041.0
2001-01-01,10201.0
2001-02-01,10217.0
2001-03-01,10234.0
2001-04-01,10468.0
2001-05-01,10402.0
2001-06-01,10536.0
2001-07-01,10691.0
2001-08-01,10554.0
2001-09-01,10504.0
2001-10-01,10432.0
2001-11-01,10250.0
2001-12-01,10395.0
2002-01-01,10312.0
2002-02-01,10402.0
2002-03-01,10653.0
2002-04-01,10874.0
2002-05-01,10718.0
2002-06-01,11116.0
2002-07-01,10945.0
2002-08-01,10771.0
2002-09-01,11006.0
2002-10-01,11148.0
2002-11-01,10950.0
2002-12-01,10840.0
2003-01-01,10087.0
2003-02-01,9869.0
2003-03-01,10105.0
2003-04-01,10054.0
2003-05-01,10070.0
2003-06-01,10394.0
2003-07-01,10675.0
2003-08-01,10367.0
2003-09-01,10139.0
2003-10-01,10288.0
2003-11-01,10492.0
2003-12-01,10507.0
2004-01-01,10331.0
2004-02-01,10277.0
2004-03-01,10575.0
2004-04-01,10600.0
2004-05-01,10890.0
2004-06-01,11092.0
2004-07-01,11101.0
2004-08-01,11196.0
2004-09-01,10921.0
2004-10-01,10794.0
2004-11-01,10811.0
2004-12-01,10573.0
2005-01-01,10514.0
2005-02-01,10553.0
2005-03-01,10838.0
2005-04-01,10992.0
2005-05-01,11215.0
2005-06-01,11338.0
2005-07-01,11304.0
2005-08-01,11404.0
2005-09-01,11107.0
2005-10-01,11231.0
2005-11-01,10848.0
2005-12-01,10476.0
2006-01-01,10641.0
2006-02-01,10583.0
2006-03-01,10746.0
2006-04-01,11018.0
2006-05-01,11261.0
2006-06-01,11421.0
2006-07-01,11660.0
2006-08-01,11512.0
2006-09-01,11088.0
2006-10-01,11227.0
2006-11-01,11273.0
2006-12-01,11294.0
2007-01-01,10941.0
2007-02-01,10928.0
2007-03-01,11242.0
2007-04-01,11330.0
2007-05-01,11666.0
2007-06-01,11755.0
2007-07-01,11726.0
2007-08-01,11234.0
2007-09-01,11202.0
2007-10-01,11185.0
2007-11-01,11096.0
2007-12-01,11112.0
2008-01-01,10681.0
2008-02-01,10843.0
2008-03-01,10990.0
2008-04-01,11040.0
2008-05-01,11302.0
2008-06-01,11788.0
2008-07-01,11818.0
2008-08-01,11613.0
2008-09-01,11392.0
2008-10-01,11186.0
2008-11-01,11063.0
2008-12-01,11006.0
2009-01-01,10699.0
2009-02-01,10690.0
2009-03-01,10787.0
2009-04-01,10858.0
2009-05-01,11146.0
2009-06-01,11469.0
2009-07-01,11600.0
2009-08-01,11550.0
2009-09-01,11118.0
2009-10-01,10961.0
2009-11-01,10798.0
2009-12-01,10717.0
2010-01-01,10285.0
2010-02-01,10360.0
2010-03-01,10521.0
2010-04-01,10481.0
2010-05-01,10615.0
2010-06-01,10784.0
2010-07-01,11003.0
2010-08-01,10915.0
2010-09-01,11086.0
2010-10-01,10881.0
2010-11-01,10671.0
2010-12-01,10586.0
2011-01-01,10260.0
2011-02-01,10370.0
2011-03-01,10639.0
2011-04-01,10418.0
2011-05-01,10685.0
2011-06-01,11344.0
2011-07-01,11497.0
2011-08-01,11329.0
2011-09-01,11224.0
2011-10-01,10714.0
2011-11-01,10567.0
2011-12-01,10385.0
2012-01-01,10033.0
2012-02-01,10262.0
2012-03-01,10532.0
2012-04-01,10331.0
2012-05-01,10583.0
2012-06-01,11483.0
2012-07-01,11769.0
2012-08-01,11084.0
2012-09-01,10940.0
2012-10-01,10437.0
2012-11-01,10325.0
2012-12-01,10214.0
2013-01-01,9975.0
2013-02-01,10052.0
2013-03-01,10307.0
2013-04-01,10235.0
2013-05-01,10361.0
2013-06-01,10980.0
2013-07-01,11069.0
2013-08-01,10803.0
2013-09-01,10565.0
2013-10-01,10252.0
2013-11-01,10159.0
2013-12-01,10101.0
2014-01-01,9970.0
2014-02-01,10109.0
2014-03-01,10428.0
2014-04-01,10047.0
2014-05-01,10145.0
2014-06-01,10700.0
2014-07-01,10891.0
2014-08-01,10777.0
2014-09-01,10752.0
2014-10-01,10576.0
2014-11-01,10386.0
2014-12-01,10172.0
2015-01-01,10048.0
2015-02-01,10304.0
2015-03-01,10614.0
2015-04-01,10522.0
2015-05-01,10738.0
2015-06-01,11343.0
2015-07-01,11461.0
2015-08-01,10964.0
2015-09-01,10845.0
2015-10-01,10754.0
2015-11-01,10229.0
2015-12-01,10106.0
2016-01-01,9234.0
2016-02-01,9352.0
2016-03-01,9583.0
2016-04-01,9744.0
2016-05-01,9700.0
2016-06-01,10081.0
2016-07-01,10234.0
2016-08-01,9698.0
2016-09-01,9635.0
2016-10-01,9562.0
2016-11-01,9244.0
2016-12-01,9437.0
2017-01-01,9355.0
2017-02-01,9511.0
2017-03-01,9758.0
2017-04-01,9897.0
2017-05-01,9654.0
2017-06-01,9966.0
2017-07-01,10018.0
2017-08-01,9499.0
2017-09-01,9434.0
2017-10-01,9740.0
2017-11-01,9457.0
2017-12-01,9574.0
2018-01-01,9686.0
2018-02-01,9842.0
2018-03-01,9909.0
2018-04-01,9999.0
2018-05-01,9743.0
2018-06-01,9998.0
2018-07-01,10188.0
2018-08-01,9743.0
2018-09-01,9540.0
2018-10-01,9616.0
2018-11-01,9468.0
2018-12-01,9679.0
2019-01-01,9849.0
2019-02-01,9978.0
2019-03-01,9938.0
2019-04-01,9771.0
2019-05-01,9791.0
2019-06-01,9820.0
2019-07-01,9969.0
2019-08-01,9706.0
2019-09-01,9451.0
2019-10-01,9640.0
2019-11-01,9427.0
2019-12-01,9657.0
2020-01-01,9719.0
2020-02-01,9766.0
2020-03-01,9749.0
2020-04-01,9129.0
2020-05-01,9212.0
2020-06-01,9000.0
2020-07-01,9321.0
2020-08-01,8961.0
2020-09-01,8826.0
2020-10-01,8834.0
2020-11-01,8555.0
2020-12-01,8563.0
2021-01-01,8613.0
2021-02-01,8667.0
2021-03-01,8831.0
2021-04-01,8751.0
2021-05-01,8858.0
2021-06-01,8610.0
2021-07-01,9073.0
2021-08-01,8826.0
2021-09-01,8948.0
2021-10-01,8998.0
2021-11-01,8645.0
2021-12-01,8302.0
2022-01-01,8420.0
2022-02-01,8786.0
2022-03-01,8971.0
2022-04-01,8705.0
2022-05-01,9036.0
2022-06-01,8911.0
2022-07-01,9310.0
2022-08-01,9111.0
2022-09-01,9067.0
2022-10-01,9348.0
2022-11-01,8872.0
2022-12-01,9290.0
2023-01-01,8729.0
2023-02-01,9254.0
2023-03-01,9277.0
2023-04-01,8737.0
2023-05-01,8886.0
2023-06-01,8954.0
2023-07-01,9310.0
2023-08-01,9208.0
2023-09-01,8961.0
2023-10-01,9300.0
2023-11-01,9010.0
2023-12-01,9224.0
2024-01-01,8511.0
2024-02-01,9051.0
2024-03-01,9189.0
2024-04-01,8860.0
2024-05-01,8978.0
2024-06-01,9202.0
2024-07-01,9288.0
2024-08-01,9084.0
2024-09-01,8965.0
2024-10-01,9052.0
2024-11-01,8756.0
2024-12-01,8831.0
2025-01-01,8517.0
2025-02-01,8840.0
2025-03-01,9330.0
2025-04-01,9184.0
2025-05-01,9487.0
2025-06-01,9646.0
2025-07-01,9408.0
2025-08-01,9168.0
