date,value
1989-01-01,9.5
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,10.4
1994-01-01,
1995-01-01,9.9
1996-01-01,
1997-01-01,10.7
1998-01-01,10.4
1999-01-01,10.2
2000-01-01,10.3
2001-01-01,9.6
2002-01-01,10.3
2003-01-01,10.8
2004-01-01,11.3
2005-01-01,12.3
2006-01-01,10.3
2007-01-01,12.7
2008-01-01,12.0
2009-01-01,14.4
2010-01-01,14.2
2011-01-01,13.9
2012-01-01,14.0
2013-01-01,14.9
2014-01-01,13.8
2015-01-01,14.8
2016-01-01,14.0
2017-01-01,12.8
2018-01-01,12.9
2019-01-01,12.4
2020-01-01,12.0
2021-01-01,12.0
2022-01-01,12.1
2023-01-01,13.0
