date,value
1970-01-01,16.146
1971-01-01,16.8
1972-01-01,16.7
1973-01-01,16.9
1974-01-01,16.9
1975-01-01,16.8
1976-01-01,16.9
1977-01-01,16.7
1978-01-01,16.7
1979-01-01,16.8
1980-01-01,16.695
1981-01-01,16.727
1982-01-01,16.672
1983-01-01,16.796
1984-01-01,16.934
1985-01-01,17.01
1986-01-01,17.102
1987-01-01,17.221
1988-01-01,17.382
1989-01-01,17.753
1990-01-01,17.869
1991-01-01,18.118
1992-01-01,18.423
1993-01-01,18.46
1994-01-01,18.61
1995-01-01,18.72
1996-01-01,18.864
1997-01-01,19.002
1998-01-01,18.994
1999-01-01,19.015
2000-01-01,19.229
2001-01-01,19.324
2002-01-01,19.438
2003-01-01,19.498
2004-01-01,19.511
2005-01-01,19.69
2006-01-01,19.787
2007-01-01,19.811
2008-01-01,20.179
2009-01-01,20.179
2010-01-01,20.213
2011-01-01,20.258
2012-01-01,19.987
2013-01-01,19.833
2014-01-01,19.801
2015-01-01,19.745
2016-01-01,19.708
2017-01-01,19.486
2018-01-01,19.467
2019-01-01,19.426
2020-01-01,19.124
2021-01-01,19.249
2022-01-01,19.36
2023-01-01,19.441
2024-01-01,19.557
