date,value
1975-01-01,32.35
1976-01-01,33.53
1977-01-01,34.9
1978-01-01,38.16
1979-01-01,42.57
1980-01-01,48.07
1981-01-01,50.29
1982-01-01,51.82
1983-01-01,54.63
1984-01-01,57.59
1985-01-01,61.04
1986-01-01,65.58
1987-01-01,71.1
1988-01-01,79.34
1989-01-01,87.19
1990-01-01,91.09
1991-01-01,92.98
1992-01-01,93.93
1993-01-01,93.9
1994-01-01,93.69
1995-01-01,94.03
1996-01-01,95.29
1997-01-01,94.85
1998-01-01,96.1
1999-01-01,97.17
2000-01-01,100.0
2001-01-01,106.9
2002-01-01,116.99
2003-01-01,129.08
2004-01-01,155.01
2005-01-01,194.13
2006-01-01,227.73
2007-01-01,234.96
2008-01-01,211.69
2009-01-01,169.34
2010-01-01,152.45
2011-01-01,140.34
2012-01-01,135.86
2013-01-01,141.97
2014-01-01,155.65
2015-01-01,165.78
2016-01-01,174.57
2017-01-01,186.27
2018-01-01,194.7
2019-01-01,203.06
2020-01-01,212.8
2021-01-01,236.84
2022-01-01,261.58
2023-01-01,273.54
2024-01-01,285.47
