date,value
1990-01-01,419427.0
1990-02-01,419947.0
1990-03-01,421767.0
1990-04-01,419991.0
1990-05-01,423545.0
1990-06-01,432163.0
1990-07-01,436578.0
1990-08-01,430544.0
1990-09-01,427421.0
1990-10-01,427470.0
1990-11-01,424233.0
1990-12-01,423758.0
1991-01-01,421404.0
1991-02-01,422291.0
1991-03-01,426498.0
1991-04-01,425867.0
1991-05-01,428484.0
1991-06-01,436846.0
1991-07-01,441372.0
1991-08-01,436741.0
1991-09-01,435691.0
1991-10-01,436615.0
1991-11-01,435069.0
1991-12-01,434225.0
1992-01-01,431030.0
1992-02-01,430325.0
1992-03-01,435092.0
1992-04-01,436008.0
1992-05-01,438658.0
1992-06-01,446987.0
1992-07-01,451034.0
1992-08-01,442340.0
1992-09-01,440587.0
1992-10-01,439245.0
1992-11-01,439422.0
1992-12-01,438712.0
1993-01-01,428201.0
1993-02-01,427762.0
1993-03-01,429282.0
1993-04-01,426495.0
1993-05-01,431792.0
1993-06-01,438120.0
1993-07-01,440644.0
1993-08-01,435862.0
1993-09-01,432308.0
1993-10-01,435548.0
1993-11-01,433161.0
1993-12-01,431786.0
1994-01-01,437329.0
1994-02-01,437224.0
1994-03-01,438571.0
1994-04-01,437918.0
1994-05-01,441329.0
1994-06-01,445561.0
1994-07-01,448785.0
1994-08-01,443798.0
1994-09-01,441374.0
1994-10-01,448475.0
1994-11-01,446934.0
1994-12-01,445314.0
1995-01-01,440253.0
1995-02-01,439472.0
1995-03-01,443634.0
1995-04-01,443677.0
1995-05-01,444122.0
1995-06-01,449874.0
1995-07-01,455686.0
1995-08-01,447944.0
1995-09-01,445858.0
1995-10-01,447561.0
1995-11-01,445124.0
1995-12-01,443909.0
1996-01-01,434632.0
1996-02-01,437529.0
1996-03-01,441922.0
1996-04-01,439728.0
1996-05-01,443838.0
1996-06-01,449986.0
1996-07-01,456348.0
1996-08-01,449667.0
1996-09-01,447053.0
1996-10-01,449482.0
1996-11-01,449058.0
1996-12-01,447938.0
1997-01-01,442711.0
1997-02-01,441952.0
1997-03-01,447667.0
1997-04-01,444730.0
1997-05-01,445823.0
1997-06-01,451349.0
1997-07-01,458177.0
1997-08-01,449808.0
1997-09-01,445205.0
1997-10-01,446586.0
1997-11-01,446224.0
1997-12-01,445950.0
1998-01-01,436528.0
1998-02-01,438415.0
1998-03-01,440103.0
1998-04-01,437222.0
1998-05-01,438855.0
1998-06-01,444121.0
1998-07-01,448935.0
1998-08-01,442885.0
1998-09-01,440010.0
1998-10-01,442270.0
1998-11-01,441433.0
1998-12-01,442583.0
1999-01-01,436035.0
1999-02-01,436065.0
1999-03-01,438578.0
1999-04-01,437824.0
1999-05-01,440543.0
1999-06-01,444967.0
1999-07-01,449451.0
1999-08-01,442857.0
1999-09-01,440496.0
1999-10-01,443103.0
1999-11-01,442157.0
1999-12-01,442809.0
2000-01-01,422273.0
2000-02-01,422960.0
2000-03-01,426815.0
2000-04-01,425677.0
2000-05-01,425311.0
2000-06-01,430620.0
2000-07-01,435355.0
2000-08-01,432410.0
2000-09-01,429511.0
2000-10-01,433461.0
2000-11-01,432858.0
2000-12-01,434870.0
2001-01-01,429621.0
2001-02-01,429430.0
2001-03-01,432755.0
2001-04-01,428244.0
2001-05-01,429533.0
2001-06-01,433377.0
2001-07-01,438053.0
2001-08-01,433202.0
2001-09-01,431613.0
2001-10-01,437956.0
2001-11-01,436157.0
2001-12-01,436086.0
2002-01-01,432694.0
2002-02-01,436236.0
2002-03-01,439071.0
2002-04-01,436670.0
2002-05-01,437187.0
2002-06-01,439660.0
2002-07-01,443198.0
2002-08-01,439636.0
2002-09-01,437653.0
2002-10-01,440522.0
2002-11-01,437861.0
2002-12-01,437599.0
2003-01-01,436832.0
2003-02-01,439999.0
2003-03-01,442399.0
2003-04-01,440262.0
2003-05-01,440776.0
2003-06-01,444656.0
2003-07-01,446840.0
2003-08-01,439724.0
2003-09-01,438312.0
2003-10-01,441475.0
2003-11-01,440786.0
2003-12-01,439623.0
2004-01-01,436889.0
2004-02-01,437619.0
2004-03-01,440099.0
2004-04-01,437083.0
2004-05-01,438034.0
2004-06-01,441504.0
2004-07-01,444744.0
2004-08-01,440452.0
2004-09-01,438737.0
2004-10-01,443096.0
2004-11-01,443492.0
2004-12-01,441974.0
2005-01-01,436737.0
2005-02-01,438838.0
2005-03-01,441725.0
2005-04-01,441359.0
2005-05-01,444749.0
2005-06-01,447227.0
2005-07-01,451500.0
2005-08-01,448545.0
2005-09-01,444017.0
2005-10-01,448530.0
2005-11-01,448745.0
2005-12-01,448502.0
2006-01-01,442582.0
2006-02-01,444935.0
2006-03-01,448744.0
2006-04-01,447325.0
2006-05-01,448225.0
2006-06-01,452435.0
2006-07-01,458281.0
2006-08-01,452849.0
2006-09-01,450678.0
2006-10-01,454402.0
2006-11-01,452972.0
2006-12-01,452755.0
2007-01-01,448715.0
2007-02-01,447247.0
2007-03-01,450681.0
2007-04-01,447319.0
2007-05-01,448069.0
2007-06-01,452295.0
2007-07-01,459173.0
2007-08-01,451981.0
2007-09-01,451731.0
2007-10-01,455574.0
2007-11-01,455354.0
2007-12-01,454140.0
2008-01-01,450060.0
2008-02-01,450250.0
2008-03-01,455195.0
2008-04-01,454923.0
2008-05-01,456649.0
2008-06-01,461841.0
2008-07-01,467982.0
2008-08-01,462968.0
2008-09-01,459005.0
2008-10-01,463087.0
2008-11-01,461208.0
2008-12-01,460115.0
2009-01-01,460203.0
2009-02-01,461789.0
2009-03-01,463551.0
2009-04-01,462273.0
2009-05-01,462044.0
2009-06-01,466283.0
2009-07-01,472429.0
2009-08-01,466184.0
2009-09-01,459595.0
2009-10-01,463921.0
2009-11-01,464864.0
2009-12-01,461037.0
2010-01-01,476709.0
2010-02-01,475313.0
2010-03-01,481617.0
2010-04-01,479956.0
2010-05-01,481468.0
2010-06-01,483811.0
2010-07-01,490488.0
2010-08-01,484622.0
2010-09-01,481920.0
2010-10-01,482495.0
2010-11-01,482407.0
2010-12-01,480930.0
2011-01-01,478994.0
2011-02-01,480718.0
2011-03-01,484702.0
2011-04-01,480965.0
2011-05-01,481809.0
2011-06-01,484999.0
2011-07-01,489318.0
2011-08-01,484639.0
2011-09-01,483082.0
2011-10-01,485859.0
2011-11-01,483975.0
2011-12-01,483875.0
2012-01-01,479987.0
2012-02-01,484123.0
2012-03-01,487492.0
2012-04-01,483584.0
2012-05-01,484991.0
2012-06-01,486907.0
2012-07-01,492514.0
2012-08-01,484938.0
2012-09-01,485860.0
2012-10-01,491939.0
2012-11-01,488940.0
2012-12-01,488626.0
2013-01-01,485475.0
2013-02-01,487735.0
2013-03-01,489479.0
2013-04-01,488612.0
2013-05-01,489828.0
2013-06-01,491864.0
2013-07-01,495899.0
2013-08-01,487185.0
2013-09-01,486760.0
2013-10-01,490318.0
2013-11-01,487257.0
2013-12-01,484095.0
2014-01-01,483433.0
2014-02-01,487412.0
2014-03-01,489742.0
2014-04-01,485337.0
2014-05-01,488684.0
2014-06-01,492251.0
2014-07-01,497715.0
2014-08-01,489265.0
2014-09-01,488681.0
2014-10-01,491783.0
2014-11-01,490569.0
2014-12-01,488207.0
2015-01-01,485468.0
2015-02-01,487665.0
2015-03-01,489646.0
2015-04-01,488607.0
2015-05-01,491946.0
2015-06-01,493806.0
2015-07-01,496948.0
2015-08-01,490210.0
2015-09-01,488633.0
2015-10-01,491648.0
2015-11-01,491150.0
2015-12-01,491181.0
2016-01-01,502315.0
2016-02-01,505810.0
2016-03-01,508199.0
2016-04-01,505754.0
2016-05-01,503530.0
2016-06-01,509153.0
2016-07-01,518336.0
2016-08-01,511496.0
2016-09-01,511413.0
2016-10-01,515222.0
2016-11-01,515469.0
2016-12-01,513465.0
2017-01-01,513926.0
2017-02-01,518732.0
2017-03-01,522899.0
2017-04-01,519734.0
2017-05-01,518980.0
2017-06-01,523431.0
2017-07-01,531346.0
2017-08-01,522850.0
2017-09-01,524287.0
2017-10-01,523454.0
2017-11-01,522641.0
2017-12-01,519472.0
2018-01-01,518261.0
2018-02-01,524698.0
2018-03-01,525969.0
2018-04-01,522567.0
2018-05-01,521980.0
2018-06-01,527517.0
2018-07-01,534243.0
2018-08-01,523342.0
2018-09-01,523011.0
2018-10-01,528322.0
2018-11-01,527923.0
2018-12-01,527688.0
2019-01-01,528951.0
2019-02-01,532098.0
2019-03-01,534259.0
2019-04-01,530496.0
2019-05-01,530006.0
2019-06-01,537495.0
2019-07-01,546261.0
2019-08-01,536130.0
2019-09-01,538314.0
2019-10-01,543651.0
2019-11-01,540802.0
2019-12-01,539777.0
2020-01-01,543972.0
2020-02-01,550020.0
2020-03-01,549825.0
2020-04-01,524698.0
2020-05-01,521978.0
2020-06-01,525837.0
2020-07-01,529743.0
2020-08-01,525654.0
2020-09-01,524775.0
2020-10-01,527131.0
2020-11-01,522524.0
2020-12-01,515650.0
2021-01-01,508646.0
2021-02-01,510441.0
2021-03-01,512803.0
2021-04-01,512729.0
2021-05-01,508439.0
2021-06-01,515274.0
2021-07-01,522559.0
2021-08-01,513045.0
2021-09-01,508420.0
2021-10-01,510071.0
2021-11-01,510278.0
2021-12-01,504127.0
2022-01-01,503836.0
2022-02-01,504121.0
2022-03-01,508847.0
2022-04-01,503183.0
2022-05-01,500753.0
2022-06-01,505945.0
2022-07-01,510477.0
2022-08-01,502716.0
2022-09-01,501440.0
2022-10-01,504490.0
2022-11-01,501763.0
2022-12-01,500876.0
2023-01-01,500201.0
2023-02-01,502376.0
2023-03-01,505917.0
2023-04-01,501806.0
2023-05-01,499531.0
2023-06-01,504490.0
2023-07-01,510769.0
2023-08-01,502875.0
2023-09-01,501431.0
2023-10-01,504518.0
2023-11-01,504678.0
2023-12-01,501415.0
2024-01-01,504601.0
2024-02-01,506185.0
2024-03-01,509007.0
2024-04-01,507929.0
2024-05-01,505016.0
2024-06-01,513392.0
2024-07-01,521415.0
2024-08-01,511740.0
2024-09-01,510654.0
2024-10-01,513677.0
2024-11-01,512730.0
2024-12-01,510846.0
2025-01-01,511436.0
2025-02-01,508589.0
2025-03-01,509982.0
2025-04-01,509939.0
2025-05-01,504552.0
2025-06-01,513101.0
2025-07-01,519005.0
2025-08-01,508318.0
