date,value
1990-01-01,4752.0
1991-01-01,3237.0
1992-01-01,4638.0
1993-01-01,5339.0
1994-01-01,4242.0
1995-01-01,3584.0
1996-01-01,3162.0
1997-01-01,3360.0
1998-01-01,4376.0
1999-01-01,2615.0
2000-01-01,3456.0
2001-01-01,3049.0
2002-01-01,2563.0
2003-01-01,2938.0
2004-01-01,1948.0
2005-01-01,3425.0
2006-01-01,3033.0
2007-01-01,2183.0
2008-01-01,1306.0
2009-01-01,1259.0
2010-01-01,707.0
2011-01-01,1227.0
2012-01-01,953.0
2013-01-01,1176.0
2014-01-01,1292.0
2015-01-01,1757.0
2016-01-01,2060.0
2017-01-01,2618.0
2018-01-01,2267.0
2019-01-01,2569.0
2020-01-01,2721.0
2021-01-01,2459.0
2022-01-01,5928.0
2023-01-01,3017.0
2024-01-01,1473.0
