date,value
1990-01-01,10931.0
1990-02-01,11711.0
1990-03-01,11471.0
1990-04-01,11684.0
1990-05-01,13059.0
1990-06-01,15715.0
1990-07-01,15858.0
1990-08-01,16626.0
1990-09-01,17239.0
1990-10-01,17112.0
1990-11-01,17365.0
1990-12-01,16508.0
1991-01-01,17238.0
1991-02-01,18332.0
1991-03-01,18600.0
1991-04-01,17638.0
1991-05-01,20054.0
1991-06-01,22234.0
1991-07-01,21465.0
1991-08-01,21526.0
1991-09-01,21833.0
1991-10-01,22793.0
1991-11-01,21908.0
1991-12-01,21258.0
1992-01-01,22562.0
1992-02-01,23337.0
1992-03-01,23645.0
1992-04-01,23365.0
1992-05-01,24467.0
1992-06-01,27124.0
1992-07-01,26196.0
1992-08-01,24562.0
1992-09-01,25520.0
1992-10-01,24339.0
1992-11-01,24195.0
1992-12-01,22051.0
1993-01-01,22974.0
1993-02-01,23158.0
1993-03-01,21739.0
1993-04-01,21202.0
1993-05-01,22544.0
1993-06-01,25083.0
1993-07-01,24831.0
1993-08-01,23931.0
1993-09-01,22891.0
1993-10-01,23074.0
1993-11-01,21309.0
1993-12-01,20123.0
1994-01-01,20935.0
1994-02-01,20305.0
1994-03-01,19887.0
1994-04-01,19710.0
1994-05-01,19797.0
1994-06-01,21789.0
1994-07-01,21020.0
1994-08-01,20570.0
1994-09-01,20176.0
1994-10-01,21904.0
1994-11-01,20639.0
1994-12-01,18698.0
1995-01-01,20418.0
1995-02-01,18908.0
1995-03-01,19599.0
1995-04-01,20349.0
1995-05-01,20863.0
1995-06-01,23226.0
1995-07-01,22481.0
1995-08-01,22255.0
1995-09-01,22259.0
1995-10-01,21032.0
1995-11-01,20561.0
1995-12-01,19150.0
1996-01-01,18364.0
1996-02-01,20109.0
1996-03-01,20374.0
1996-04-01,20171.0
1996-05-01,22016.0
1996-06-01,22961.0
1996-07-01,23146.0
1996-08-01,21677.0
1996-09-01,22106.0
1996-10-01,22137.0
1996-11-01,21523.0
1996-12-01,20070.0
1997-01-01,21094.0
1997-02-01,20593.0
1997-03-01,20786.0
1997-04-01,20748.0
1997-05-01,20799.0
1997-06-01,23528.0
1997-07-01,22207.0
1997-08-01,21952.0
1997-09-01,21466.0
1997-10-01,22176.0
1997-11-01,21082.0
1997-12-01,19994.0
1998-01-01,19894.0
1998-02-01,21878.0
1998-03-01,19109.0
1998-04-01,17415.0
1998-05-01,17580.0
1998-06-01,19582.0
1998-07-01,18248.0
1998-08-01,17734.0
1998-09-01,17794.0
1998-10-01,17262.0
1998-11-01,15649.0
1998-12-01,14036.0
1999-01-01,15169.0
1999-02-01,16090.0
1999-03-01,14733.0
1999-04-01,15910.0
1999-05-01,15569.0
1999-06-01,16761.0
1999-07-01,16169.0
1999-08-01,14767.0
1999-09-01,14295.0
1999-10-01,14558.0
1999-11-01,13607.0
1999-12-01,12660.0
2000-01-01,15340.0
2000-02-01,15583.0
2000-03-01,15677.0
2000-04-01,14019.0
2000-05-01,15788.0
2000-06-01,17189.0
2000-07-01,17115.0
2000-08-01,17149.0
2000-09-01,16236.0
2000-10-01,16175.0
2000-11-01,15584.0
2000-12-01,14509.0
2001-01-01,16008.0
2001-02-01,16921.0
2001-03-01,16913.0
2001-04-01,15819.0
2001-05-01,15887.0
2001-06-01,18490.0
2001-07-01,19023.0
2001-08-01,20329.0
2001-09-01,20117.0
2001-10-01,22066.0
2001-11-01,21587.0
2001-12-01,20717.0
2002-01-01,22610.0
2002-02-01,22430.0
2002-03-01,22815.0
2002-04-01,21615.0
2002-05-01,20830.0
2002-06-01,22606.0
2002-07-01,21921.0
2002-08-01,21485.0
2002-09-01,19905.0
2002-10-01,20289.0
2002-11-01,20357.0
2002-12-01,19823.0
2003-01-01,21105.0
2003-02-01,22027.0
2003-03-01,21339.0
2003-04-01,20000.0
2003-05-01,20751.0
2003-06-01,23325.0
2003-07-01,21661.0
2003-08-01,20471.0
2003-09-01,19803.0
2003-10-01,19859.0
2003-11-01,19869.0
2003-12-01,18651.0
2004-01-01,20749.0
2004-02-01,19928.0
2004-03-01,20340.0
2004-04-01,18257.0
2004-05-01,18855.0
2004-06-01,21526.0
2004-07-01,21410.0
2004-08-01,20390.0
2004-09-01,19101.0
2004-10-01,19588.0
2004-11-01,19600.0
2004-12-01,19004.0
2005-01-01,21018.0
2005-02-01,22022.0
2005-03-01,20960.0
2005-04-01,19537.0
