date,value
1990-01-01,18066.0
1990-02-01,18155.0
1990-03-01,18117.0
1990-04-01,17949.0
1990-05-01,18004.0
1990-06-01,18213.0
1990-07-01,18302.0
1990-08-01,18092.0
1990-09-01,17833.0
1990-10-01,17924.0
1990-11-01,18041.0
1990-12-01,18043.0
1991-01-01,18271.0
1991-02-01,18184.0
1991-03-01,18172.0
1991-04-01,18064.0
1991-05-01,18064.0
1991-06-01,18380.0
1991-07-01,18486.0
1991-08-01,18294.0
1991-09-01,18284.0
1991-10-01,18337.0
1991-11-01,18386.0
1991-12-01,18497.0
1992-01-01,18624.0
1992-02-01,18653.0
1992-03-01,18739.0
1992-04-01,18570.0
1992-05-01,18472.0
1992-06-01,18757.0
1992-07-01,19032.0
1992-08-01,18820.0
1992-09-01,18388.0
1992-10-01,18422.0
1992-11-01,18536.0
1992-12-01,18585.0
1993-01-01,18941.0
1993-02-01,18923.0
1993-03-01,18897.0
1993-04-01,18662.0
1993-05-01,18723.0
1993-06-01,18847.0
1993-07-01,19309.0
1993-08-01,18950.0
1993-09-01,18633.0
1993-10-01,18718.0
1993-11-01,18799.0
1993-12-01,18900.0
1994-01-01,18856.0
1994-02-01,18923.0
1994-03-01,18964.0
1994-04-01,18847.0
1994-05-01,18878.0
1994-06-01,18957.0
1994-07-01,19253.0
1994-08-01,19113.0
1994-09-01,18828.0
1994-10-01,18933.0
1994-11-01,18981.0
1994-12-01,19004.0
1995-01-01,19349.0
1995-02-01,19438.0
1995-03-01,19446.0
1995-04-01,19286.0
1995-05-01,19238.0
1995-06-01,19601.0
1995-07-01,19661.0
1995-08-01,19445.0
1995-09-01,19321.0
1995-10-01,19280.0
1995-11-01,19370.0
1995-12-01,19315.0
1996-01-01,20159.0
1996-02-01,20179.0
1996-03-01,20243.0
1996-04-01,19999.0
1996-05-01,20021.0
1996-06-01,20199.0
1996-07-01,20648.0
1996-08-01,20400.0
1996-09-01,20226.0
1996-10-01,20399.0
1996-11-01,20312.0
1996-12-01,20334.0
1997-01-01,20747.0
1997-02-01,20787.0
1997-03-01,20875.0
1997-04-01,20648.0
1997-05-01,20735.0
1997-06-01,20961.0
1997-07-01,21115.0
1997-08-01,20831.0
1997-09-01,20382.0
1997-10-01,20621.0
1997-11-01,20778.0
1997-12-01,20827.0
1998-01-01,21008.0
1998-02-01,20946.0
1998-03-01,21107.0
1998-04-01,20766.0
1998-05-01,20865.0
1998-06-01,21081.0
1998-07-01,21058.0
1998-08-01,20880.0
1998-09-01,20762.0
1998-10-01,20956.0
1998-11-01,20975.0
1998-12-01,20929.0
1999-01-01,21283.0
1999-02-01,21287.0
1999-03-01,21328.0
1999-04-01,21210.0
1999-05-01,21303.0
1999-06-01,21490.0
1999-07-01,21750.0
1999-08-01,21481.0
1999-09-01,21166.0
1999-10-01,21391.0
1999-11-01,21442.0
1999-12-01,21389.0
2000-01-01,22448.0
2000-02-01,22464.0
2000-03-01,22590.0
2000-04-01,22536.0
2000-05-01,22587.0
2000-06-01,22796.0
2000-07-01,22980.0
2000-08-01,22779.0
2000-09-01,22586.0
2000-10-01,22847.0
2000-11-01,22864.0
2000-12-01,22985.0
2001-01-01,23075.0
2001-02-01,23079.0
2001-03-01,23222.0
2001-04-01,23016.0
2001-05-01,23030.0
2001-06-01,23294.0
2001-07-01,23452.0
2001-08-01,23016.0
2001-09-01,22941.0
2001-10-01,23105.0
2001-11-01,23137.0
2001-12-01,23157.0
2002-01-01,23523.0
2002-02-01,23709.0
2002-03-01,23805.0
2002-04-01,23626.0
2002-05-01,23719.0
2002-06-01,23950.0
2002-07-01,24090.0
2002-08-01,23757.0
2002-09-01,23575.0
2002-10-01,23698.0
2002-11-01,23618.0
2002-12-01,23647.0
2003-01-01,24117.0
2003-02-01,24180.0
2003-03-01,24295.0
2003-04-01,24230.0
2003-05-01,24226.0
2003-06-01,24334.0
2003-07-01,24383.0
2003-08-01,24174.0
2003-09-01,23988.0
2003-10-01,24241.0
2003-11-01,24285.0
2003-12-01,24195.0
2004-01-01,24447.0
2004-02-01,24392.0
2004-03-01,24465.0
2004-04-01,24272.0
2004-05-01,24344.0
2004-06-01,24608.0
2004-07-01,24830.0
2004-08-01,24446.0
2004-09-01,24251.0
2004-10-01,24547.0
2004-11-01,24652.0
2004-12-01,24570.0
2005-01-01,24725.0
2005-02-01,24782.0
2005-03-01,24886.0
2005-04-01,24910.0
2005-05-01,25087.0
2005-06-01,25373.0
2005-07-01,25646.0
2005-08-01,25340.0
2005-09-01,25172.0
2005-10-01,25403.0
2005-11-01,25435.0
2005-12-01,25506.0
2006-01-01,25755.0
2006-02-01,25759.0
2006-03-01,25927.0
2006-04-01,25989.0
2006-05-01,26015.0
2006-06-01,26364.0
2006-07-01,26553.0
2006-08-01,26217.0
2006-09-01,26044.0
2006-10-01,26269.0
2006-11-01,26287.0
2006-12-01,26327.0
2007-01-01,26296.0
2007-02-01,26194.0
2007-03-01,26371.0
2007-04-01,26160.0
2007-05-01,26215.0
2007-06-01,26543.0
2007-07-01,26807.0
2007-08-01,26445.0
2007-09-01,26338.0
2007-10-01,26491.0
2007-11-01,26566.0
2007-12-01,26482.0
2008-01-01,26871.0
2008-02-01,26774.0
2008-03-01,27014.0
2008-04-01,26973.0
2008-05-01,27064.0
2008-06-01,27334.0
2008-07-01,27533.0
2008-08-01,27200.0
2008-09-01,26999.0
2008-10-01,27309.0
2008-11-01,27253.0
2008-12-01,27249.0
2009-01-01,27430.0
2009-02-01,27332.0
2009-03-01,27481.0
2009-04-01,27386.0
2009-05-01,27343.0
2009-06-01,27589.0
2009-07-01,27681.0
2009-08-01,27327.0
2009-09-01,27225.0
2009-10-01,27344.0
2009-11-01,27415.0
2009-12-01,27258.0
2010-01-01,25877.0
2010-02-01,25964.0
2010-03-01,26292.0
2010-04-01,26173.0
2010-05-01,26106.0
2010-06-01,26280.0
2010-07-01,26620.0
2010-08-01,26390.0
2010-09-01,26386.0
2010-10-01,26451.0
2010-11-01,26325.0
2010-12-01,26233.0
2011-01-01,26109.0
2011-02-01,26229.0
2011-03-01,26550.0
2011-04-01,26148.0
2011-05-01,26395.0
2011-06-01,27061.0
2011-07-01,27203.0
2011-08-01,26903.0
2011-09-01,26912.0
2011-10-01,26802.0
2011-11-01,26754.0
2011-12-01,26657.0
2012-01-01,26200.0
2012-02-01,26436.0
2012-03-01,26719.0
2012-04-01,26378.0
2012-05-01,26589.0
2012-06-01,27610.0
2012-07-01,27719.0
2012-08-01,26992.0
2012-09-01,27086.0
2012-10-01,26825.0
2012-11-01,26709.0
2012-12-01,26643.0
2013-01-01,26309.0
2013-02-01,26395.0
2013-03-01,26643.0
2013-04-01,26442.0
2013-05-01,26572.0
2013-06-01,27210.0
2013-07-01,27269.0
2013-08-01,26828.0
2013-09-01,26695.0
2013-10-01,26413.0
2013-11-01,26370.0
2013-12-01,26223.0
2014-01-01,26148.0
2014-02-01,26276.0
2014-03-01,26663.0
2014-04-01,26322.0
2014-05-01,26256.0
2014-06-01,26784.0
2014-07-01,27013.0
2014-08-01,26773.0
2014-09-01,26638.0
2014-10-01,26738.0
2014-11-01,26565.0
2014-12-01,26318.0
2015-01-01,26299.0
2015-02-01,26397.0
2015-03-01,26751.0
2015-04-01,26678.0
2015-05-01,26800.0
2015-06-01,27438.0
2015-07-01,27523.0
2015-08-01,26961.0
2015-09-01,26904.0
2015-10-01,27109.0
2015-11-01,26647.0
2015-12-01,26602.0
2016-01-01,25690.0
2016-02-01,25819.0
2016-03-01,25994.0
2016-04-01,25987.0
2016-05-01,25872.0
2016-06-01,26229.0
2016-07-01,26372.0
2016-08-01,26007.0
2016-09-01,25985.0
2016-10-01,26193.0
2016-11-01,26018.0
2016-12-01,26135.0
2017-01-01,26311.0
2017-02-01,26470.0
2017-03-01,26638.0
2017-04-01,26593.0
2017-05-01,26438.0
2017-06-01,26817.0
2017-07-01,27007.0
2017-08-01,26596.0
2017-09-01,26730.0
2017-10-01,26813.0
2017-11-01,26718.0
2017-12-01,26712.0
2018-01-01,26943.0
2018-02-01,27158.0
2018-03-01,27256.0
2018-04-01,27072.0
2018-05-01,26921.0
2018-06-01,27204.0
2018-07-01,27342.0
2018-08-01,26858.0
2018-09-01,26931.0
2018-10-01,27169.0
2018-11-01,27188.0
2018-12-01,27281.0
2019-01-01,27431.0
2019-02-01,27620.0
2019-03-01,27658.0
2019-04-01,27377.0
2019-05-01,27397.0
2019-06-01,27641.0
2019-07-01,27844.0
2019-08-01,27597.0
2019-09-01,27523.0
2019-10-01,27832.0
2019-11-01,27786.0
2019-12-01,27905.0
2020-01-01,28104.0
2020-02-01,28194.0
2020-03-01,28120.0
2020-04-01,26794.0
2020-05-01,26629.0
2020-06-01,26556.0
2020-07-01,26600.0
2020-08-01,26365.0
2020-09-01,26114.0
2020-10-01,26366.0
2020-11-01,26088.0
2020-12-01,26058.0
2021-01-01,26565.0
2021-02-01,26592.0
2021-03-01,26826.0
2021-04-01,26656.0
2021-05-01,26854.0
2021-06-01,26891.0
2021-07-01,27182.0
2021-08-01,26909.0
2021-09-01,26742.0
2021-10-01,26905.0
2021-11-01,26773.0
2021-12-01,26807.0
2022-01-01,27234.0
2022-02-01,27417.0
2022-03-01,27609.0
2022-04-01,27346.0
2022-05-01,27708.0
2022-06-01,27787.0
2022-07-01,28002.0
2022-08-01,27855.0
2022-09-01,27717.0
2022-10-01,27781.0
2022-11-01,27400.0
2022-12-01,27638.0
2023-01-01,27799.0
2023-02-01,28013.0
2023-03-01,28316.0
2023-04-01,28082.0
2023-05-01,28267.0
2023-06-01,28500.0
2023-07-01,28720.0
2023-08-01,28559.0
2023-09-01,28472.0
2023-10-01,28597.0
2023-11-01,28542.0
2023-12-01,28492.0
2024-01-01,28399.0
2024-02-01,28583.0
2024-03-01,28979.0
2024-04-01,28561.0
2024-05-01,28616.0
2024-06-01,28979.0
2024-07-01,29145.0
2024-08-01,28920.0
2024-09-01,28790.0
2024-10-01,28838.0
2024-11-01,28571.0
2024-12-01,28522.0
2025-01-01,28350.0
2025-02-01,28236.0
2025-03-01,28745.0
2025-04-01,28572.0
2025-05-01,28708.0
2025-06-01,29208.0
2025-07-01,29158.0
2025-08-01,28758.0
