date,value
2016-07-01,493.0
2016-08-01,489.0
2016-09-01,497.0
2016-10-01,465.0
2016-11-01,440.0
2016-12-01,391.0
2017-01-01,347.0
2017-02-01,358.0
2017-03-01,365.0
2017-04-01,403.0
2017-05-01,420.0
2017-06-01,407.0
2017-07-01,405.0
2017-08-01,401.0
2017-09-01,379.0
2017-10-01,367.0
2017-11-01,395.0
2017-12-01,304.0
2018-01-01,282.0
2018-02-01,272.0
2018-03-01,308.0
2018-04-01,340.0
2018-05-01,356.0
2018-06-01,366.0
2018-07-01,391.0
2018-08-01,394.0
2018-09-01,384.0
2018-10-01,385.0
2018-11-01,383.0
2018-12-01,359.0
2019-01-01,317.0
2019-02-01,310.0
2019-03-01,340.0
2019-04-01,376.0
2019-05-01,394.0
2019-06-01,436.0
2019-07-01,454.0
2019-08-01,454.0
2019-09-01,444.0
2019-10-01,440.0
2019-11-01,405.0
2019-12-01,363.0
2020-01-01,337.0
2020-02-01,346.0
2020-03-01,360.0
2020-04-01,345.0
2020-05-01,334.0
2020-06-01,315.0
2020-07-01,259.0
2020-08-01,214.0
2020-09-01,180.0
2020-10-01,173.0
2020-11-01,169.0
2020-12-01,167.0
2021-01-01,142.0
2021-02-01,133.0
2021-03-01,110.0
2021-04-01,115.0
2021-05-01,129.0
2021-06-01,140.0
2021-07-01,167.0
2021-08-01,173.0
2021-09-01,164.0
2021-10-01,147.0
2021-11-01,128.0
2021-12-01,122.0
2022-01-01,102.0
2022-02-01,91.0
2022-03-01,106.0
2022-04-01,126.0
2022-05-01,139.0
2022-06-01,153.0
2022-07-01,141.0
2022-08-01,130.0
2022-09-01,133.0
2022-10-01,139.0
2022-11-01,134.0
2022-12-01,124.0
2023-01-01,108.0
2023-02-01,102.0
2023-03-01,93.0
2023-04-01,105.0
2023-05-01,103.0
2023-06-01,105.0
2023-07-01,107.0
2023-08-01,120.0
2023-09-01,135.0
2023-10-01,138.0
2023-11-01,132.0
2023-12-01,117.0
2024-01-01,124.0
2024-02-01,119.0
2024-03-01,116.0
2024-04-01,137.0
2024-05-01,142.0
2024-06-01,159.0
2024-07-01,176.0
2024-08-01,175.0
2024-09-01,187.0
2024-10-01,202.0
2024-11-01,213.0
2024-12-01,182.0
2025-01-01,165.0
2025-02-01,177.0
2025-03-01,170.0
2025-04-01,234.0
2025-05-01,243.0
2025-06-01,247.0
2025-07-01,246.0
2025-08-01,248.0
2025-09-01,242.0
2025-10-01,237.0
