date,value
2016-07-01,394900.0
2016-08-01,395000.0
2016-09-01,379225.0
2016-10-01,369000.0
2016-11-01,359450.0
2016-12-01,349000.0
2017-01-01,339950.0
2017-02-01,352950.0
2017-03-01,372450.0
2017-04-01,382500.0
2017-05-01,389225.0
2017-06-01,390863.0
2017-07-01,392500.0
2017-08-01,389900.0
2017-09-01,394750.0
2017-10-01,389900.0
2017-11-01,389450.0
2017-12-01,383000.0
2018-01-01,386263.0
2018-02-01,379900.0
2018-03-01,381900.0
2018-04-01,381900.0
2018-05-01,380425.0
2018-06-01,392900.0
2018-07-01,398950.0
2018-08-01,397450.0
2018-09-01,395000.0
2018-10-01,391450.0
2018-11-01,387454.0
2018-12-01,380000.0
2019-01-01,376750.0
2019-02-01,379950.0
2019-03-01,402281.0
2019-04-01,434745.0
2019-05-01,450528.0
2019-06-01,449900.0
2019-07-01,442623.0
2019-08-01,431236.0
2019-09-01,433915.0
2019-10-01,435202.0
2019-11-01,437495.0
2019-12-01,426225.0
2020-01-01,441213.0
2020-02-01,449900.0
2020-03-01,449450.0
2020-04-01,436933.0
2020-05-01,427500.0
2020-06-01,426975.0
2020-07-01,444675.0
2020-08-01,468400.0
2020-09-01,470169.0
2020-10-01,449900.0
2020-11-01,443450.0
2020-12-01,449950.0
2021-01-01,449900.0
2021-02-01,430998.0
2021-03-01,441175.0
2021-04-01,451198.0
2021-05-01,440000.0
2021-06-01,430000.0
2021-07-01,449000.0
2021-08-01,479050.0
2021-09-01,475700.0
2021-10-01,449700.0
2021-11-01,469000.0
2021-12-01,465000.0
2022-01-01,482000.0
2022-02-01,500473.0
2022-03-01,509498.0
2022-04-01,520990.0
2022-05-01,529720.0
2022-06-01,524950.0
2022-07-01,507900.0
2022-08-01,522500.0
2022-09-01,512500.0
2022-10-01,519000.0
2022-11-01,529450.0
2022-12-01,519000.0
2023-01-01,531175.0
2023-02-01,547925.0
2023-03-01,578500.0
2023-04-01,574999.0
2023-05-01,583345.0
2023-06-01,630900.0
2023-07-01,633400.0
2023-08-01,629550.0
2023-09-01,579990.0
2023-10-01,554973.0
2023-11-01,547500.0
2023-12-01,599800.0
2024-01-01,577495.0
2024-02-01,584700.0
2024-03-01,600000.0
2024-04-01,599700.0
2024-05-01,600000.0
2024-06-01,599000.0
2024-07-01,597000.0
2024-08-01,572450.0
2024-09-01,581100.0
2024-10-01,557125.0
2024-11-01,550000.0
2024-12-01,549900.0
2025-01-01,549450.0
2025-02-01,549925.0
2025-03-01,569101.0
2025-04-01,575000.0
2025-05-01,562628.0
2025-06-01,560000.0
2025-07-01,571450.0
2025-08-01,569000.0
2025-09-01,582375.0
2025-10-01,589025.0
