date,value
1990-01-01,209.0
1991-01-01,306.0
1992-01-01,303.0
1993-01-01,314.0
1994-01-01,473.0
1995-01-01,442.0
1996-01-01,393.0
1997-01-01,400.0
1998-01-01,373.0
1999-01-01,433.0
2000-01-01,419.0
2001-01-01,507.0
2002-01-01,549.0
2003-01-01,318.0
2004-01-01,362.0
2005-01-01,394.0
2006-01-01,431.0
2007-01-01,221.0
2008-01-01,183.0
2009-01-01,152.0
2010-01-01,167.0
2011-01-01,156.0
2012-01-01,184.0
2013-01-01,237.0
2014-01-01,173.0
2015-01-01,168.0
2016-01-01,145.0
2017-01-01,203.0
2018-01-01,279.0
2019-01-01,339.0
2020-01-01,302.0
2021-01-01,428.0
2022-01-01,444.0
2023-01-01,536.0
2024-01-01,356.0
