date,value
1970-01-01,18.422
1971-01-01,19.0
1972-01-01,19.3
1973-01-01,19.5
1974-01-01,19.9
1975-01-01,20.7
1976-01-01,21.9
1977-01-01,23.0
1978-01-01,24.3
1979-01-01,25.2
1980-01-01,25.508
1981-01-01,26.328
1982-01-01,26.583
1983-01-01,27.045
1984-01-01,27.904
1985-01-01,28.722
1986-01-01,29.805
1987-01-01,31.095
1988-01-01,32.291
1989-01-01,33.284
1990-01-01,34.082
1991-01-01,34.579
1992-01-01,34.901
1993-01-01,35.396
1994-01-01,35.691
1995-01-01,36.46
1996-01-01,37.648
1997-01-01,38.461
1998-01-01,39.127
1999-01-01,40.077
2000-01-01,40.782
2001-01-01,41.317
2002-01-01,42.639
2003-01-01,43.848
2004-01-01,44.605
2005-01-01,45.113
2006-01-01,45.991
2007-01-01,46.876
2008-01-01,47.499
2009-01-01,48.041
2010-01-01,47.809
2011-01-01,48.267
2012-01-01,48.506
2013-01-01,48.535
2014-01-01,48.803
2015-01-01,49.012
2016-01-01,49.135
2017-01-01,49.648
2018-01-01,50.279
2019-01-01,50.585
2020-01-01,50.033
2021-01-01,50.921
2022-01-01,51.803
2023-01-01,52.682
2024-01-01,53.688
