date,value
1990-01-01,762.0
1990-02-01,709.0
1990-03-01,533.0
1990-04-01,480.0
1990-05-01,455.0
1990-06-01,576.0
1990-07-01,556.0
1990-08-01,538.0
1990-09-01,510.0
1990-10-01,544.0
1990-11-01,726.0
1990-12-01,781.0
1991-01-01,1231.0
1991-02-01,1151.0
1991-03-01,973.0
1991-04-01,787.0
1991-05-01,788.0
1991-06-01,907.0
1991-07-01,785.0
1991-08-01,873.0
1991-09-01,934.0
1991-10-01,923.0
1991-11-01,973.0
1991-12-01,1142.0
1992-01-01,1513.0
1992-02-01,1593.0
1992-03-01,1486.0
1992-04-01,1239.0
1992-05-01,1070.0
1992-06-01,1188.0
1992-07-01,1145.0
1992-08-01,1110.0
1992-09-01,994.0
1992-10-01,922.0
1992-11-01,1036.0
1992-12-01,1075.0
1993-01-01,1536.0
1993-02-01,1483.0
1993-03-01,1297.0
1993-04-01,1110.0
1993-05-01,1005.0
1993-06-01,949.0
1993-07-01,1079.0
1993-08-01,847.0
1993-09-01,808.0
1993-10-01,767.0
1993-11-01,755.0
1993-12-01,811.0
1994-01-01,1220.0
1994-02-01,1296.0
1994-03-01,1215.0
1994-04-01,1052.0
1994-05-01,891.0
1994-06-01,839.0
1994-07-01,880.0
1994-08-01,849.0
1994-09-01,716.0
1994-10-01,670.0
1994-11-01,671.0
1994-12-01,697.0
1995-01-01,1050.0
1995-02-01,1096.0
1995-03-01,943.0
1995-04-01,765.0
1995-05-01,710.0
1995-06-01,947.0
1995-07-01,886.0
1995-08-01,801.0
1995-09-01,843.0
1995-10-01,705.0
1995-11-01,816.0
1995-12-01,790.0
1996-01-01,1414.0
1996-02-01,1299.0
1996-03-01,1155.0
1996-04-01,867.0
1996-05-01,697.0
1996-06-01,693.0
1996-07-01,926.0
1996-08-01,845.0
1996-09-01,736.0
1996-10-01,720.0
1996-11-01,728.0
1996-12-01,860.0
1997-01-01,1139.0
1997-02-01,1148.0
1997-03-01,1006.0
1997-04-01,764.0
1997-05-01,707.0
1997-06-01,815.0
1997-07-01,837.0
1997-08-01,709.0
1997-09-01,553.0
1997-10-01,637.0
1997-11-01,710.0
1997-12-01,775.0
1998-01-01,1019.0
1998-02-01,937.0
1998-03-01,948.0
1998-04-01,647.0
1998-05-01,691.0
1998-06-01,807.0
1998-07-01,701.0
1998-08-01,671.0
1998-09-01,638.0
1998-10-01,665.0
1998-11-01,653.0
1998-12-01,570.0
1999-01-01,768.0
1999-02-01,809.0
1999-03-01,651.0
1999-04-01,563.0
1999-05-01,504.0
1999-06-01,598.0
1999-07-01,650.0
1999-08-01,600.0
1999-09-01,460.0
1999-10-01,466.0
1999-11-01,506.0
1999-12-01,449.0
2000-01-01,735.0
2000-02-01,763.0
2000-03-01,705.0
2000-04-01,593.0
2000-05-01,680.0
2000-06-01,717.0
2000-07-01,779.0
2000-08-01,786.0
2000-09-01,640.0
2000-10-01,662.0
2000-11-01,646.0
2000-12-01,650.0
2001-01-01,851.0
2001-02-01,862.0
2001-03-01,822.0
2001-04-01,729.0
2001-05-01,705.0
2001-06-01,865.0
2001-07-01,829.0
2001-08-01,831.0
2001-09-01,762.0
2001-10-01,820.0
2001-11-01,824.0
2001-12-01,831.0
2002-01-01,1021.0
2002-02-01,1027.0
2002-03-01,974.0
2002-04-01,864.0
2002-05-01,809.0
2002-06-01,924.0
2002-07-01,872.0
2002-08-01,810.0
2002-09-01,688.0
2002-10-01,742.0
2002-11-01,803.0
2002-12-01,835.0
2003-01-01,1044.0
2003-02-01,1111.0
2003-03-01,1054.0
2003-04-01,956.0
2003-05-01,938.0
2003-06-01,988.0
2003-07-01,962.0
2003-08-01,866.0
2003-09-01,758.0
2003-10-01,815.0
2003-11-01,840.0
2003-12-01,750.0
2004-01-01,1015.0
2004-02-01,1021.0
2004-03-01,962.0
2004-04-01,790.0
2004-05-01,840.0
2004-06-01,937.0
2004-07-01,957.0
2004-08-01,838.0
2004-09-01,733.0
2004-10-01,817.0
2004-11-01,879.0
2004-12-01,838.0
2005-01-01,1042.0
2005-02-01,1085.0
2005-03-01,993.0
2005-04-01,862.0
2005-05-01,874.0
2005-06-01,941.0
2005-07-01,945.0
2005-08-01,852.0
2005-09-01,731.0
2005-10-01,744.0
2005-11-01,836.0
2005-12-01,770.0
2006-01-01,974.0
2006-02-01,941.0
2006-03-01,850.0
2006-04-01,871.0
2006-05-01,845.0
2006-06-01,1010.0
2006-07-01,1009.0
2006-08-01,883.0
2006-09-01,782.0
2006-10-01,759.0
2006-11-01,796.0
2006-12-01,760.0
2007-01-01,993.0
2007-02-01,1004.0
2007-03-01,891.0
2007-04-01,754.0
2007-05-01,736.0
2007-06-01,862.0
2007-07-01,886.0
2007-08-01,792.0
2007-09-01,706.0
2007-10-01,734.0
2007-11-01,716.0
2007-12-01,713.0
2008-01-01,957.0
2008-02-01,959.0
2008-03-01,974.0
2008-04-01,842.0
2008-05-01,952.0
2008-06-01,1118.0
2008-07-01,1159.0
2008-08-01,1154.0
2008-09-01,1116.0
2008-10-01,1250.0
2008-11-01,1330.0
2008-12-01,1458.0
2009-01-01,1890.0
2009-02-01,1928.0
2009-03-01,1939.0
2009-04-01,1717.0
2009-05-01,1755.0
2009-06-01,1842.0
2009-07-01,1825.0
2009-08-01,1773.0
2009-09-01,1840.0
2009-10-01,1894.0
2009-11-01,1964.0
2009-12-01,1957.0
2010-01-01,2207.0
2010-02-01,2249.0
2010-03-01,2191.0
2010-04-01,1911.0
2010-05-01,1860.0
2010-06-01,1920.0
2010-07-01,1981.0
2010-08-01,1941.0
2010-09-01,1789.0
2010-10-01,1745.0
2010-11-01,1808.0
2010-12-01,1761.0
2011-01-01,1978.0
2011-02-01,1980.0
2011-03-01,1900.0
2011-04-01,1692.0
2011-05-01,1737.0
2011-06-01,1893.0
2011-07-01,1910.0
2011-08-01,1844.0
2011-09-01,1747.0
2011-10-01,1740.0
2011-11-01,1710.0
2011-12-01,1720.0
2012-01-01,1871.0
2012-02-01,1878.0
2012-03-01,1791.0
2012-04-01,1597.0
2012-05-01,1614.0
2012-06-01,1789.0
2012-07-01,1769.0
2012-08-01,1685.0
2012-09-01,1540.0
2012-10-01,1511.0
2012-11-01,1520.0
2012-12-01,1546.0
2013-01-01,1787.0
2013-02-01,1719.0
2013-03-01,1662.0
2013-04-01,1502.0
2013-05-01,1596.0
2013-06-01,1722.0
2013-07-01,1631.0
2013-08-01,1562.0
2013-09-01,1424.0
2013-10-01,1401.0
2013-11-01,1365.0
2013-12-01,1279.0
2014-01-01,1470.0
2014-02-01,1498.0
2014-03-01,1487.0
2014-04-01,1231.0
2014-05-01,1287.0
2014-06-01,1369.0
2014-07-01,1424.0
2014-08-01,1382.0
2014-09-01,1202.0
2014-10-01,1212.0
2014-11-01,1241.0
2014-12-01,1185.0
2015-01-01,1433.0
2015-02-01,1357.0
2015-03-01,1322.0
2015-04-01,1135.0
2015-05-01,1200.0
2015-06-01,1258.0
2015-07-01,1252.0
2015-08-01,1160.0
2015-09-01,1089.0
2015-10-01,1113.0
2015-11-01,1087.0
2015-12-01,980.0
2016-01-01,1159.0
2016-02-01,1169.0
2016-03-01,1105.0
2016-04-01,920.0
2016-05-01,885.0
2016-06-01,1022.0
2016-07-01,1035.0
2016-08-01,973.0
2016-09-01,909.0
2016-10-01,954.0
2016-11-01,907.0
2016-12-01,910.0
2017-01-01,1196.0
2017-02-01,1152.0
2017-03-01,1010.0
2017-04-01,852.0
2017-05-01,876.0
2017-06-01,1027.0
2017-07-01,1028.0
2017-08-01,970.0
2017-09-01,891.0
2017-10-01,919.0
2017-11-01,950.0
2017-12-01,888.0
2018-01-01,1134.0
2018-02-01,1116.0
2018-03-01,1012.0
2018-04-01,829.0
2018-05-01,815.0
2018-06-01,987.0
2018-07-01,963.0
2018-08-01,844.0
2018-09-01,765.0
2018-10-01,765.0
2018-11-01,770.0
2018-12-01,766.0
2019-01-01,1018.0
2019-02-01,991.0
2019-03-01,924.0
2019-04-01,700.0
2019-05-01,740.0
2019-06-01,882.0
2019-07-01,930.0
2019-08-01,846.0
2019-09-01,713.0
2019-10-01,725.0
2019-11-01,711.0
2019-12-01,708.0
2020-01-01,931.0
2020-02-01,925.0
2020-03-01,1019.0
2020-04-01,2379.0
2020-05-01,2253.0
2020-06-01,1822.0
2020-07-01,1681.0
2020-08-01,1399.0
2020-09-01,1338.0
2020-10-01,1211.0
2020-11-01,1185.0
2020-12-01,1241.0
2021-01-01,1397.0
2021-02-01,1360.0
2021-03-01,1245.0
2021-04-01,1078.0
2021-05-01,1093.0
2021-06-01,1290.0
2021-07-01,1117.0
2021-08-01,1061.0
2021-09-01,971.0
2021-10-01,906.0
2021-11-01,812.0
2021-12-01,686.0
2022-01-01,872.0
2022-02-01,881.0
2022-03-01,766.0
2022-04-01,579.0
2022-05-01,639.0
2022-06-01,832.0
2022-07-01,778.0
2022-08-01,759.0
2022-09-01,626.0
2022-10-01,654.0
2022-11-01,585.0
2022-12-01,500.0
2023-01-01,629.0
2023-02-01,623.0
2023-03-01,485.0
2023-04-01,331.0
2023-05-01,405.0
2023-06-01,495.0
2023-07-01,539.0
2023-08-01,559.0
2023-09-01,536.0
2023-10-01,575.0
2023-11-01,512.0
2023-12-01,554.0
2024-01-01,693.0
2024-02-01,740.0
2024-03-01,690.0
2024-04-01,557.0
2024-05-01,599.0
2024-06-01,840.0
2024-07-01,856.0
2024-08-01,815.0
2024-09-01,693.0
2024-10-01,733.0
2024-11-01,722.0
2024-12-01,601.0
2025-01-01,685.0
2025-02-01,798.0
2025-03-01,746.0
2025-04-01,671.0
2025-05-01,715.0
2025-06-01,833.0
2025-07-01,871.0
2025-08-01,938.0
