date,value
1990-01-01,10068.0
1990-02-01,8752.0
1990-03-01,11021.0
1990-04-01,11472.0
1990-05-01,11568.0
1990-06-01,11581.0
1990-07-01,11763.0
1990-08-01,11319.0
1990-09-01,11225.0
1990-10-01,11158.0
1990-11-01,11637.0
1990-12-01,11614.0
1991-01-01,11249.0
1991-02-01,11229.0
1991-03-01,11238.0
1991-04-01,11139.0
1991-05-01,11062.0
1991-06-01,10876.0
1991-07-01,10971.0
1991-08-01,10847.0
1991-09-01,10839.0
1991-10-01,10822.0
1991-11-01,11186.0
1991-12-01,11009.0
1992-01-01,11232.0
1992-02-01,11403.0
1992-03-01,11469.0
1992-04-01,11429.0
1992-05-01,11519.0
1992-06-01,11279.0
1992-07-01,11263.0
1992-08-01,10926.0
1992-09-01,10740.0
1992-10-01,10700.0
1992-11-01,10961.0
1992-12-01,10797.0
1993-01-01,11052.0
1993-02-01,11420.0
1993-03-01,11508.0
1993-04-01,11639.0
1993-05-01,11555.0
1993-06-01,12170.0
1993-07-01,11338.0
1993-08-01,11236.0
1993-09-01,11119.0
1993-10-01,11219.0
1993-11-01,11475.0
1993-12-01,11669.0
1994-01-01,11731.0
1994-02-01,11750.0
1994-03-01,11901.0
1994-04-01,11884.0
1994-05-01,11882.0
1994-06-01,12245.0
1994-07-01,11706.0
1994-08-01,11531.0
1994-09-01,11451.0
1994-10-01,11542.0
1994-11-01,11798.0
1994-12-01,12114.0
1995-01-01,11420.0
1995-02-01,11340.0
1995-03-01,11449.0
1995-04-01,11551.0
1995-05-01,11329.0
1995-06-01,11354.0
1995-07-01,11202.0
1995-08-01,11071.0
1995-09-01,10900.0
1995-10-01,11097.0
1995-11-01,11484.0
1995-12-01,11532.0
1996-01-01,11642.0
1996-02-01,11559.0
1996-03-01,11537.0
1996-04-01,11530.0
1996-05-01,11640.0
1996-06-01,11812.0
1996-07-01,11637.0
1996-08-01,11410.0
1996-09-01,11435.0
1996-10-01,11603.0
1996-11-01,11797.0
1996-12-01,11853.0
1997-01-01,11525.0
1997-02-01,11526.0
1997-03-01,11582.0
1997-04-01,11559.0
1997-05-01,11637.0
1997-06-01,11485.0
1997-07-01,11339.0
1997-08-01,11185.0
1997-09-01,11271.0
1997-10-01,11569.0
1997-11-01,11806.0
1997-12-01,11729.0
1998-01-01,12052.0
1998-02-01,12173.0
1998-03-01,12372.0
1998-04-01,12262.0
1998-05-01,12040.0
1998-06-01,11985.0
1998-07-01,11842.0
1998-08-01,11536.0
1998-09-01,11596.0
1998-10-01,11629.0
1998-11-01,11849.0
1998-12-01,11800.0
1999-01-01,11489.0
1999-02-01,11713.0
1999-03-01,11609.0
1999-04-01,11537.0
1999-05-01,11357.0
1999-06-01,11572.0
1999-07-01,11227.0
1999-08-01,10997.0
