date,value
1989-01-01,20.6
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,22.3
1994-01-01,
1995-01-01,21.4
1996-01-01,
1997-01-01,21.8
1998-01-01,19.8
1999-01-01,18.2
2000-01-01,20.8
2001-01-01,20.9
2002-01-01,22.7
2003-01-01,19.4
2004-01-01,19.7
2005-01-01,20.1
2006-01-01,21.1
2007-01-01,23.0
2008-01-01,23.1
2009-01-01,24.0
2010-01-01,19.3
2011-01-01,26.2
2012-01-01,29.6
2013-01-01,28.5
2014-01-01,25.5
2015-01-01,25.8
2016-01-01,24.3
2017-01-01,24.7
2018-01-01,23.4
2019-01-01,23.6
2020-01-01,22.2
2021-01-01,23.6
2022-01-01,22.2
2023-01-01,22.9
