date,value
1990-01-01,144.0
1991-01-01,113.0
1992-01-01,118.0
1993-01-01,77.0
1994-01-01,90.0
1995-01-01,83.0
1996-01-01,77.0
1997-01-01,71.0
1998-01-01,99.0
1999-01-01,66.0
2000-01-01,27.0
2001-01-01,45.0
2002-01-01,74.0
2003-01-01,230.0
2004-01-01,185.0
2005-01-01,209.0
2006-01-01,135.0
2007-01-01,164.0
2008-01-01,44.0
2009-01-01,125.0
2010-01-01,48.0
2011-01-01,62.0
2012-01-01,15.0
2013-01-01,28.0
2014-01-01,140.0
2015-01-01,181.0
2016-01-01,25.0
2017-01-01,16.0
2018-01-01,36.0
2019-01-01,25.0
2020-01-01,20.0
2021-01-01,62.0
2022-01-01,39.0
2023-01-01,51.0
2024-01-01,47.0
