date,value
1990-01-01,1438.0
1990-02-01,1595.0
1990-03-01,1549.0
1990-04-01,2056.0
1990-05-01,1858.0
1990-06-01,1775.0
1990-07-01,1725.0
1990-08-01,1459.0
1990-09-01,1264.0
1990-10-01,1222.0
1990-11-01,1828.0
1990-12-01,1854.0
1991-01-01,1812.0
1991-02-01,1772.0
1991-03-01,1715.0
1991-04-01,1486.0
1991-05-01,1348.0
1991-06-01,1089.0
1991-07-01,996.0
1991-08-01,1031.0
1991-09-01,1057.0
1991-10-01,1078.0
1991-11-01,1528.0
1991-12-01,1473.0
1992-01-01,1780.0
1992-02-01,1873.0
1992-03-01,1798.0
1992-04-01,1688.0
1992-05-01,1541.0
1992-06-01,1207.0
1992-07-01,1162.0
1992-08-01,992.0
1992-09-01,799.0
1992-10-01,763.0
1992-11-01,1105.0
1992-12-01,993.0
1993-01-01,1521.0
1993-02-01,1719.0
1993-03-01,1653.0
1993-04-01,1595.0
1993-05-01,1407.0
1993-06-01,1502.0
1993-07-01,1026.0
1993-08-01,1076.0
1993-09-01,1025.0
1993-10-01,985.0
1993-11-01,1262.0
1993-12-01,1369.0
1994-01-01,1815.0
1994-02-01,1765.0
1994-03-01,1679.0
1994-04-01,1642.0
1994-05-01,1404.0
1994-06-01,1647.0
1994-07-01,1065.0
1994-08-01,1010.0
1994-09-01,868.0
1994-10-01,900.0
1994-11-01,1116.0
1994-12-01,1308.0
1995-01-01,1618.0
1995-02-01,1475.0
1995-03-01,1465.0
1995-04-01,1615.0
1995-05-01,1312.0
1995-06-01,1195.0
1995-07-01,877.0
1995-08-01,819.0
1995-09-01,704.0
1995-10-01,799.0
1995-11-01,1176.0
1995-12-01,1289.0
1996-01-01,1444.0
1996-02-01,1512.0
1996-03-01,1420.0
1996-04-01,1396.0
1996-05-01,1327.0
1996-06-01,1319.0
1996-07-01,988.0
1996-08-01,786.0
1996-09-01,731.0
1996-10-01,807.0
1996-11-01,1046.0
1996-12-01,1104.0
1997-01-01,1433.0
1997-02-01,1419.0
1997-03-01,1325.0
1997-04-01,1212.0
1997-05-01,1148.0
1997-06-01,1012.0
1997-07-01,772.0
1997-08-01,731.0
1997-09-01,714.0
1997-10-01,791.0
1997-11-01,1087.0
1997-12-01,1182.0
1998-01-01,1340.0
1998-02-01,1370.0
1998-03-01,1481.0
1998-04-01,1343.0
1998-05-01,1093.0
1998-06-01,1171.0
1998-07-01,863.0
1998-08-01,779.0
1998-09-01,747.0
1998-10-01,746.0
