date,value
1993-01-01,82.5
1994-01-01,87.74
1995-01-01,88.52
1996-01-01,92.47
1997-01-01,94.27
1998-01-01,96.2
1999-01-01,97.96
2000-01-01,100.0
2001-01-01,105.74
2002-01-01,111.99
2003-01-01,119.99
2004-01-01,142.98
2005-01-01,176.55
2006-01-01,200.05
2007-01-01,203.57
2008-01-01,192.13
2009-01-01,174.98
2010-01-01,164.3
2011-01-01,158.09
2012-01-01,154.89
2013-01-01,156.77
2014-01-01,156.59
2015-01-01,157.03
2016-01-01,157.76
2017-01-01,160.9
2018-01-01,164.86
2019-01-01,171.98
2020-01-01,176.55
2021-01-01,191.87
2022-01-01,211.65
2023-01-01,224.17
2024-01-01,236.1
