date,value
1990-01-01,36793.0
1990-02-01,37129.0
1990-03-01,37043.0
1990-04-01,37335.0
1990-05-01,37742.0
1990-06-01,38259.0
1990-07-01,39431.0
1990-08-01,39312.0
1990-09-01,38361.0
1990-10-01,38802.0
1990-11-01,38871.0
1990-12-01,38872.0
1991-01-01,38953.0
1991-02-01,39101.0
1991-03-01,39419.0
1991-04-01,39659.0
1991-05-01,39731.0
1991-06-01,41285.0
1991-07-01,40944.0
1991-08-01,40743.0
1991-09-01,40293.0
1991-10-01,40441.0
1991-11-01,40196.0
1991-12-01,40306.0
1992-01-01,38603.0
1992-02-01,38751.0
1992-03-01,39372.0
1992-04-01,39024.0
1992-05-01,39468.0
1992-06-01,40413.0
1992-07-01,41279.0
1992-08-01,40433.0
1992-09-01,39631.0
1992-10-01,40064.0
1992-11-01,39668.0
1992-12-01,38767.0
1993-01-01,39632.0
1993-02-01,39837.0
1993-03-01,40059.0
1993-04-01,40307.0
1993-05-01,40512.0
1993-06-01,42416.0
1993-07-01,41662.0
1993-08-01,41257.0
1993-09-01,40552.0
1993-10-01,41096.0
1993-11-01,40873.0
1993-12-01,40957.0
1994-01-01,39575.0
1994-02-01,39832.0
1994-03-01,40348.0
1994-04-01,39697.0
1994-05-01,40363.0
1994-06-01,41002.0
1994-07-01,42098.0
1994-08-01,41478.0
1994-09-01,40732.0
1994-10-01,41422.0
1994-11-01,41395.0
1994-12-01,40887.0
1995-01-01,40937.0
1995-02-01,41120.0
1995-03-01,41570.0
1995-04-01,41108.0
1995-05-01,41156.0
1995-06-01,42110.0
1995-07-01,43337.0
1995-08-01,42571.0
1995-09-01,41648.0
1995-10-01,42366.0
1995-11-01,42240.0
1995-12-01,41441.0
1996-01-01,42940.0
1996-02-01,42722.0
1996-03-01,43034.0
1996-04-01,43267.0
1996-05-01,43981.0
1996-06-01,45093.0
1996-07-01,46223.0
1996-08-01,46171.0
1996-09-01,45848.0
1996-10-01,46294.0
1996-11-01,45843.0
1996-12-01,45418.0
1997-01-01,46481.0
1997-02-01,46277.0
1997-03-01,47007.0
1997-04-01,46935.0
1997-05-01,47685.0
1997-06-01,48378.0
1997-07-01,49632.0
1997-08-01,49693.0
1997-09-01,50832.0
1997-10-01,51957.0
1997-11-01,51997.0
1997-12-01,51442.0
1998-01-01,45629.0
1998-02-01,45948.0
1998-03-01,46222.0
1998-04-01,46083.0
1998-05-01,46136.0
1998-06-01,46585.0
1998-07-01,47620.0
1998-08-01,46942.0
1998-09-01,46780.0
1998-10-01,47081.0
1998-11-01,47131.0
1998-12-01,46761.0
1999-01-01,48208.0
1999-02-01,48381.0
1999-03-01,48600.0
1999-04-01,47928.0
1999-05-01,47663.0
1999-06-01,49039.0
1999-07-01,49908.0
1999-08-01,49716.0
1999-09-01,51039.0
1999-10-01,51397.0
1999-11-01,51782.0
1999-12-01,51498.0
2000-01-01,43764.0
2000-02-01,43812.0
2000-03-01,44224.0
2000-04-01,44016.0
2000-05-01,43731.0
2000-06-01,44348.0
2000-07-01,45293.0
2000-08-01,45132.0
2000-09-01,44475.0
2000-10-01,44518.0
2000-11-01,44540.0
2000-12-01,44402.0
2001-01-01,45170.0
2001-02-01,45037.0
2001-03-01,45304.0
2001-04-01,44979.0
2001-05-01,44935.0
2001-06-01,46135.0
2001-07-01,46479.0
2001-08-01,45555.0
2001-09-01,45256.0
2001-10-01,46357.0
2001-11-01,46189.0
2001-12-01,46280.0
2002-01-01,46666.0
2002-02-01,47042.0
2002-03-01,47350.0
2002-04-01,46922.0
2002-05-01,46953.0
2002-06-01,47792.0
2002-07-01,48564.0
2002-08-01,47846.0
2002-09-01,47560.0
2002-10-01,47960.0
2002-11-01,47814.0
2002-12-01,47814.0
2003-01-01,47916.0
2003-02-01,48026.0
2003-03-01,48159.0
2003-04-01,48232.0
2003-05-01,48144.0
2003-06-01,49141.0
2003-07-01,49489.0
2003-08-01,48591.0
2003-09-01,48309.0
2003-10-01,48866.0
2003-11-01,49055.0
2003-12-01,48897.0
2004-01-01,49097.0
2004-02-01,49043.0
2004-03-01,49063.0
2004-04-01,48969.0
2004-05-01,49136.0
2004-06-01,49537.0
2004-07-01,49842.0
2004-08-01,49334.0
2004-09-01,48654.0
2004-10-01,49060.0
2004-11-01,49209.0
2004-12-01,48945.0
2005-01-01,48773.0
2005-02-01,48746.0
2005-03-01,49325.0
2005-04-01,48977.0
2005-05-01,49290.0
2005-06-01,49969.0
2005-07-01,50663.0
2005-08-01,50402.0
2005-09-01,49214.0
2005-10-01,49340.0
2005-11-01,49446.0
2005-12-01,49240.0
2006-01-01,50571.0
2006-02-01,50560.0
2006-03-01,51069.0
2006-04-01,50639.0
2006-05-01,50707.0
2006-06-01,51704.0
2006-07-01,52091.0
2006-08-01,51531.0
2006-09-01,50625.0
2006-10-01,51274.0
2006-11-01,51252.0
2006-12-01,51315.0
2007-01-01,51049.0
2007-02-01,50772.0
2007-03-01,51188.0
2007-04-01,50595.0
2007-05-01,50906.0
2007-06-01,51820.0
2007-07-01,52753.0
2007-08-01,51996.0
2007-09-01,51698.0
2007-10-01,51938.0
2007-11-01,51888.0
2007-12-01,51841.0
2008-01-01,52086.0
2008-02-01,51932.0
2008-03-01,52433.0
2008-04-01,52216.0
2008-05-01,52558.0
2008-06-01,53651.0
2008-07-01,54617.0
2008-08-01,53920.0
2008-09-01,53015.0
2008-10-01,53537.0
2008-11-01,53265.0
2008-12-01,53345.0
2009-01-01,53168.0
2009-02-01,53400.0
2009-03-01,53761.0
2009-04-01,53750.0
2009-05-01,54016.0
2009-06-01,55001.0
2009-07-01,55897.0
2009-08-01,55468.0
2009-09-01,54360.0
2009-10-01,54902.0
2009-11-01,54902.0
2009-12-01,54657.0
2010-01-01,52991.0
2010-02-01,53016.0
2010-03-01,53537.0
2010-04-01,53491.0
2010-05-01,53657.0
2010-06-01,54449.0
2010-07-01,54769.0
2010-08-01,54499.0
2010-09-01,54080.0
2010-10-01,54012.0
2010-11-01,53939.0
2010-12-01,53837.0
2011-01-01,54031.0
2011-02-01,54039.0
2011-03-01,54387.0
2011-04-01,53713.0
2011-05-01,54053.0
2011-06-01,55153.0
2011-07-01,55047.0
2011-08-01,54677.0
2011-09-01,54124.0
2011-10-01,54393.0
2011-11-01,54280.0
2011-12-01,54177.0
2012-01-01,54148.0
2012-02-01,54179.0
2012-03-01,54733.0
2012-04-01,54236.0
2012-05-01,54378.0
2012-06-01,55768.0
2012-07-01,55801.0
2012-08-01,54878.0
2012-09-01,54499.0
2012-10-01,54638.0
2012-11-01,54502.0
2012-12-01,54414.0
2013-01-01,54497.0
2013-02-01,54523.0
2013-03-01,54693.0
2013-04-01,54344.0
2013-05-01,54690.0
2013-06-01,55483.0
2013-07-01,55483.0
2013-08-01,54776.0
2013-09-01,54275.0
2013-10-01,54110.0
2013-11-01,54107.0
2013-12-01,53778.0
2014-01-01,54160.0
2014-02-01,54345.0
2014-03-01,54700.0
2014-04-01,53987.0
2014-05-01,54362.0
2014-06-01,55071.0
2014-07-01,55476.0
2014-08-01,54809.0
2014-09-01,54075.0
2014-10-01,54392.0
2014-11-01,54067.0
2014-12-01,53659.0
2015-01-01,54605.0
2015-02-01,54827.0
2015-03-01,55262.0
2015-04-01,54895.0
2015-05-01,55191.0
2015-06-01,55889.0
2015-07-01,55964.0
2015-08-01,55180.0
2015-09-01,54686.0
2015-10-01,54936.0
2015-11-01,54645.0
2015-12-01,54371.0
2016-01-01,56707.0
2016-02-01,57446.0
2016-03-01,57840.0
2016-04-01,57165.0
2016-05-01,57111.0
2016-06-01,58378.0
2016-07-01,58615.0
2016-08-01,57737.0
2016-09-01,57121.0
2016-10-01,57826.0
2016-11-01,57417.0
2016-12-01,58080.0
2017-01-01,58352.0
2017-02-01,59010.0
2017-03-01,59180.0
2017-04-01,58853.0
2017-05-01,58484.0
2017-06-01,59483.0
2017-07-01,59565.0
2017-08-01,58337.0
2017-09-01,57924.0
2017-10-01,58183.0
2017-11-01,57486.0
2017-12-01,57208.0
2018-01-01,57347.0
