date,value
2016-07-01,738.0
2016-08-01,742.0
2016-09-01,709.0
2016-10-01,667.0
2016-11-01,641.0
2016-12-01,588.0
2017-01-01,574.0
2017-02-01,553.0
2017-03-01,567.0
2017-04-01,574.0
2017-05-01,602.0
2017-06-01,601.0
2017-07-01,599.0
2017-08-01,579.0
2017-09-01,531.0
2017-10-01,525.0
2017-11-01,535.0
2017-12-01,514.0
2018-01-01,448.0
2018-02-01,447.0
2018-03-01,457.0
2018-04-01,478.0
2018-05-01,513.0
2018-06-01,557.0
2018-07-01,581.0
2018-08-01,558.0
2018-09-01,549.0
2018-10-01,558.0
2018-11-01,507.0
2018-12-01,458.0
2019-01-01,429.0
2019-02-01,429.0
2019-03-01,432.0
2019-04-01,432.0
2019-05-01,465.0
2019-06-01,498.0
2019-07-01,482.0
2019-08-01,454.0
2019-09-01,440.0
2019-10-01,430.0
2019-11-01,397.0
2019-12-01,361.0
2020-01-01,317.0
2020-02-01,309.0
2020-03-01,318.0
2020-04-01,310.0
2020-05-01,289.0
2020-06-01,247.0
2020-07-01,212.0
2020-08-01,165.0
2020-09-01,172.0
2020-10-01,190.0
2020-11-01,193.0
2020-12-01,169.0
2021-01-01,145.0
2021-02-01,129.0
2021-03-01,128.0
2021-04-01,129.0
2021-05-01,143.0
2021-06-01,172.0
2021-07-01,184.0
2021-08-01,204.0
2021-09-01,186.0
2021-10-01,162.0
2021-11-01,145.0
2021-12-01,148.0
2022-01-01,110.0
2022-02-01,98.0
2022-03-01,104.0
2022-04-01,131.0
2022-05-01,161.0
2022-06-01,191.0
2022-07-01,220.0
2022-08-01,230.0
2022-09-01,206.0
2022-10-01,227.0
2022-11-01,223.0
2022-12-01,177.0
2023-01-01,164.0
2023-02-01,150.0
2023-03-01,141.0
2023-04-01,141.0
2023-05-01,149.0
2023-06-01,147.0
2023-07-01,161.0
2023-08-01,156.0
2023-09-01,152.0
2023-10-01,160.0
2023-11-01,160.0
2023-12-01,151.0
2024-01-01,135.0
2024-02-01,128.0
2024-03-01,132.0
2024-04-01,151.0
2024-05-01,175.0
2024-06-01,175.0
2024-07-01,177.0
2024-08-01,178.0
2024-09-01,192.0
2024-10-01,212.0
2024-11-01,192.0
2024-12-01,187.0
2025-01-01,145.0
2025-02-01,141.0
2025-03-01,185.0
2025-04-01,211.0
2025-05-01,227.0
2025-06-01,255.0
2025-07-01,251.0
2025-08-01,239.0
2025-09-01,238.0
2025-10-01,233.0
