date,value
1990-01-01,1371.0
1990-02-01,1488.0
1990-03-01,1293.0
1990-04-01,1322.0
1990-05-01,1384.0
1990-06-01,1745.0
1990-07-01,1766.0
1990-08-01,1782.0
1990-09-01,1612.0
1990-10-01,1638.0
1990-11-01,1745.0
1990-12-01,1702.0
1991-01-01,2084.0
1991-02-01,2328.0
1991-03-01,2194.0
1991-04-01,1830.0
1991-05-01,2083.0
1991-06-01,2353.0
1991-07-01,2181.0
1991-08-01,2106.0
1991-09-01,2033.0
1991-10-01,2098.0
1991-11-01,2071.0
1991-12-01,2110.0
1992-01-01,2442.0
1992-02-01,2595.0
1992-03-01,2585.0
1992-04-01,2315.0
1992-05-01,2549.0
1992-06-01,3010.0
1992-07-01,2833.0
1992-08-01,2650.0
1992-09-01,2541.0
1992-10-01,2481.0
1992-11-01,2503.0
1992-12-01,2310.0
1993-01-01,2616.0
1993-02-01,2573.0
1993-03-01,2353.0
1993-04-01,2199.0
1993-05-01,2216.0
1993-06-01,2430.0
1993-07-01,2477.0
1993-08-01,2342.0
1993-09-01,2001.0
1993-10-01,2338.0
1993-11-01,1994.0
1993-12-01,1905.0
1994-01-01,2232.0
1994-02-01,2380.0
1994-03-01,2078.0
1994-04-01,1836.0
1994-05-01,1816.0
1994-06-01,2071.0
1994-07-01,2096.0
1994-08-01,2025.0
1994-09-01,1809.0
1994-10-01,1863.0
1994-11-01,1761.0
1994-12-01,1669.0
1995-01-01,1989.0
1995-02-01,2023.0
1995-03-01,1969.0
1995-04-01,1968.0
1995-05-01,1964.0
1995-06-01,2358.0
1995-07-01,2372.0
1995-08-01,2148.0
1995-09-01,1987.0
1995-10-01,1942.0
1995-11-01,2003.0
1995-12-01,1835.0
1996-01-01,2098.0
1996-02-01,2291.0
1996-03-01,2142.0
1996-04-01,1939.0
1996-05-01,2063.0
1996-06-01,2172.0
1996-07-01,2360.0
1996-08-01,2083.0
1996-09-01,1912.0
1996-10-01,1992.0
1996-11-01,1911.0
1996-12-01,1893.0
1997-01-01,2249.0
1997-02-01,2174.0
1997-03-01,2062.0
1997-04-01,1939.0
1997-05-01,2093.0
1997-06-01,2301.0
1997-07-01,2190.0
1997-08-01,2068.0
1997-09-01,1830.0
1997-10-01,2011.0
1997-11-01,1899.0
1997-12-01,1720.0
1998-01-01,1797.0
1998-02-01,1927.0
1998-03-01,1977.0
1998-04-01,1625.0
1998-05-01,1762.0
1998-06-01,2161.0
1998-07-01,1912.0
1998-08-01,1749.0
1998-09-01,1506.0
1998-10-01,1515.0
1998-11-01,1414.0
1998-12-01,1223.0
1999-01-01,1568.0
1999-02-01,1619.0
1999-03-01,1483.0
1999-04-01,1330.0
1999-05-01,1371.0
1999-06-01,1737.0
1999-07-01,1878.0
1999-08-01,1629.0
1999-09-01,1405.0
1999-10-01,1449.0
1999-11-01,1336.0
1999-12-01,1212.0
2000-01-01,1422.0
2000-02-01,1520.0
2000-03-01,1485.0
2000-04-01,1279.0
2000-05-01,1466.0
2000-06-01,1595.0
2000-07-01,1657.0
2000-08-01,1602.0
2000-09-01,1308.0
2000-10-01,1350.0
2000-11-01,1361.0
2000-12-01,1259.0
2001-01-01,1540.0
2001-02-01,1568.0
2001-03-01,1507.0
2001-04-01,1340.0
2001-05-01,1363.0
2001-06-01,1738.0
2001-07-01,1707.0
2001-08-01,1694.0
2001-09-01,1527.0
2001-10-01,1647.0
2001-11-01,1624.0
2001-12-01,1585.0
2002-01-01,1907.0
2002-02-01,1943.0
2002-03-01,1870.0
2002-04-01,1691.0
2002-05-01,1671.0
2002-06-01,1914.0
2002-07-01,1918.0
2002-08-01,1820.0
2002-09-01,1450.0
2002-10-01,1508.0
2002-11-01,1569.0
2002-12-01,1504.0
2003-01-01,1778.0
2003-02-01,1824.0
2003-03-01,1759.0
2003-04-01,1589.0
2003-05-01,1657.0
2003-06-01,1922.0
2003-07-01,1928.0
2003-08-01,1737.0
2003-09-01,1501.0
2003-10-01,1567.0
2003-11-01,1574.0
2003-12-01,1453.0
2004-01-01,1802.0
2004-02-01,1717.0
2004-03-01,1742.0
2004-04-01,1484.0
2004-05-01,1602.0
2004-06-01,1872.0
2004-07-01,1991.0
2004-08-01,1781.0
2004-09-01,1487.0
2004-10-01,1616.0
2004-11-01,1660.0
2004-12-01,1587.0
2005-01-01,1895.0
2005-02-01,1998.0
2005-03-01,1919.0
2005-04-01,1704.0
2005-05-01,1677.0
2005-06-01,1943.0
2005-07-01,2004.0
2005-08-01,1862.0
2005-09-01,1507.0
2005-10-01,1523.0
2005-11-01,1654.0
2005-12-01,1456.0
2006-01-01,1675.0
2006-02-01,1634.0
2006-03-01,1589.0
2006-04-01,1536.0
2006-05-01,1681.0
2006-06-01,2058.0
2006-07-01,2180.0
2006-08-01,1948.0
2006-09-01,1622.0
2006-10-01,1603.0
2006-11-01,1596.0
2006-12-01,1453.0
2007-01-01,1762.0
2007-02-01,1678.0
2007-03-01,1536.0
2007-04-01,1341.0
2007-05-01,1408.0
2007-06-01,1811.0
2007-07-01,1760.0
2007-08-01,1546.0
2007-09-01,1400.0
2007-10-01,1408.0
2007-11-01,1276.0
2007-12-01,1253.0
2008-01-01,1494.0
2008-02-01,1501.0
2008-03-01,1571.0
2008-04-01,1419.0
2008-05-01,1743.0
2008-06-01,2203.0
2008-07-01,2332.0
2008-08-01,2260.0
2008-09-01,2088.0
2008-10-01,2215.0
2008-11-01,2229.0
2008-12-01,2291.0
2009-01-01,2830.0
2009-02-01,3030.0
2009-03-01,2901.0
2009-04-01,2681.0
2009-05-01,2899.0
2009-06-01,3283.0
2009-07-01,3332.0
2009-08-01,3263.0
2009-09-01,3147.0
2009-10-01,3336.0
2009-11-01,3249.0
2009-12-01,3230.0
2010-01-01,3836.0
2010-02-01,3720.0
2010-03-01,3703.0
2010-04-01,3381.0
2010-05-01,3422.0
2010-06-01,3670.0
2010-07-01,3895.0
