date,value
1989-01-01,8.5
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,9.4
1994-01-01,
1995-01-01,9.3
1996-01-01,
1997-01-01,9.7
1998-01-01,9.1
1999-01-01,8.0
2000-01-01,8.1
2001-01-01,7.5
2002-01-01,7.9
2003-01-01,8.3
2004-01-01,8.3
2005-01-01,8.2
2006-01-01,7.7
2007-01-01,8.3
2008-01-01,8.3
2009-01-01,8.8
2010-01-01,9.7
2011-01-01,10.8
2012-01-01,9.7
2013-01-01,10.9
2014-01-01,11.7
2015-01-01,10.4
2016-01-01,10.4
2017-01-01,9.1
2018-01-01,9.2
2019-01-01,8.7
2020-01-01,9.6
2021-01-01,9.4
2022-01-01,10.2
2023-01-01,10.1
