date,value
1990-01-01,249.0
1991-01-01,178.0
1992-01-01,371.0
1993-01-01,247.0
1994-01-01,248.0
1995-01-01,262.0
1996-01-01,344.0
1997-01-01,352.0
1998-01-01,347.0
1999-01-01,290.0
2000-01-01,339.0
2001-01-01,365.0
2002-01-01,387.0
2003-01-01,522.0
2004-01-01,625.0
2005-01-01,648.0
2006-01-01,578.0
2007-01-01,480.0
2008-01-01,315.0
2009-01-01,205.0
2010-01-01,173.0
2011-01-01,169.0
2012-01-01,176.0
2013-01-01,250.0
2014-01-01,43.0
2015-01-01,73.0
2016-01-01,50.0
2017-01-01,74.0
2018-01-01,107.0
2019-01-01,70.0
2020-01-01,56.0
2021-01-01,167.0
2022-01-01,220.0
2023-01-01,149.0
2024-01-01,104.0
