date,value
1990-01-01,646.0
1990-02-01,658.0
1990-03-01,429.0
1990-04-01,401.0
1990-05-01,357.0
1990-06-01,454.0
1990-07-01,358.0
1990-08-01,376.0
1990-09-01,430.0
1990-10-01,448.0
1990-11-01,500.0
1990-12-01,583.0
1991-01-01,898.0
1991-02-01,884.0
1991-03-01,699.0
1991-04-01,608.0
1991-05-01,590.0
1991-06-01,1044.0
1991-07-01,600.0
1991-08-01,685.0
1991-09-01,655.0
1991-10-01,595.0
1991-11-01,712.0
1991-12-01,795.0
1992-01-01,1116.0
1992-02-01,1186.0
1992-03-01,1068.0
1992-04-01,785.0
1992-05-01,738.0
1992-06-01,779.0
1992-07-01,721.0
1992-08-01,881.0
1992-09-01,685.0
1992-10-01,713.0
1992-11-01,825.0
1992-12-01,871.0
1993-01-01,1105.0
1993-02-01,1060.0
1993-03-01,875.0
1993-04-01,641.0
1993-05-01,614.0
1993-06-01,606.0
1993-07-01,547.0
1993-08-01,539.0
1993-09-01,520.0
1993-10-01,562.0
1993-11-01,550.0
1993-12-01,761.0
1994-01-01,958.0
1994-02-01,1124.0
1994-03-01,844.0
1994-04-01,532.0
1994-05-01,458.0
1994-06-01,504.0
1994-07-01,455.0
1994-08-01,490.0
1994-09-01,554.0
1994-10-01,435.0
1994-11-01,402.0
1994-12-01,505.0
1995-01-01,796.0
1995-02-01,871.0
1995-03-01,751.0
1995-04-01,548.0
1995-05-01,527.0
1995-06-01,520.0
1995-07-01,571.0
1995-08-01,724.0
1995-09-01,469.0
1995-10-01,500.0
1995-11-01,539.0
1995-12-01,682.0
1996-01-01,1080.0
1996-02-01,1032.0
1996-03-01,986.0
1996-04-01,665.0
1996-05-01,603.0
1996-06-01,582.0
1996-07-01,716.0
1996-08-01,554.0
1996-09-01,574.0
1996-10-01,565.0
1996-11-01,630.0
1996-12-01,733.0
1997-01-01,1170.0
1997-02-01,1048.0
1997-03-01,895.0
1997-04-01,639.0
1997-05-01,591.0
1997-06-01,635.0
1997-07-01,737.0
1997-08-01,674.0
1997-09-01,619.0
1997-10-01,646.0
1997-11-01,681.0
1997-12-01,782.0
1998-01-01,1172.0
1998-02-01,1214.0
1998-03-01,1054.0
1998-04-01,711.0
1998-05-01,689.0
1998-06-01,637.0
1998-07-01,524.0
1998-08-01,473.0
1998-09-01,420.0
1998-10-01,391.0
1998-11-01,456.0
1998-12-01,562.0
1999-01-01,848.0
1999-02-01,805.0
1999-03-01,647.0
1999-04-01,437.0
1999-05-01,413.0
1999-06-01,417.0
1999-07-01,455.0
1999-08-01,421.0
1999-09-01,366.0
1999-10-01,368.0
1999-11-01,529.0
1999-12-01,514.0
2000-01-01,690.0
2000-02-01,726.0
2000-03-01,631.0
2000-04-01,506.0
2000-05-01,573.0
2000-06-01,602.0
2000-07-01,593.0
2000-08-01,562.0
2000-09-01,505.0
2000-10-01,510.0
2000-11-01,552.0
2000-12-01,572.0
2001-01-01,768.0
2001-02-01,753.0
2001-03-01,698.0
2001-04-01,561.0
2001-05-01,540.0
2001-06-01,643.0
2001-07-01,631.0
2001-08-01,633.0
2001-09-01,607.0
2001-10-01,668.0
2001-11-01,683.0
2001-12-01,722.0
2002-01-01,914.0
2002-02-01,933.0
2002-03-01,819.0
2002-04-01,666.0
2002-05-01,644.0
2002-06-01,712.0
2002-07-01,672.0
2002-08-01,665.0
2002-09-01,574.0
2002-10-01,593.0
2002-11-01,654.0
2002-12-01,675.0
2003-01-01,895.0
2003-02-01,913.0
2003-03-01,810.0
2003-04-01,714.0
2003-05-01,729.0
2003-06-01,850.0
2003-07-01,816.0
2003-08-01,777.0
2003-09-01,759.0
2003-10-01,787.0
2003-11-01,796.0
2003-12-01,833.0
2004-01-01,1044.0
2004-02-01,1023.0
2004-03-01,898.0
2004-04-01,709.0
2004-05-01,721.0
2004-06-01,785.0
2004-07-01,773.0
2004-08-01,674.0
2004-09-01,609.0
2004-10-01,659.0
2004-11-01,678.0
2004-12-01,739.0
2005-01-01,914.0
2005-02-01,967.0
2005-03-01,866.0
