date,value
1975-01-01,26.03
1976-01-01,34.57
1977-01-01,32.41
1978-01-01,34.39
1979-01-01,40.72
1980-01-01,42.11
1981-01-01,42.87
1982-01-01,44.92
1983-01-01,46.13
1984-01-01,50.26
1985-01-01,51.32
1986-01-01,55.26
1987-01-01,60.89
1988-01-01,66.73
1989-01-01,75.22
1990-01-01,81.92
1991-01-01,82.64
1992-01-01,84.69
1993-01-01,86.29
1994-01-01,86.31
1995-01-01,88.51
1996-01-01,90.41
1997-01-01,92.78
1998-01-01,94.05
1999-01-01,96.22
2000-01-01,100.0
2001-01-01,105.35
2002-01-01,113.0
2003-01-01,119.87
2004-01-01,140.75
2005-01-01,174.35
2006-01-01,194.7
2007-01-01,193.1
2008-01-01,178.77
2009-01-01,153.33
2010-01-01,139.85
2011-01-01,129.79
2012-01-01,128.04
2013-01-01,130.69
2014-01-01,133.35
2015-01-01,137.43
2016-01-01,140.79
2017-01-01,145.9
2018-01-01,153.28
2019-01-01,156.38
2020-01-01,161.81
2021-01-01,180.67
2022-01-01,205.32
2023-01-01,220.89
2024-01-01,237.37
