date,value
2016-07-01,763.0
2016-08-01,777.0
2016-09-01,776.0
2016-10-01,744.0
2016-11-01,705.0
2016-12-01,635.0
2017-01-01,589.0
2017-02-01,557.0
2017-03-01,555.0
2017-04-01,593.0
2017-05-01,614.0
2017-06-01,613.0
2017-07-01,602.0
2017-08-01,595.0
2017-09-01,613.0
2017-10-01,611.0
2017-11-01,645.0
2017-12-01,556.0
2018-01-01,466.0
2018-02-01,469.0
2018-03-01,487.0
2018-04-01,546.0
2018-05-01,602.0
2018-06-01,651.0
2018-07-01,660.0
2018-08-01,671.0
2018-09-01,655.0
2018-10-01,652.0
2018-11-01,658.0
2018-12-01,609.0
2019-01-01,570.0
2019-02-01,540.0
2019-03-01,530.0
2019-04-01,541.0
2019-05-01,557.0
2019-06-01,598.0
2019-07-01,600.0
2019-08-01,603.0
2019-09-01,595.0
2019-10-01,574.0
2019-11-01,516.0
2019-12-01,458.0
2020-01-01,407.0
2020-02-01,384.0
2020-03-01,379.0
2020-04-01,368.0
2020-05-01,316.0
2020-06-01,297.0
2020-07-01,270.0
2020-08-01,245.0
2020-09-01,236.0
2020-10-01,229.0
2020-11-01,206.0
2020-12-01,198.0
2021-01-01,178.0
2021-02-01,132.0
2021-03-01,147.0
2021-04-01,146.0
2021-05-01,149.0
2021-06-01,189.0
2021-07-01,220.0
2021-08-01,235.0
2021-09-01,232.0
2021-10-01,228.0
2021-11-01,214.0
2021-12-01,170.0
2022-01-01,139.0
2022-02-01,128.0
2022-03-01,136.0
2022-04-01,152.0
2022-05-01,184.0
2022-06-01,196.0
2022-07-01,219.0
2022-08-01,245.0
2022-09-01,242.0
2022-10-01,263.0
2022-11-01,237.0
2022-12-01,224.0
2023-01-01,204.0
2023-02-01,177.0
2023-03-01,183.0
2023-04-01,181.0
2023-05-01,215.0
2023-06-01,219.0
2023-07-01,224.0
2023-08-01,210.0
2023-09-01,228.0
2023-10-01,247.0
2023-11-01,244.0
2023-12-01,214.0
2024-01-01,205.0
2024-02-01,180.0
2024-03-01,184.0
2024-04-01,198.0
2024-05-01,215.0
2024-06-01,231.0
2024-07-01,232.0
2024-08-01,220.0
2024-09-01,243.0
2024-10-01,293.0
2024-11-01,302.0
2024-12-01,283.0
2025-01-01,274.0
2025-02-01,259.0
2025-03-01,246.0
2025-04-01,261.0
2025-05-01,273.0
2025-06-01,306.0
2025-07-01,333.0
2025-08-01,379.0
2025-09-01,376.0
2025-10-01,417.0
