date,value
1990-01-01,678.0
1991-01-01,457.0
1992-01-01,572.0
1993-01-01,504.0
1994-01-01,656.0
1995-01-01,544.0
1996-01-01,640.0
1997-01-01,601.0
1998-01-01,676.0
1999-01-01,642.0
2000-01-01,721.0
2001-01-01,986.0
2002-01-01,1235.0
2003-01-01,1105.0
2004-01-01,1368.0
2005-01-01,1945.0
2006-01-01,908.0
2007-01-01,427.0
2008-01-01,317.0
2009-01-01,165.0
2010-01-01,256.0
2011-01-01,168.0
2012-01-01,167.0
2013-01-01,351.0
2014-01-01,274.0
2015-01-01,320.0
2016-01-01,200.0
2017-01-01,308.0
2018-01-01,310.0
2019-01-01,247.0
2020-01-01,284.0
2021-01-01,332.0
2022-01-01,543.0
2023-01-01,267.0
2024-01-01,232.0
