date,value
1979-01-01,44.52
1980-01-01,47.65
1981-01-01,48.78
1982-01-01,47.81
1983-01-01,51.47
1984-01-01,57.27
1985-01-01,58.2
1986-01-01,66.01
1987-01-01,68.91
1988-01-01,75.55
1989-01-01,78.05
1990-01-01,80.05
1991-01-01,82.37
1992-01-01,85.57
1993-01-01,85.8
1994-01-01,86.43
1995-01-01,88.54
1996-01-01,90.74
1997-01-01,92.43
1998-01-01,94.68
1999-01-01,96.81
2000-01-01,100.0
2001-01-01,106.08
2002-01-01,111.04
2003-01-01,116.7
2004-01-01,132.64
2005-01-01,162.4
2006-01-01,183.69
2007-01-01,189.37
2008-01-01,181.16
2009-01-01,168.28
2010-01-01,154.65
2011-01-01,141.06
2012-01-01,130.24
2013-01-01,130.84
2014-01-01,132.22
2015-01-01,135.25
2016-01-01,137.09
2017-01-01,141.78
2018-01-01,150.1
2019-01-01,156.43
2020-01-01,163.83
2021-01-01,182.16
2022-01-01,215.02
2023-01-01,231.84
2024-01-01,244.21
