date,value
1990-01-01,38365.0
1990-02-01,32454.0
1990-03-01,41917.0
1990-04-01,41682.0
1990-05-01,43389.0
1990-06-01,43767.0
1990-07-01,44664.0
1990-08-01,43992.0
1990-09-01,44091.0
1990-10-01,44255.0
1990-11-01,44175.0
1990-12-01,43810.0
1991-01-01,43525.0
1991-02-01,43574.0
1991-03-01,43755.0
1991-04-01,44180.0
1991-05-01,44655.0
1991-06-01,44976.0
1991-07-01,45805.0
1991-08-01,45099.0
1991-09-01,44796.0
1991-10-01,45189.0
1991-11-01,45308.0
1991-12-01,44812.0
1992-01-01,44935.0
1992-02-01,45500.0
1992-03-01,45845.0
1992-04-01,45843.0
1992-05-01,46531.0
1992-06-01,47257.0
1992-07-01,47231.0
1992-08-01,46205.0
1992-09-01,46136.0
1992-10-01,46229.0
1992-11-01,45867.0
1992-12-01,45633.0
1993-01-01,44577.0
1993-02-01,45258.0
1993-03-01,45726.0
1993-04-01,46088.0
1993-05-01,46531.0
1993-06-01,48915.0
1993-07-01,47368.0
1993-08-01,46640.0
1993-09-01,46215.0
1993-10-01,47144.0
1993-11-01,46850.0
1993-12-01,47062.0
1994-01-01,45753.0
1994-02-01,45936.0
1994-03-01,46619.0
1994-04-01,46399.0
1994-05-01,47260.0
1994-06-01,47894.0
1994-07-01,48142.0
1994-08-01,47498.0
1994-09-01,47634.0
1994-10-01,47811.0
1994-11-01,47904.0
1994-12-01,47925.0
1995-01-01,44747.0
1995-02-01,45068.0
1995-03-01,45226.0
1995-04-01,45033.0
1995-05-01,45446.0
1995-06-01,46084.0
1995-07-01,46822.0
1995-08-01,46515.0
1995-09-01,46153.0
1995-10-01,46565.0
1995-11-01,46795.0
1995-12-01,46344.0
1996-01-01,46360.0
1996-02-01,45830.0
1996-03-01,45840.0
1996-04-01,45645.0
1996-05-01,46449.0
1996-06-01,47308.0
1996-07-01,47877.0
1996-08-01,47538.0
1996-09-01,47915.0
1996-10-01,48525.0
1996-11-01,48398.0
1996-12-01,48313.0
1997-01-01,46280.0
1997-02-01,46111.0
1997-03-01,46675.0
1997-04-01,46785.0
1997-05-01,47565.0
1997-06-01,47635.0
1997-07-01,47551.0
1997-08-01,46875.0
1997-09-01,47048.0
1997-10-01,48330.0
1997-11-01,47928.0
1997-12-01,47201.0
1998-01-01,48915.0
1998-02-01,49325.0
1998-03-01,49700.0
1998-04-01,49213.0
1998-05-01,49493.0
1998-06-01,49034.0
1998-07-01,49377.0
1998-08-01,48333.0
1998-09-01,48736.0
1998-10-01,48982.0
1998-11-01,49357.0
1998-12-01,49259.0
1999-01-01,47593.0
1999-02-01,48544.0
1999-03-01,48118.0
1999-04-01,47969.0
1999-05-01,47129.0
1999-06-01,47728.0
1999-07-01,47247.0
1999-08-01,46436.0
1999-09-01,46345.0
1999-10-01,47123.0
1999-11-01,47449.0
1999-12-01,47021.0
2000-01-01,45219.0
2000-02-01,45301.0
2000-03-01,45329.0
2000-04-01,45565.0
2000-05-01,45944.0
2000-06-01,47214.0
2000-07-01,47744.0
2000-08-01,46538.0
2000-09-01,46626.0
2000-10-01,46474.0
2000-11-01,46498.0
2000-12-01,46437.0
2001-01-01,46569.0
2001-02-01,46718.0
2001-03-01,46824.0
2001-04-01,46882.0
2001-05-01,47095.0
2001-06-01,48392.0
2001-07-01,49021.0
2001-08-01,48214.0
2001-09-01,48158.0
2001-10-01,47772.0
2001-11-01,47115.0
2001-12-01,47266.0
2002-01-01,47587.0
2002-02-01,48384.0
2002-03-01,48675.0
2002-04-01,47857.0
2002-05-01,48121.0
2002-06-01,49229.0
2002-07-01,49668.0
2002-08-01,49896.0
2002-09-01,48678.0
2002-10-01,48183.0
2002-11-01,47722.0
2002-12-01,47463.0
2003-01-01,46301.0
2003-02-01,46393.0
2003-03-01,46527.0
2003-04-01,47404.0
2003-05-01,48361.0
2003-06-01,50007.0
2003-07-01,50878.0
2003-08-01,49537.0
2003-09-01,48894.0
2003-10-01,49174.0
2003-11-01,49532.0
2003-12-01,49619.0
2004-01-01,48388.0
2004-02-01,48650.0
2004-03-01,48895.0
2004-04-01,49003.0
2004-05-01,50184.0
2004-06-01,51134.0
2004-07-01,51690.0
2004-08-01,51302.0
2004-09-01,50765.0
2004-10-01,50680.0
2004-11-01,50641.0
2004-12-01,50076.0
2005-01-01,49571.0
2005-02-01,50311.0
