date,value
1989-01-01,11.6
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,13.3
1994-01-01,
1995-01-01,13.0
1996-01-01,
1997-01-01,13.5
1998-01-01,13.0
1999-01-01,11.5
2000-01-01,11.6
2001-01-01,11.4
2002-01-01,12.0
2003-01-01,11.6
2004-01-01,12.3
2005-01-01,13.8
2006-01-01,12.3
2007-01-01,13.2
2008-01-01,12.8
2009-01-01,13.2
2010-01-01,16.6
2011-01-01,17.7
2012-01-01,16.7
2013-01-01,16.5
2014-01-01,16.9
2015-01-01,14.7
2016-01-01,18.0
2017-01-01,15.0
2018-01-01,14.6
2019-01-01,16.0
2020-01-01,14.2
2021-01-01,14.2
2022-01-01,12.6
2023-01-01,15.4
