date,value
1990-01-01,2413.0
1990-02-01,2631.0
1990-03-01,2456.0
1990-04-01,2447.0
1990-05-01,2933.0
1990-06-01,2912.0
1990-07-01,2840.0
1990-08-01,2913.0
1990-09-01,2593.0
1990-10-01,2855.0
1990-11-01,3309.0
1990-12-01,3150.0
1991-01-01,3169.0
1991-02-01,3129.0
1991-03-01,3032.0
1991-04-01,2903.0
1991-05-01,3107.0
1991-06-01,3124.0
1991-07-01,3147.0
1991-08-01,3118.0
1991-09-01,2963.0
1991-10-01,3515.0
1991-11-01,3998.0
1991-12-01,4030.0
1992-01-01,4429.0
1992-02-01,4667.0
1992-03-01,4398.0
1992-04-01,4106.0
1992-05-01,3776.0
1992-06-01,4098.0
1992-07-01,3949.0
1992-08-01,3643.0
1992-09-01,3539.0
1992-10-01,3642.0
1992-11-01,3632.0
1992-12-01,3619.0
1993-01-01,3651.0
1993-02-01,3598.0
1993-03-01,3413.0
1993-04-01,2960.0
1993-05-01,2954.0
1993-06-01,3110.0
1993-07-01,3094.0
1993-08-01,3012.0
1993-09-01,2871.0
1993-10-01,3205.0
1993-11-01,3002.0
1993-12-01,2832.0
1994-01-01,3842.0
1994-02-01,3729.0
1994-03-01,3412.0
1994-04-01,3113.0
1994-05-01,2970.0
1994-06-01,3096.0
1994-07-01,3170.0
1994-08-01,3031.0
1994-09-01,2904.0
1994-10-01,2833.0
1994-11-01,2757.0
1994-12-01,2258.0
1995-01-01,2888.0
1995-02-01,2934.0
1995-03-01,2586.0
1995-04-01,2601.0
1995-05-01,2662.0
1995-06-01,2699.0
1995-07-01,2726.0
1995-08-01,2733.0
1995-09-01,2610.0
1995-10-01,2585.0
1995-11-01,2768.0
1995-12-01,2601.0
1996-01-01,3151.0
1996-02-01,3269.0
1996-03-01,2979.0
1996-04-01,2712.0
1996-05-01,2756.0
1996-06-01,2858.0
1996-07-01,2766.0
1996-08-01,2530.0
1996-09-01,2569.0
1996-10-01,2787.0
1996-11-01,2856.0
1996-12-01,2775.0
1997-01-01,3421.0
1997-02-01,3194.0
1997-03-01,3120.0
1997-04-01,2853.0
1997-05-01,3030.0
1997-06-01,3165.0
1997-07-01,2682.0
1997-08-01,2487.0
1997-09-01,2218.0
1997-10-01,2560.0
1997-11-01,2414.0
1997-12-01,2416.0
1998-01-01,2954.0
1998-02-01,2972.0
1998-03-01,2967.0
