date,value
1985-01-01,57.69
1986-01-01,64.41
1987-01-01,69.06
1988-01-01,70.9
1989-01-01,73.75
1990-01-01,75.35
1991-01-01,76.44
1992-01-01,78.31
1993-01-01,78.37
1994-01-01,77.95
1995-01-01,79.56
1996-01-01,83.62
1997-01-01,85.37
1998-01-01,87.35
1999-01-01,90.01
2000-01-01,100.0
2001-01-01,110.85
2002-01-01,122.84
2003-01-01,136.9
2004-01-01,162.32
2005-01-01,194.94
2006-01-01,217.24
2007-01-01,216.99
2008-01-01,206.54
2009-01-01,184.77
2010-01-01,164.73
2011-01-01,157.55
2012-01-01,154.69
2013-01-01,154.55
2014-01-01,154.09
2015-01-01,158.38
2016-01-01,162.39
2017-01-01,168.65
2018-01-01,174.79
2019-01-01,184.89
2020-01-01,190.73
2021-01-01,217.47
2022-01-01,253.66
2023-01-01,291.61
2024-01-01,301.14
