date,value
2016-07-01,1450.0
2016-08-01,1419.0
2016-09-01,1413.0
2016-10-01,1413.0
2016-11-01,1384.0
2016-12-01,1285.0
2017-01-01,1224.0
2017-02-01,1251.0
2017-03-01,1244.0
2017-04-01,1221.0
2017-05-01,1216.0
2017-06-01,1181.0
2017-07-01,1148.0
2017-08-01,1140.0
2017-09-01,1161.0
2017-10-01,1113.0
2017-11-01,1088.0
2017-12-01,1054.0
2018-01-01,1030.0
2018-02-01,1068.0
2018-03-01,1107.0
2018-04-01,1118.0
2018-05-01,1143.0
2018-06-01,1141.0
2018-07-01,1034.0
2018-08-01,1043.0
2018-09-01,1087.0
2018-10-01,1095.0
2018-11-01,1107.0
2018-12-01,1061.0
2019-01-01,1007.0
2019-02-01,1072.0
2019-03-01,1079.0
2019-04-01,1098.0
2019-05-01,1105.0
2019-06-01,1086.0
2019-07-01,1027.0
2019-08-01,1021.0
2019-09-01,1022.0
2019-10-01,1020.0
2019-11-01,991.0
2019-12-01,914.0
2020-01-01,873.0
2020-02-01,881.0
2020-03-01,854.0
2020-04-01,859.0
2020-05-01,831.0
2020-06-01,630.0
2020-07-01,536.0
2020-08-01,481.0
2020-09-01,432.0
2020-10-01,417.0
2020-11-01,387.0
2020-12-01,354.0
2021-01-01,312.0
2021-02-01,270.0
2021-03-01,255.0
2021-04-01,253.0
2021-05-01,266.0
2021-06-01,296.0
2021-07-01,325.0
2021-08-01,332.0
2021-09-01,342.0
2021-10-01,328.0
2021-11-01,298.0
2021-12-01,247.0
2022-01-01,215.0
2022-02-01,195.0
2022-03-01,184.0
2022-04-01,181.0
2022-05-01,213.0
2022-06-01,248.0
2022-07-01,281.0
2022-08-01,277.0
2022-09-01,272.0
2022-10-01,297.0
2022-11-01,322.0
2022-12-01,275.0
2023-01-01,258.0
2023-02-01,231.0
2023-03-01,257.0
2023-04-01,243.0
2023-05-01,268.0
2023-06-01,269.0
2023-07-01,278.0
2023-08-01,305.0
2023-09-01,343.0
2023-10-01,385.0
2023-11-01,424.0
2023-12-01,413.0
2024-01-01,397.0
2024-02-01,432.0
2024-03-01,462.0
2024-04-01,480.0
2024-05-01,486.0
2024-06-01,486.0
2024-07-01,483.0
2024-08-01,515.0
2024-09-01,556.0
2024-10-01,616.0
2024-11-01,614.0
2024-12-01,564.0
2025-01-01,531.0
2025-02-01,593.0
2025-03-01,663.0
2025-04-01,713.0
2025-05-01,764.0
2025-06-01,734.0
2025-07-01,684.0
2025-08-01,682.0
2025-09-01,738.0
2025-10-01,754.0
