date,value
2016-07-01,286400.0
2016-08-01,289900.0
2016-09-01,289900.0
2016-10-01,289900.0
2016-11-01,295200.0
2016-12-01,294900.0
2017-01-01,289000.0
2017-02-01,295100.0
2017-03-01,299700.0
2017-04-01,299250.0
2017-05-01,299900.0
2017-06-01,301450.0
2017-07-01,309450.0
2017-08-01,308075.0
2017-09-01,309900.0
2017-10-01,314900.0
2017-11-01,309350.0
2017-12-01,299900.0
2018-01-01,296975.0
2018-02-01,299000.0
2018-03-01,299000.0
2018-04-01,302473.0
2018-05-01,299945.0
2018-06-01,305000.0
2018-07-01,312450.0
2018-08-01,315000.0
2018-09-01,315000.0
2018-10-01,314975.0
2018-11-01,314650.0
2018-12-01,314900.0
2019-01-01,309950.0
2019-02-01,305625.0
2019-03-01,314657.0
2019-04-01,318450.0
2019-05-01,327450.0
2019-06-01,335000.0
2019-07-01,335000.0
2019-08-01,332173.0
2019-09-01,328082.0
2019-10-01,324900.0
2019-11-01,319950.0
2019-12-01,321125.0
2020-01-01,319975.0
2020-02-01,325000.0
2020-03-01,334900.0
2020-04-01,329900.0
2020-05-01,334950.0
2020-06-01,348225.0
2020-07-01,350000.0
2020-08-01,369000.0
2020-09-01,366921.0
2020-10-01,369900.0
2020-11-01,376725.0
2020-12-01,389900.0
2021-01-01,379000.0
2021-02-01,404225.0
2021-03-01,404900.0
2021-04-01,388725.0
2021-05-01,409000.0
2021-06-01,442000.0
2021-07-01,438000.0
2021-08-01,442450.0
2021-09-01,422450.0
2021-10-01,449500.0
2021-11-01,450339.0
2021-12-01,449950.0
2022-01-01,450389.0
2022-02-01,450389.0
2022-03-01,467475.0
2022-04-01,479450.0
2022-05-01,450000.0
2022-06-01,478475.0
2022-07-01,455000.0
2022-08-01,457425.0
2022-09-01,456975.0
2022-10-01,489450.0
2022-11-01,476950.0
2022-12-01,474900.0
2023-01-01,481225.0
2023-02-01,516105.0
2023-03-01,484990.0
2023-04-01,503590.0
2023-05-01,518700.0
2023-06-01,504475.0
2023-07-01,492445.0
2023-08-01,492448.0
2023-09-01,482450.0
2023-10-01,469700.0
2023-11-01,449000.0
2023-12-01,444950.0
2024-01-01,449950.0
2024-02-01,454500.0
2024-03-01,455000.0
2024-04-01,464900.0
2024-05-01,487950.0
2024-06-01,461828.0
2024-07-01,467091.0
2024-08-01,450000.0
2024-09-01,453725.0
2024-10-01,465000.0
2024-11-01,449900.0
2024-12-01,440000.0
2025-01-01,440000.0
2025-02-01,449950.0
2025-03-01,455000.0
2025-04-01,450000.0
2025-05-01,459900.0
2025-06-01,462475.0
2025-07-01,470575.0
2025-08-01,473700.0
2025-09-01,472400.0
2025-10-01,486725.0
