date,value
1970-01-01,24.442
1971-01-01,25.3
1972-01-01,25.8
1973-01-01,26.8
1974-01-01,27.5
1975-01-01,28.5
1976-01-01,28.9
1977-01-01,29.8
1978-01-01,30.5
1979-01-01,31.1
1980-01-01,30.889
1981-01-01,30.846
1982-01-01,30.749
1983-01-01,31.233
1984-01-01,31.943
1985-01-01,33.052
1986-01-01,33.7
1987-01-01,33.999
1988-01-01,34.266
1989-01-01,34.627
1990-01-01,35.288
1991-01-01,36.58
1992-01-01,37.629
1993-01-01,38.81
1994-01-01,39.862
1995-01-01,41.157
1996-01-01,42.467
1997-01-01,43.791
1998-01-01,44.681
1999-01-01,45.707
2000-01-01,46.751
2001-01-01,47.569
2002-01-01,48.184
2003-01-01,48.69
2004-01-01,48.88
2005-01-01,48.797
2006-01-01,49.026
2007-01-01,49.171
2008-01-01,49.078
2009-01-01,48.956
2010-01-01,51.5
2011-01-01,51.504
2012-01-01,51.578
2013-01-01,51.551
2014-01-01,51.581
2015-01-01,51.472
2016-01-01,51.508
2017-01-01,51.721
2018-01-01,51.94
2019-01-01,52.261
2020-01-01,52.522
2021-01-01,53.408
2022-01-01,54.004
2023-01-01,54.229
2024-01-01,54.337
