date,value
1990-01-01,2664.0
1990-02-01,2477.0
1990-03-01,1977.0
1990-04-01,1477.0
1990-05-01,1427.0
1990-06-01,1165.0
1990-07-01,1071.0
1990-08-01,1049.0
1990-09-01,967.0
1990-10-01,1509.0
1990-11-01,2742.0
1990-12-01,3096.0
1991-01-01,3488.0
1991-02-01,2939.0
1991-03-01,2418.0
1991-04-01,1832.0
1991-05-01,1426.0
1991-06-01,1236.0
1991-07-01,1108.0
1991-08-01,1104.0
1991-09-01,1067.0
1991-10-01,1878.0
1991-11-01,3127.0
1991-12-01,3489.0
1992-01-01,4261.0
1992-02-01,3966.0
1992-03-01,3414.0
1992-04-01,2423.0
1992-05-01,1990.0
1992-06-01,1733.0
1992-07-01,1569.0
1992-08-01,1449.0
1992-09-01,1451.0
1992-10-01,2175.0
1992-11-01,3181.0
1992-12-01,3649.0
1993-01-01,4069.0
1993-02-01,3831.0
1993-03-01,3371.0
1993-04-01,2448.0
1993-05-01,1941.0
1993-06-01,1717.0
1993-07-01,1451.0
1993-08-01,1298.0
1993-09-01,1269.0
1993-10-01,2105.0
1993-11-01,2986.0
1993-12-01,3448.0
1994-01-01,3849.0
1994-02-01,3593.0
1994-03-01,3199.0
1994-04-01,2184.0
1994-05-01,1656.0
1994-06-01,1437.0
1994-07-01,1253.0
1994-08-01,1167.0
1994-09-01,1096.0
1994-10-01,1759.0
1994-11-01,2825.0
1994-12-01,3283.0
1995-01-01,3983.0
1995-02-01,3300.0
1995-03-01,3053.0
1995-04-01,2358.0
1995-05-01,1739.0
1995-06-01,1437.0
1995-07-01,1275.0
1995-08-01,1133.0
1995-09-01,1035.0
1995-10-01,1732.0
1995-11-01,3085.0
1995-12-01,3471.0
1996-01-01,3629.0
1996-02-01,3531.0
1996-03-01,3102.0
1996-04-01,2309.0
1996-05-01,1768.0
1996-06-01,1440.0
1996-07-01,1259.0
1996-08-01,1087.0
1996-09-01,1089.0
1996-10-01,1863.0
1996-11-01,3425.0
1996-12-01,3709.0
1997-01-01,4682.0
1997-02-01,4031.0
1997-03-01,3472.0
1997-04-01,2526.0
1997-05-01,1850.0
1997-06-01,1590.0
1997-07-01,1257.0
1997-08-01,1180.0
1997-09-01,1162.0
1997-10-01,2067.0
1997-11-01,3279.0
1997-12-01,4019.0
1998-01-01,4632.0
1998-02-01,3887.0
1998-03-01,3773.0
1998-04-01,2376.0
1998-05-01,1837.0
1998-06-01,1549.0
1998-07-01,1211.0
1998-08-01,1062.0
1998-09-01,1030.0
1998-10-01,1853.0
1998-11-01,3026.0
1998-12-01,3234.0
1999-01-01,3887.0
1999-02-01,3797.0
1999-03-01,3162.0
1999-04-01,2184.0
1999-05-01,1565.0
1999-06-01,1360.0
1999-07-01,1062.0
1999-08-01,858.0
1999-09-01,824.0
1999-10-01,1488.0
1999-11-01,2610.0
1999-12-01,2902.0
2000-01-01,2310.0
2000-02-01,2228.0
2000-03-01,2028.0
2000-04-01,1520.0
2000-05-01,1208.0
2000-06-01,1153.0
2000-07-01,1076.0
2000-08-01,1080.0
2000-09-01,1012.0
2000-10-01,1287.0
2000-11-01,1952.0
2000-12-01,2300.0
2001-01-01,2907.0
2001-02-01,2379.0
2001-03-01,2305.0
2001-04-01,1777.0
2001-05-01,1297.0
2001-06-01,1230.0
2001-07-01,1139.0
2001-08-01,1134.0
2001-09-01,1113.0
2001-10-01,1512.0
2001-11-01,2336.0
2001-12-01,2672.0
2002-01-01,3047.0
2002-02-01,2660.0
2002-03-01,2363.0
2002-04-01,1832.0
2002-05-01,1386.0
2002-06-01,1326.0
2002-07-01,1174.0
2002-08-01,1086.0
2002-09-01,1017.0
2002-10-01,1259.0
2002-11-01,2095.0
2002-12-01,2334.0
2003-01-01,2793.0
2003-02-01,2512.0
2003-03-01,2278.0
2003-04-01,1869.0
2003-05-01,1402.0
2003-06-01,1409.0
2003-07-01,1249.0
2003-08-01,1132.0
2003-09-01,1083.0
2003-10-01,1539.0
2003-11-01,2187.0
2003-12-01,2440.0
2004-01-01,2919.0
2004-02-01,2561.0
2004-03-01,2359.0
2004-04-01,1837.0
2004-05-01,1499.0
2004-06-01,1488.0
2004-07-01,1351.0
2004-08-01,1273.0
2004-09-01,1175.0
2004-10-01,1534.0
2004-11-01,2145.0
2004-12-01,2542.0
2005-01-01,2831.0
2005-02-01,2880.0
2005-03-01,2431.0
2005-04-01,1903.0
2005-05-01,1567.0
2005-06-01,1411.0
2005-07-01,1304.0
2005-08-01,1244.0
2005-09-01,1158.0
2005-10-01,1380.0
2005-11-01,2054.0
2005-12-01,2174.0
2006-01-01,2473.0
2006-02-01,2500.0
2006-03-01,2160.0
2006-04-01,1675.0
2006-05-01,1433.0
2006-06-01,1374.0
2006-07-01,1358.0
2006-08-01,1202.0
2006-09-01,1121.0
2006-10-01,1311.0
2006-11-01,1848.0
2006-12-01,2138.0
2007-01-01,2564.0
2007-02-01,2453.0
2007-03-01,2065.0
2007-04-01,1600.0
2007-05-01,1269.0
2007-06-01,1220.0
2007-07-01,1189.0
2007-08-01,1045.0
2007-09-01,1016.0
2007-10-01,1245.0
2007-11-01,1739.0
2007-12-01,2055.0
2008-01-01,2426.0
2008-02-01,2418.0
2008-03-01,2315.0
2008-04-01,1823.0
2008-05-01,1475.0
2008-06-01,1464.0
2008-07-01,1460.0
2008-08-01,1467.0
2008-09-01,1490.0
2008-10-01,2060.0
2008-11-01,2928.0
2008-12-01,3406.0
2009-01-01,4182.0
2009-02-01,3944.0
2009-03-01,3772.0
2009-04-01,2962.0
2009-05-01,2589.0
2009-06-01,2433.0
2009-07-01,2334.0
2009-08-01,2245.0
2009-09-01,2263.0
2009-10-01,2759.0
2009-11-01,3812.0
2009-12-01,4262.0
2010-01-01,4788.0
2010-02-01,4952.0
2010-03-01,4528.0
2010-04-01,3565.0
2010-05-01,3062.0
2010-06-01,2890.0
2010-07-01,2813.0
2010-08-01,2766.0
2010-09-01,2648.0
2010-10-01,2978.0
2010-11-01,4014.0
2010-12-01,4302.0
2011-01-01,4815.0
2011-02-01,4858.0
2011-03-01,4315.0
2011-04-01,3597.0
2011-05-01,3192.0
2011-06-01,3116.0
2011-07-01,2988.0
2011-08-01,2858.0
2011-09-01,2797.0
2011-10-01,3068.0
2011-11-01,3900.0
2011-12-01,4262.0
2012-01-01,4497.0
2012-02-01,4425.0
2012-03-01,3982.0
2012-04-01,3212.0
2012-05-01,2864.0
2012-06-01,2772.0
2012-07-01,2735.0
2012-08-01,2576.0
2012-09-01,2446.0
2012-10-01,2810.0
2012-11-01,3687.0
2012-12-01,4213.0
2013-01-01,4735.0
2013-02-01,4453.0
2013-03-01,3903.0
2013-04-01,3239.0
