date,value
1975-01-01,61.5
1975-04-01,62.35
1975-07-01,64.87
1975-10-01,67.03
1976-01-01,66.97
1976-04-01,69.81
1976-07-01,70.42
1976-10-01,71.56
1977-01-01,72.19
1977-04-01,73.43
1977-07-01,76.54
1977-10-01,76.94
1978-01-01,81.89
1978-04-01,83.06
1978-07-01,85.71
1978-10-01,88.04
1979-01-01,91.09
1979-04-01,94.64
1979-07-01,96.71
1979-10-01,98.26
1980-01-01,100.0
1980-04-01,102.99
1980-07-01,104.78
1980-10-01,107.38
1981-01-01,110.36
1981-04-01,112.68
1981-07-01,111.26
1981-10-01,114.27
1982-01-01,106.5
1982-04-01,107.99
1982-07-01,106.1
1982-10-01,110.85
1983-01-01,113.21
1983-04-01,115.43
1983-07-01,116.51
1983-10-01,117.92
1984-01-01,118.5
1984-04-01,122.57
1984-07-01,124.02
1984-10-01,124.54
1985-01-01,126.49
1985-04-01,128.39
1985-07-01,130.69
1985-10-01,131.09
1986-01-01,133.61
1986-04-01,137.42
1986-07-01,140.92
1986-10-01,144.6
1987-01-01,148.7
1987-04-01,152.88
1987-07-01,159.51
1987-10-01,162.26
1988-01-01,167.67
1988-04-01,173.71
1988-07-01,179.28
1988-10-01,183.49
1989-01-01,187.95
1989-04-01,192.84
1989-07-01,196.38
1989-10-01,199.62
1990-01-01,201.92
1990-04-01,202.59
1990-07-01,203.61
1990-10-01,202.4
1991-01-01,203.77
1991-04-01,205.95
1991-07-01,205.35
1991-10-01,209.39
1992-01-01,210.15
1992-04-01,208.8
1992-07-01,210.76
1992-10-01,211.44
1993-01-01,210.87
1993-04-01,211.53
1993-07-01,212.24
1993-10-01,213.08
1994-01-01,213.48
1994-04-01,211.4
1994-07-01,209.48
1994-10-01,207.61
1995-01-01,207.71
1995-04-01,210.38
1995-07-01,212.89
1995-10-01,214.48
1996-01-01,217.02
1996-04-01,214.63
1996-07-01,212.87
1996-10-01,215.41
1997-01-01,216.23
1997-04-01,215.22
1997-07-01,217.03
1997-10-01,219.5
1998-01-01,222.23
1998-04-01,222.03
1998-07-01,223.38
1998-10-01,225.56
1999-01-01,227.99
1999-04-01,228.9
1999-07-01,230.88
1999-10-01,233.44
2000-01-01,237.91
2000-04-01,240.51
2000-07-01,244.92
2000-10-01,248.82
2001-01-01,254.5
2001-04-01,259.48
2001-07-01,266.33
2001-10-01,270.65
2002-01-01,277.38
2002-04-01,286.5
2002-07-01,295.42
2002-10-01,301.47
2003-01-01,307.23
2003-04-01,313.88
2003-07-01,323.46
2003-10-01,340.89
2004-01-01,350.36
2004-04-01,366.81
2004-07-01,393.75
2004-10-01,407.34
2005-01-01,425.42
2005-04-01,451.3
2005-07-01,474.77
2005-10-01,493.79
2006-01-01,507.43
2006-04-01,517.92
2006-07-01,524.85
2006-10-01,531.72
2007-01-01,533.59
2007-04-01,534.46
2007-07-01,526.79
2007-10-01,523.93
2008-01-01,515.92
2008-04-01,498.15
2008-07-01,477.85
2008-10-01,470.69
2009-01-01,465.93
2009-04-01,447.91
2009-07-01,436.87
2009-10-01,429.25
2010-01-01,425.92
2010-04-01,420.71
2010-07-01,426.03
2010-10-01,422.02
2011-01-01,409.22
2011-04-01,401.07
2011-07-01,407.05
2011-10-01,409.09
2012-01-01,403.2
2012-04-01,399.25
2012-07-01,404.6
2012-10-01,406.13
2013-01-01,406.16
2013-04-01,409.83
2013-07-01,411.41
2013-10-01,412.12
2014-01-01,413.28
2014-04-01,419.92
2014-07-01,422.7
2014-10-01,426.38
2015-01-01,428.99
2015-04-01,431.92
2015-07-01,431.69
2015-10-01,432.84
2016-01-01,436.66
2016-04-01,441.27
2016-07-01,447.03
2016-10-01,448.63
2017-01-01,446.19
2017-04-01,454.49
2017-07-01,457.97
2017-10-01,460.87
2018-01-01,463.42
2018-04-01,467.68
2018-07-01,468.35
2018-10-01,466.39
2019-01-01,471.15
2019-04-01,479.19
2019-07-01,484.11
2019-10-01,485.86
2020-01-01,491.12
2020-04-01,495.7
2020-07-01,502.07
2020-10-01,511.33
2021-01-01,522.93
2021-04-01,547.34
2021-07-01,569.26
2021-10-01,581.75
2022-01-01,597.65
2022-04-01,625.48
2022-07-01,626.44
2022-10-01,622.99
2023-01-01,628.54
2023-04-01,651.75
2023-07-01,659.86
2023-10-01,656.73
2024-01-01,671.6
2024-04-01,687.83
2024-07-01,692.86
2024-10-01,698.64
2025-01-01,702.55
2025-04-01,712.97
