date,value
2007-01-01,24.0
2007-02-01,24.31
2007-03-01,24.14
2007-04-01,24.12
2007-05-01,23.79
2007-06-01,23.76
2007-07-01,23.89
2007-08-01,23.68
2007-09-01,24.09
2007-10-01,24.18
2007-11-01,24.14
2007-12-01,24.45
2008-01-01,24.56
2008-02-01,24.65
2008-03-01,24.51
2008-04-01,24.14
2008-05-01,24.13
2008-06-01,24.2
2008-07-01,24.19
2008-08-01,24.35
2008-09-01,24.68
2008-10-01,24.85
2008-11-01,25.09
2008-12-01,25.44
2009-01-01,25.23
2009-02-01,25.82
2009-03-01,25.24
2009-04-01,25.32
2009-05-01,24.83
2009-06-01,25.0
2009-07-01,24.99
2009-08-01,25.46
2009-09-01,25.49
2009-10-01,25.57
2009-11-01,25.99
2009-12-01,26.05
2010-01-01,26.15
2010-02-01,26.99
2010-03-01,26.22
2010-04-01,26.05
2010-05-01,26.07
2010-06-01,26.08
2010-07-01,26.2
2010-08-01,26.39
2010-09-01,25.96
2010-10-01,25.83
2010-11-01,25.97
2010-12-01,26.23
2011-01-01,26.54
2011-02-01,26.43
2011-03-01,25.9
2011-04-01,25.78
2011-05-01,25.79
2011-06-01,25.41
2011-07-01,25.47
2011-08-01,25.34
2011-09-01,25.48
2011-10-01,25.79
2011-11-01,25.75
2011-12-01,25.99
2012-01-01,26.41
2012-02-01,25.99
2012-03-01,25.85
2012-04-01,25.88
2012-05-01,25.6
2012-06-01,25.49
2012-07-01,25.92
2012-08-01,25.59
2012-09-01,26.11
2012-10-01,25.92
2012-11-01,26.01
2012-12-01,26.53
2013-01-01,26.7
2013-02-01,26.75
2013-03-01,26.8
2013-04-01,26.75
2013-05-01,26.63
2013-06-01,26.91
2013-07-01,26.63
2013-08-01,26.77
2013-09-01,27.3
2013-10-01,27.22
2013-11-01,27.24
2013-12-01,27.68
2014-01-01,27.69
2014-02-01,28.06
2014-03-01,27.56
2014-04-01,27.42
2014-05-01,27.26
2014-06-01,27.5
2014-07-01,27.35
2014-08-01,27.36
2014-09-01,27.54
2014-10-01,27.38
2014-11-01,27.78
2014-12-01,27.48
2015-01-01,27.66
2015-02-01,27.73
2015-03-01,27.79
2015-04-01,27.36
2015-05-01,27.15
2015-06-01,27.01
2015-07-01,26.93
2015-08-01,27.44
2015-09-01,27.34
2015-10-01,27.33
2015-11-01,27.81
2015-12-01,27.46
2016-01-01,27.84
2016-02-01,27.78
2016-03-01,27.63
2016-04-01,27.64
2016-05-01,27.94
2016-06-01,27.36
2016-07-01,27.45
2016-08-01,27.67
2016-09-01,27.93
2016-10-01,28.28
2016-11-01,28.27
2016-12-01,28.0
2017-01-01,28.79
2017-02-01,28.29
2017-03-01,28.31
2017-04-01,28.42
2017-05-01,27.95
2017-06-01,27.83
2017-07-01,28.4
2017-08-01,28.31
2017-09-01,28.61
2017-10-01,29.23
2017-11-01,29.15
2017-12-01,29.38
2018-01-01,29.82
2018-02-01,30.15
2018-03-01,29.96
2018-04-01,30.33
2018-05-01,29.84
2018-06-01,29.57
2018-07-01,29.87
2018-08-01,29.51
2018-09-01,30.22
2018-10-01,30.14
2018-11-01,30.21
2018-12-01,30.68
2019-01-01,30.34
2019-02-01,30.33
2019-03-01,30.17
2019-04-01,30.21
2019-05-01,30.18
2019-06-01,30.35
2019-07-01,30.04
2019-08-01,29.98
2019-09-01,30.57
2019-10-01,30.47
2019-11-01,30.79
2019-12-01,31.13
2020-01-01,30.9
2020-02-01,31.2
2020-03-01,31.19
2020-04-01,32.3
2020-05-01,32.5
2020-06-01,32.14
2020-07-01,31.87
2020-08-01,32.42
2020-09-01,32.26
2020-10-01,32.28
2020-11-01,32.61
2020-12-01,32.53
2021-01-01,32.83
2021-02-01,33.26
2021-03-01,32.93
2021-04-01,32.9
2021-05-01,33.33
2021-06-01,32.8
2021-07-01,33.12
2021-08-01,33.45
2021-09-01,33.44
2021-10-01,33.59
2021-11-01,33.89
2021-12-01,34.06
2022-01-01,34.95
2022-02-01,34.32
2022-03-01,34.39
2022-04-01,34.13
2022-05-01,34.7
2022-06-01,34.23
2022-07-01,34.35
2022-08-01,34.11
2022-09-01,33.97
2022-10-01,34.04
2022-11-01,33.7
2022-12-01,33.93
2023-01-01,34.59
2023-02-01,34.51
2023-03-01,34.37
2023-04-01,34.7
2023-05-01,34.27
2023-06-01,34.27
2023-07-01,34.48
2023-08-01,34.41
2023-09-01,34.69
2023-10-01,34.81
2023-11-01,34.76
2023-12-01,34.84
2024-01-01,34.84
2024-02-01,34.57
2024-03-01,34.6
2024-04-01,34.42
2024-05-01,34.4
2024-06-01,34.91
2024-07-01,34.83
2024-08-01,35.12
2024-09-01,35.56
2024-10-01,35.37
2024-11-01,35.44
2024-12-01,35.81
2025-01-01,36.03
2025-02-01,35.88
2025-03-01,35.89
2025-04-01,35.53
2025-05-01,35.63
2025-06-01,35.9
2025-07-01,35.82
2025-08-01,36.09
