date,value
2004-07-01,3512.0
2004-08-01,4341.0
2004-09-01,4459.0
2004-10-01,4370.0
2004-11-01,4604.0
2004-12-01,4316.0
2005-01-01,4391.0
2005-02-01,4473.0
2005-03-01,4287.0
2005-04-01,4198.0
2005-05-01,4447.0
2005-06-01,4508.0
2005-07-01,4373.0
2005-08-01,4469.0
2005-09-01,4483.0
2005-10-01,4980.0
2005-11-01,4794.0
2005-12-01,5430.0
2006-01-01,4609.0
2006-02-01,5160.0
2006-03-01,4854.0
2006-04-01,4789.0
2006-05-01,4917.0
2006-06-01,4820.0
2006-07-01,4834.0
2006-08-01,5047.0
2006-09-01,4828.0
2006-10-01,4505.0
2006-11-01,4435.0
2006-12-01,5696.0
2007-01-01,4536.0
2007-02-01,4590.0
2007-03-01,4863.0
2007-04-01,4831.0
2007-05-01,4864.0
2007-06-01,4772.0
2007-07-01,4789.0
2007-08-01,4856.0
2007-09-01,4906.0
2007-10-01,5358.0
2007-11-01,4716.0
2007-12-01,5686.0
2008-01-01,4818.0
2008-02-01,4624.0
2008-03-01,4747.0
2008-04-01,4743.0
2008-05-01,4634.0
2008-06-01,4576.0
2008-07-01,4627.0
2008-08-01,4763.0
2008-09-01,4468.0
2008-10-01,4306.0
2008-11-01,4416.0
2008-12-01,4011.0
2009-01-01,4172.0
2009-02-01,3885.0
2009-03-01,4084.0
2009-04-01,4015.0
2009-05-01,4089.0
2009-06-01,4161.0
2009-07-01,4162.0
2009-08-01,4057.0
2009-09-01,4198.0
2009-10-01,4120.0
2009-11-01,4266.0
2009-12-01,4131.0
2010-01-01,4115.0
2010-02-01,3497.0
2010-03-01,4243.0
2010-04-01,4604.0
2010-05-01,4706.0
2010-06-01,4331.0
2010-07-01,4358.0
2010-08-01,4100.0
2010-09-01,4292.0
2010-10-01,4332.0
2010-11-01,4593.0
2010-12-01,4173.0
2011-01-01,4437.0
2011-02-01,4475.0
2011-03-01,4288.0
2011-04-01,4302.0
2011-05-01,3866.0
2011-06-01,4391.0
2011-07-01,4330.0
2011-08-01,4276.0
2011-09-01,4361.0
2011-10-01,4423.0
2011-11-01,4401.0
2011-12-01,4645.0
2012-01-01,3955.0
2012-02-01,4596.0
2012-03-01,4511.0
2012-04-01,4572.0
2012-05-01,4523.0
2012-06-01,4210.0
2012-07-01,3963.0
2012-08-01,4493.0
2012-09-01,4376.0
2012-10-01,4432.0
2012-11-01,4106.0
2012-12-01,5738.0
2013-01-01,4914.0
2013-02-01,4715.0
2013-03-01,4824.0
2013-04-01,4639.0
2013-05-01,4398.0
2013-06-01,4623.0
2013-07-01,4754.0
2013-08-01,4828.0
2013-09-01,4541.0
2013-10-01,4877.0
2013-11-01,4891.0
