date,value
1976-01-01,1898335.0
1976-02-01,1897481.0
1976-03-01,1897262.0
1976-04-01,1899792.0
1976-05-01,1904257.0
1976-06-01,1910010.0
1976-07-01,1915631.0
1976-08-01,1920064.0
1976-09-01,1923574.0
1976-10-01,1926637.0
1976-11-01,1929785.0
1976-12-01,1933381.0
1977-01-01,1938070.0
1977-02-01,1943642.0
1977-03-01,1948983.0
1977-04-01,1953504.0
1977-05-01,1957376.0
1977-06-01,1961436.0
1977-07-01,1966755.0
1977-08-01,1973957.0
1977-09-01,1982515.0
1977-10-01,1991305.0
1977-11-01,1999636.0
1977-12-01,2007065.0
1978-01-01,2013572.0
1978-02-01,2019678.0
1978-03-01,2026130.0
1978-04-01,2033185.0
1978-05-01,2040791.0
1978-06-01,2048314.0
1978-07-01,2055297.0
1978-08-01,2061700.0
1978-09-01,2067843.0
1978-10-01,2074363.0
1978-11-01,2081275.0
1978-12-01,2087870.0
1979-01-01,2093544.0
1979-02-01,2098153.0
1979-03-01,2101840.0
1979-04-01,2105031.0
1979-05-01,2108259.0
1979-06-01,2111494.0
1979-07-01,2114650.0
1979-08-01,2117719.0
1979-09-01,2120687.0
1979-10-01,2123298.0
1979-11-01,2125658.0
1979-12-01,2128206.0
1980-01-01,2130734.0
1980-02-01,2133019.0
1980-03-01,2135319.0
1980-04-01,2137438.0
1980-05-01,2139266.0
1980-06-01,2141451.0
1980-07-01,2144059.0
1980-08-01,2146840.0
1980-09-01,2149878.0
1980-10-01,2153233.0
1980-11-01,2156979.0
1980-12-01,2161621.0
1981-01-01,2167182.0
1981-02-01,2172686.0
1981-03-01,2177023.0
1981-04-01,2179769.0
1981-05-01,2180864.0
1981-06-01,2180742.0
1981-07-01,2180329.0
1981-08-01,2180383.0
1981-09-01,2181268.0
1981-10-01,2183161.0
1981-11-01,2185609.0
1981-12-01,2188107.0
1982-01-01,2190365.0
1982-02-01,2192362.0
1982-03-01,2193720.0
1982-04-01,2194291.0
1982-05-01,2194067.0
1982-06-01,2193171.0
1982-07-01,2192070.0
1982-08-01,2191538.0
1982-09-01,2192072.0
1982-10-01,2193703.0
1982-11-01,2196155.0
1982-12-01,2198491.0
1983-01-01,2200644.0
1983-02-01,2203294.0
1983-03-01,2207030.0
1983-04-01,2212498.0
1983-05-01,2219712.0
1983-06-01,2228004.0
1983-07-01,2236366.0
1983-08-01,2243303.0
1983-09-01,2247650.0
1983-10-01,2249211.0
1983-11-01,2248814.0
1983-12-01,2248222.0
1984-01-01,2249023.0
1984-02-01,2252092.0
1984-03-01,2257716.0
1984-04-01,2264897.0
1984-05-01,2272424.0
1984-06-01,2278993.0
1984-07-01,2283687.0
1984-08-01,2286764.0
1984-09-01,2289044.0
1984-10-01,2291395.0
1984-11-01,2294496.0
1984-12-01,2298149.0
1985-01-01,2301428.0
1985-02-01,2303537.0
1985-03-01,2304274.0
1985-04-01,2304190.0
1985-05-01,2304174.0
1985-06-01,2305029.0
1985-07-01,2307203.0
1985-08-01,2310669.0
1985-09-01,2315003.0
1985-10-01,2319852.0
1985-11-01,2325110.0
1985-12-01,2330993.0
1986-01-01,2338128.0
1986-02-01,2347066.0
1986-03-01,2357483.0
1986-04-01,2368601.0
1986-05-01,2379491.0
1986-06-01,2389808.0
1986-07-01,2399438.0
1986-08-01,2408228.0
1986-09-01,2416207.0
1986-10-01,2423335.0
1986-11-01,2429312.0
1986-12-01,2434467.0
1987-01-01,2438773.0
1987-02-01,2441780.0
1987-03-01,2443769.0
1987-04-01,2445291.0
1987-05-01,2446997.0
1987-06-01,2449369.0
1987-07-01,2452779.0
1987-08-01,2457761.0
1987-09-01,2464504.0
1987-10-01,2472354.0
1987-11-01,2480316.0
1987-12-01,2487166.0
1988-01-01,2492272.0
1988-02-01,2496094.0
1988-03-01,2499269.0
1988-04-01,2502469.0
1988-05-01,2506148.0
1988-06-01,2510395.0
1988-07-01,2514956.0
1988-08-01,2519296.0
1988-09-01,2523066.0
1988-10-01,2526449.0
1988-11-01,2529864.0
1988-12-01,2533501.0
1989-01-01,2537595.0
1989-02-01,2542091.0
1989-03-01,2546727.0
1989-04-01,2551003.0
1989-05-01,2554543.0
1989-06-01,2557491.0
1989-07-01,2560142.0
1989-08-01,2562746.0
1989-09-01,2565566.0
1989-10-01,2569011.0
1989-11-01,2573045.0
1989-12-01,2577439.0
1990-01-01,2581609.0
1990-02-01,2584870.0
1990-03-01,2587116.0
1990-04-01,2588872.0
1990-05-01,2590683.0
1990-06-01,2592449.0
