date,value
2016-07-01,27278.0
2016-08-01,26749.0
2016-09-01,26736.0
2016-10-01,26324.0
2016-11-01,24779.0
2016-12-01,21998.0
2017-01-01,20282.0
2017-02-01,19687.0
2017-03-01,20235.0
2017-04-01,21307.0
2017-05-01,22872.0
2017-06-01,23352.0
2017-07-01,23634.0
2017-08-01,23579.0
2017-09-01,23782.0
2017-10-01,23628.0
2017-11-01,23355.0
2017-12-01,19898.0
2018-01-01,17760.0
2018-02-01,17338.0
2018-03-01,18635.0
2018-04-01,20120.0
2018-05-01,21352.0
2018-06-01,22175.0
2018-07-01,22607.0
2018-08-01,22820.0
2018-09-01,23429.0
2018-10-01,23690.0
2018-11-01,22997.0
2018-12-01,20580.0
2019-01-01,18479.0
2019-02-01,17795.0
2019-03-01,18522.0
2019-04-01,19663.0
2019-05-01,21152.0
2019-06-01,21938.0
2019-07-01,21871.0
2019-08-01,21620.0
2019-09-01,21412.0
2019-10-01,21151.0
2019-11-01,19784.0
2019-12-01,16909.0
2020-01-01,14955.0
2020-02-01,14039.0
2020-03-01,14411.0
2020-04-01,14128.0
2020-05-01,14057.0
2020-06-01,12846.0
2020-07-01,11341.0
2020-08-01,10317.0
2020-09-01,10135.0
2020-10-01,9998.0
2020-11-01,9361.0
2020-12-01,8108.0
2021-01-01,7014.0
2021-02-01,5933.0
2021-03-01,6248.0
2021-04-01,6657.0
2021-05-01,7334.0
2021-06-01,8303.0
2021-07-01,9406.0
2021-08-01,9959.0
2021-09-01,10112.0
2021-10-01,9780.0
2021-11-01,8659.0
2021-12-01,7172.0
2022-01-01,5836.0
2022-02-01,5339.0
2022-03-01,5508.0
2022-04-01,5953.0
2022-05-01,7305.0
2022-06-01,8414.0
2022-07-01,9626.0
2022-08-01,9909.0
2022-09-01,9796.0
2022-10-01,10154.0
2022-11-01,9978.0
2022-12-01,8586.0
2023-01-01,7503.0
2023-02-01,6701.0
2023-03-01,6480.0
2023-04-01,6586.0
2023-05-01,6728.0
2023-06-01,6916.0
2023-07-01,7301.0
2023-08-01,7482.0
2023-09-01,8191.0
2023-10-01,8831.0
2023-11-01,9079.0
2023-12-01,8141.0
2024-01-01,7159.0
2024-02-01,6971.0
2024-03-01,7226.0
2024-04-01,7701.0
2024-05-01,8330.0
2024-06-01,9067.0
2024-07-01,9446.0
2024-08-01,9528.0
2024-09-01,10266.0
2024-10-01,11363.0
2024-11-01,11328.0
2024-12-01,9735.0
2025-01-01,9094.0
2025-02-01,9324.0
2025-03-01,10616.0
2025-04-01,12022.0
2025-05-01,13110.0
2025-06-01,13918.0
2025-07-01,13995.0
2025-08-01,14301.0
2025-09-01,15023.0
2025-10-01,15282.0
