date,value
1900-01-01,1189.0
1901-01-01,1200.0
1902-01-01,1210.0
1903-01-01,1209.0
1904-01-01,1217.0
1905-01-01,1237.0
1906-01-01,1251.0
1907-01-01,1257.0
1908-01-01,1269.0
1909-01-01,1289.0
1910-01-01,1302.0
1911-01-01,1324.0
1912-01-01,1345.0
1913-01-01,1368.0
1914-01-01,1389.0
1915-01-01,1401.0
1916-01-01,1415.0
1917-01-01,1428.0
1918-01-01,1467.0
1919-01-01,1445.0
1920-01-01,1464.0
1921-01-01,1492.0
1922-01-01,1509.0
1923-01-01,1521.0
1924-01-01,1537.0
1925-01-01,1556.0
1926-01-01,1576.0
1927-01-01,1599.0
1928-01-01,1610.0
1929-01-01,1621.0
1930-01-01,1636.0
1931-01-01,1657.0
1932-01-01,1678.0
1933-01-01,1694.0
1934-01-01,1710.0
1935-01-01,1729.0
1936-01-01,1745.0
1937-01-01,1754.0
1938-01-01,1766.0
1939-01-01,1793.0
1940-01-01,1839.0
1941-01-01,1913.0
1942-01-01,1998.0
1943-01-01,2089.0
1944-01-01,2118.0
1945-01-01,2096.0
1946-01-01,2214.0
1947-01-01,2248.0
1948-01-01,2271.0
1949-01-01,2329.0
1950-01-01,2355.0
1951-01-01,2441.0
1952-01-01,2500.0
1953-01-01,2567.0
1954-01-01,2685.0
1955-01-01,2742.0
1956-01-01,2811.0
1957-01-01,2873.0
1958-01-01,2982.0
1959-01-01,3066.0
1960-01-01,3113.0
1961-01-01,3176.0
1962-01-01,3263.0
1963-01-01,3386.0
1964-01-01,3492.0
1965-01-01,3600.0
1966-01-01,3695.0
1967-01-01,3757.0
1968-01-01,3815.0
1969-01-01,3868.0
1970-01-01,3923.897
1971-01-01,4018.324
1972-01-01,4073.499
1973-01-01,4097.974
1974-01-01,4118.815
1975-01-01,4139.096
1976-01-01,4150.539
1977-01-01,4169.595
1978-01-01,4183.603
1979-01-01,4191.16
1980-01-01,4227.643
1981-01-01,4261.905
1982-01-01,4282.923
1983-01-01,4313.327
1984-01-01,4365.243
1985-01-01,4413.071
1986-01-01,4486.957
1987-01-01,4565.557
1988-01-01,4657.904
1989-01-01,4727.301
1990-01-01,4797.431
1991-01-01,4856.176
1992-01-01,4902.545
1993-01-01,4942.504
1994-01-01,4985.411
1995-01-01,5023.65
1996-01-01,5057.142
1997-01-01,5092.914
1998-01-01,5130.072
1999-01-01,5171.634
2000-01-01,5311.034
2001-01-01,5374.691
2002-01-01,5440.389
2003-01-01,5496.269
2004-01-01,5546.935
2005-01-01,5592.379
2006-01-01,5627.367
2007-01-01,5653.408
2008-01-01,5684.965
2009-01-01,5730.388
2010-01-01,5788.784
2011-01-01,5840.241
2012-01-01,5888.375
2013-01-01,5925.197
2014-01-01,5960.064
2015-01-01,5988.528
2016-01-01,6007.014
2017-01-01,6028.186
2018-01-01,6042.153
2019-01-01,6054.954
2020-01-01,6177.935
2021-01-01,6179.403
2022-01-01,6192.44
2023-01-01,6217.062
2024-01-01,6263.22
