Date,County,County_Code,Active_Listings,Civilian_Labor_Force,Employment_Count,HPI_AllTransactions,Median_Listing_Price,Permits_Annual,Poverty_All_Ages,Real_GDP
1975-01-31,Montgomery,MON,,,,24.47,,,,
1975-02-28,Montgomery,MON,,,,24.47,,,,
1975-03-31,Montgomery,MON,,,,24.47,,,,
1975-04-30,Montgomery,MON,,,,24.47,,,,
1975-05-31,Montgomery,MON,,,,24.47,,,,
1975-06-30,Montgomery,MON,,,,24.47,,,,
1975-07-31,Montgomery,MON,,,,24.47,,,,
1975-08-31,Montgomery,MON,,,,24.47,,,,
1975-09-30,Montgomery,MON,,,,24.47,,,,
1975-10-31,Montgomery,MON,,,,24.47,,,,
1975-11-30,Montgomery,MON,,,,24.47,,,,
1975-12-31,Montgomery,MON,,,,24.47,,,,
1976-01-31,Montgomery,MON,,,,26.73,,,,
1976-02-29,Montgomery,MON,,,,26.73,,,,
1976-03-31,Montgomery,MON,,,,26.73,,,,
1976-04-30,Montgomery,MON,,,,26.73,,,,
1976-05-31,Montgomery,MON,,,,26.73,,,,
1976-06-30,Montgomery,MON,,,,26.73,,,,
1976-07-31,Montgomery,MON,,,,26.73,,,,
1976-08-31,Montgomery,MON,,,,26.73,,,,
1976-09-30,Montgomery,MON,,,,26.73,,,,
1976-10-31,Montgomery,MON,,,,26.73,,,,
1976-11-30,Montgomery,MON,,,,26.73,,,,
1976-12-31,Montgomery,MON,,,,26.73,,,,
1977-01-31,Montgomery,MON,,,,28.93,,,,
1977-02-28,Montgomery,MON,,,,28.93,,,,
1977-03-31,Montgomery,MON,,,,28.93,,,,
1977-04-30,Montgomery,MON,,,,28.93,,,,
1977-05-31,Montgomery,MON,,,,28.93,,,,
1977-06-30,Montgomery,MON,,,,28.93,,,,
1977-07-31,Montgomery,MON,,,,28.93,,,,
1977-08-31,Montgomery,MON,,,,28.93,,,,
1977-09-30,Montgomery,MON,,,,28.93,,,,
1977-10-31,Montgomery,MON,,,,28.93,,,,
1977-11-30,Montgomery,MON,,,,28.93,,,,
1977-12-31,Montgomery,MON,,,,28.93,,,,
1978-01-31,Montgomery,MON,,,,33.63,,,,
1978-02-28,Montgomery,MON,,,,33.63,,,,
1978-03-31,Montgomery,MON,,,,33.63,,,,
1978-04-30,Montgomery,MON,,,,33.63,,,,
1978-05-31,Montgomery,MON,,,,33.63,,,,
1978-06-30,Montgomery,MON,,,,33.63,,,,
1978-07-31,Montgomery,MON,,,,33.63,,,,
1978-08-31,Montgomery,MON,,,,33.63,,,,
1978-09-30,Montgomery,MON,,,,33.63,,,,
1978-10-31,Montgomery,MON,,,,33.63,,,,
1978-11-30,Montgomery,MON,,,,33.63,,,,
1978-12-31,Montgomery,MON,,,,33.63,,,,
1979-01-31,Montgomery,MON,,,,39.16,,,,
1979-02-28,Montgomery,MON,,,,39.16,,,,
1979-03-31,Montgomery,MON,,,,39.16,,,,
1979-04-30,Montgomery,MON,,,,39.16,,,,
1979-05-31,Montgomery,MON,,,,39.16,,,,
1979-06-30,Montgomery,MON,,,,39.16,,,,
1979-07-31,Montgomery,MON,,,,39.16,,,,
1979-08-31,Montgomery,MON,,,,39.16,,,,
1979-09-30,Montgomery,MON,,,,39.16,,,,
1979-10-31,Montgomery,MON,,,,39.16,,,,
1979-11-30,Montgomery,MON,,,,39.16,,,,
1979-12-31,Montgomery,MON,,,,39.16,,,,
1980-01-31,Montgomery,MON,,,,43.67,,,,
1980-02-29,Montgomery,MON,,,,43.67,,,,
1980-03-31,Montgomery,MON,,,,43.67,,,,
1980-04-30,Montgomery,MON,,,,43.67,,,,
1980-05-31,Montgomery,MON,,,,43.67,,,,
1980-06-30,Montgomery,MON,,,,43.67,,,,
1980-07-31,Montgomery,MON,,,,43.67,,,,
1980-08-31,Montgomery,MON,,,,43.67,,,,
1980-09-30,Montgomery,MON,,,,43.67,,,,
1980-10-31,Montgomery,MON,,,,43.67,,,,
1980-11-30,Montgomery,MON,,,,43.67,,,,
1980-12-31,Montgomery,MON,,,,43.67,,,,
1981-01-31,Montgomery,MON,,,,47.85,,,,
1981-02-28,Montgomery,MON,,,,47.85,,,,
1981-03-31,Montgomery,MON,,,,47.85,,,,
1981-04-30,Montgomery,MON,,,,47.85,,,,
1981-05-31,Montgomery,MON,,,,47.85,,,,
1981-06-30,Montgomery,MON,,,,47.85,,,,
1981-07-31,Montgomery,MON,,,,47.85,,,,
1981-08-31,Montgomery,MON,,,,47.85,,,,
1981-09-30,Montgomery,MON,,,,47.85,,,,
1981-10-31,Montgomery,MON,,,,47.85,,,,
1981-11-30,Montgomery,MON,,,,47.85,,,,
1981-12-31,Montgomery,MON,,,,47.85,,,,
1982-01-31,Montgomery,MON,,,,45.43,,,,
1982-02-28,Montgomery,MON,,,,45.43,,,,
1982-03-31,Montgomery,MON,,,,45.43,,,,
1982-04-30,Montgomery,MON,,,,45.43,,,,
1982-05-31,Montgomery,MON,,,,45.43,,,,
1982-06-30,Montgomery,MON,,,,45.43,,,,
1982-07-31,Montgomery,MON,,,,45.43,,,,
1982-08-31,Montgomery,MON,,,,45.43,,,,
1982-09-30,Montgomery,MON,,,,45.43,,,,
1982-10-31,Montgomery,MON,,,,45.43,,,,
1982-11-30,Montgomery,MON,,,,45.43,,,,
1982-12-31,Montgomery,MON,,,,45.43,,,,
1983-01-31,Montgomery,MON,,,,46.87,,,,
1983-02-28,Montgomery,MON,,,,46.87,,,,
1983-03-31,Montgomery,MON,,,,46.87,,,,
1983-04-30,Montgomery,MON,,,,46.87,,,,
1983-05-31,Montgomery,MON,,,,46.87,,,,
1983-06-30,Montgomery,MON,,,,46.87,,,,
1983-07-31,Montgomery,MON,,,,46.87,,,,
1983-08-31,Montgomery,MON,,,,46.87,,,,
1983-09-30,Montgomery,MON,,,,46.87,,,,
1983-10-31,Montgomery,MON,,,,46.87,,,,
1983-11-30,Montgomery,MON,,,,46.87,,,,
1983-12-31,Montgomery,MON,,,,46.87,,,,
1984-01-31,Montgomery,MON,,,,49.95,,,,
1984-02-29,Montgomery,MON,,,,49.95,,,,
1984-03-31,Montgomery,MON,,,,49.95,,,,
1984-04-30,Montgomery,MON,,,,49.95,,,,
1984-05-31,Montgomery,MON,,,,49.95,,,,
1984-06-30,Montgomery,MON,,,,49.95,,,,
1984-07-31,Montgomery,MON,,,,49.95,,,,
1984-08-31,Montgomery,MON,,,,49.95,,,,
1984-09-30,Montgomery,MON,,,,49.95,,,,
1984-10-31,Montgomery,MON,,,,49.95,,,,
1984-11-30,Montgomery,MON,,,,49.95,,,,
1984-12-31,Montgomery,MON,,,,49.95,,,,
1985-01-31,Montgomery,MON,,,,52.38,,,,
1985-02-28,Montgomery,MON,,,,52.38,,,,
1985-03-31,Montgomery,MON,,,,52.38,,,,
1985-04-30,Montgomery,MON,,,,52.38,,,,
1985-05-31,Montgomery,MON,,,,52.38,,,,
1985-06-30,Montgomery,MON,,,,52.38,,,,
1985-07-31,Montgomery,MON,,,,52.38,,,,
1985-08-31,Montgomery,MON,,,,52.38,,,,
1985-09-30,Montgomery,MON,,,,52.38,,,,
1985-10-31,Montgomery,MON,,,,52.38,,,,
1985-11-30,Montgomery,MON,,,,52.38,,,,
