Date,County,County_Code,HPI_AllTransactions,Civilian_Labor_Force,Poverty_All_Ages,Active_Listings,Median_Listing_Price,Permits_Annual,Real_GDP,Population_Annual,Unemployed_Persons,Unemployment_Rate
1970-01-31,St. Mary's,STM,,,,,,,,47.388,,
1970-02-28,St. Mary's,STM,,,,,,,,47.388,,
1970-03-31,St. Mary's,STM,,,,,,,,47.388,,
1970-04-30,St. Mary's,STM,,,,,,,,47.388,,
1970-05-31,St. Mary's,STM,,,,,,,,47.388,,
1970-06-30,St. Mary's,STM,,,,,,,,47.388,,
1970-07-31,St. Mary's,STM,,,,,,,,47.388,,
1970-08-31,St. Mary's,STM,,,,,,,,47.388,,
1970-09-30,St. Mary's,STM,,,,,,,,47.388,,
1970-10-31,St. Mary's,STM,,,,,,,,47.388,,
1970-11-30,St. Mary's,STM,,,,,,,,47.388,,
1970-12-31,St. Mary's,STM,,,,,,,,47.388,,
1971-01-31,St. Mary's,STM,,,,,,,,50.1,,
1971-02-28,St. Mary's,STM,,,,,,,,50.1,,
1971-03-31,St. Mary's,STM,,,,,,,,50.1,,
1971-04-30,St. Mary's,STM,,,,,,,,50.1,,
1971-05-31,St. Mary's,STM,,,,,,,,50.1,,
1971-06-30,St. Mary's,STM,,,,,,,,50.1,,
1971-07-31,St. Mary's,STM,,,,,,,,50.1,,
1971-08-31,St. Mary's,STM,,,,,,,,50.1,,
1971-09-30,St. Mary's,STM,,,,,,,,50.1,,
1971-10-31,St. Mary's,STM,,,,,,,,50.1,,
1971-11-30,St. Mary's,STM,,,,,,,,50.1,,
1971-12-31,St. Mary's,STM,,,,,,,,50.1,,
1972-01-31,St. Mary's,STM,,,,,,,,50.8,,
1972-02-29,St. Mary's,STM,,,,,,,,50.8,,
1972-03-31,St. Mary's,STM,,,,,,,,50.8,,
1972-04-30,St. Mary's,STM,,,,,,,,50.8,,
1972-05-31,St. Mary's,STM,,,,,,,,50.8,,
1972-06-30,St. Mary's,STM,,,,,,,,50.8,,
1972-07-31,St. Mary's,STM,,,,,,,,50.8,,
1972-08-31,St. Mary's,STM,,,,,,,,50.8,,
1972-09-30,St. Mary's,STM,,,,,,,,50.8,,
1972-10-31,St. Mary's,STM,,,,,,,,50.8,,
1972-11-30,St. Mary's,STM,,,,,,,,50.8,,
1972-12-31,St. Mary's,STM,,,,,,,,50.8,,
1973-01-31,St. Mary's,STM,,,,,,,,49.9,,
1973-02-28,St. Mary's,STM,,,,,,,,49.9,,
1973-03-31,St. Mary's,STM,,,,,,,,49.9,,
1973-04-30,St. Mary's,STM,,,,,,,,49.9,,
1973-05-31,St. Mary's,STM,,,,,,,,49.9,,
1973-06-30,St. Mary's,STM,,,,,,,,49.9,,
1973-07-31,St. Mary's,STM,,,,,,,,49.9,,
1973-08-31,St. Mary's,STM,,,,,,,,49.9,,
1973-09-30,St. Mary's,STM,,,,,,,,49.9,,
1973-10-31,St. Mary's,STM,,,,,,,,49.9,,
1973-11-30,St. Mary's,STM,,,,,,,,49.9,,
1973-12-31,St. Mary's,STM,,,,,,,,49.9,,
1974-01-31,St. Mary's,STM,,,,,,,,51.7,,
1974-02-28,St. Mary's,STM,,,,,,,,51.7,,
1974-03-31,St. Mary's,STM,,,,,,,,51.7,,
1974-04-30,St. Mary's,STM,,,,,,,,51.7,,
1974-05-31,St. Mary's,STM,,,,,,,,51.7,,
1974-06-30,St. Mary's,STM,,,,,,,,51.7,,
1974-07-31,St. Mary's,STM,,,,,,,,51.7,,
1974-08-31,St. Mary's,STM,,,,,,,,51.7,,
1974-09-30,St. Mary's,STM,,,,,,,,51.7,,
1974-10-31,St. Mary's,STM,,,,,,,,51.7,,
1974-11-30,St. Mary's,STM,,,,,,,,51.7,,
1974-12-31,St. Mary's,STM,,,,,,,,51.7,,
1975-01-31,St. Mary's,STM,,,,,,,,52.7,,
1975-02-28,St. Mary's,STM,,,,,,,,52.7,,
1975-03-31,St. Mary's,STM,,,,,,,,52.7,,
1975-04-30,St. Mary's,STM,,,,,,,,52.7,,
1975-05-31,St. Mary's,STM,,,,,,,,52.7,,
1975-06-30,St. Mary's,STM,,,,,,,,52.7,,
1975-07-31,St. Mary's,STM,,,,,,,,52.7,,
1975-08-31,St. Mary's,STM,,,,,,,,52.7,,
1975-09-30,St. Mary's,STM,,,,,,,,52.7,,
1975-10-31,St. Mary's,STM,,,,,,,,52.7,,
1975-11-30,St. Mary's,STM,,,,,,,,52.7,,
1975-12-31,St. Mary's,STM,,,,,,,,52.7,,
1976-01-31,St. Mary's,STM,,,,,,,,53.7,,
1976-02-29,St. Mary's,STM,,,,,,,,53.7,,
1976-03-31,St. Mary's,STM,,,,,,,,53.7,,
1976-04-30,St. Mary's,STM,,,,,,,,53.7,,
1976-05-31,St. Mary's,STM,,,,,,,,53.7,,
1976-06-30,St. Mary's,STM,,,,,,,,53.7,,
1976-07-31,St. Mary's,STM,,,,,,,,53.7,,
1976-08-31,St. Mary's,STM,,,,,,,,53.7,,
1976-09-30,St. Mary's,STM,,,,,,,,53.7,,
1976-10-31,St. Mary's,STM,,,,,,,,53.7,,
1976-11-30,St. Mary's,STM,,,,,,,,53.7,,
1976-12-31,St. Mary's,STM,,,,,,,,53.7,,
1977-01-31,St. Mary's,STM,,,,,,,,54.5,,
1977-02-28,St. Mary's,STM,,,,,,,,54.5,,
1977-03-31,St. Mary's,STM,,,,,,,,54.5,,
1977-04-30,St. Mary's,STM,,,,,,,,54.5,,
1977-05-31,St. Mary's,STM,,,,,,,,54.5,,
1977-06-30,St. Mary's,STM,,,,,,,,54.5,,
1977-07-31,St. Mary's,STM,,,,,,,,54.5,,
1977-08-31,St. Mary's,STM,,,,,,,,54.5,,
1977-09-30,St. Mary's,STM,,,,,,,,54.5,,
1977-10-31,St. Mary's,STM,,,,,,,,54.5,,
1977-11-30,St. Mary's,STM,,,,,,,,54.5,,
1977-12-31,St. Mary's,STM,,,,,,,,54.5,,
1978-01-31,St. Mary's,STM,,,,,,,,56.7,,
1978-02-28,St. Mary's,STM,,,,,,,,56.7,,
1978-03-31,St. Mary's,STM,,,,,,,,56.7,,
1978-04-30,St. Mary's,STM,,,,,,,,56.7,,
1978-05-31,St. Mary's,STM,,,,,,,,56.7,,
1978-06-30,St. Mary's,STM,,,,,,,,56.7,,
1978-07-31,St. Mary's,STM,,,,,,,,56.7,,
1978-08-31,St. Mary's,STM,,,,,,,,56.7,,
1978-09-30,St. Mary's,STM,,,,,,,,56.7,,
1978-10-31,St. Mary's,STM,,,,,,,,56.7,,
1978-11-30,St. Mary's,STM,,,,,,,,56.7,,
1978-12-31,St. Mary's,STM,,,,,,,,56.7,,
1979-01-31,St. Mary's,STM,,,,,,,,58.5,,
1979-02-28,St. Mary's,STM,,,,,,,,58.5,,
1979-03-31,St. Mary's,STM,,,,,,,,58.5,,
1979-04-30,St. Mary's,STM,,,,,,,,58.5,,
1979-05-31,St. Mary's,STM,,,,,,,,58.5,,
1979-06-30,St. Mary's,STM,,,,,,,,58.5,,
1979-07-31,St. Mary's,STM,,,,,,,,58.5,,
1979-08-31,St. Mary's,STM,,,,,,,,58.5,,
1979-09-30,St. Mary's,STM,,,,,,,,58.5,,
1979-10-31,St. Mary's,STM,,,,,,,,58.5,,
1979-11-30,St. Mary's,STM,,,,,,,,58.5,,
1979-12-31,St. Mary's,STM,,,,,,,,58.5,,
1980-01-31,St. Mary's,STM,,,,,,,,59.895,,
1980-02-29,St. Mary's,STM,,,,,,,,59.895,,
