Date,County,County_Code,HPI_AllTransactions,Civilian_Labor_Force,Poverty_All_Ages,Active_Listings,Median_Listing_Price,Permits_Annual,Real_GDP,Population_Annual,Unemployed_Persons,Unemployment_Rate
1970-01-31,Washington,WAS,,,,,,,,103.829,,
1970-02-28,Washington,WAS,,,,,,,,103.829,,
1970-03-31,Washington,WAS,,,,,,,,103.829,,
1970-04-30,Washington,WAS,,,,,,,,103.829,,
1970-05-31,Washington,WAS,,,,,,,,103.829,,
1970-06-30,Washington,WAS,,,,,,,,103.829,,
1970-07-31,Washington,WAS,,,,,,,,103.829,,
1970-08-31,Washington,WAS,,,,,,,,103.829,,
1970-09-30,Washington,WAS,,,,,,,,103.829,,
1970-10-31,Washington,WAS,,,,,,,,103.829,,
1970-11-30,Washington,WAS,,,,,,,,103.829,,
1970-12-31,Washington,WAS,,,,,,,,103.829,,
1971-01-31,Washington,WAS,,,,,,,,105.1,,
1971-02-28,Washington,WAS,,,,,,,,105.1,,
1971-03-31,Washington,WAS,,,,,,,,105.1,,
1971-04-30,Washington,WAS,,,,,,,,105.1,,
1971-05-31,Washington,WAS,,,,,,,,105.1,,
1971-06-30,Washington,WAS,,,,,,,,105.1,,
1971-07-31,Washington,WAS,,,,,,,,105.1,,
1971-08-31,Washington,WAS,,,,,,,,105.1,,
1971-09-30,Washington,WAS,,,,,,,,105.1,,
1971-10-31,Washington,WAS,,,,,,,,105.1,,
1971-11-30,Washington,WAS,,,,,,,,105.1,,
1971-12-31,Washington,WAS,,,,,,,,105.1,,
1972-01-31,Washington,WAS,,,,,,,,106.1,,
1972-02-29,Washington,WAS,,,,,,,,106.1,,
1972-03-31,Washington,WAS,,,,,,,,106.1,,
1972-04-30,Washington,WAS,,,,,,,,106.1,,
1972-05-31,Washington,WAS,,,,,,,,106.1,,
1972-06-30,Washington,WAS,,,,,,,,106.1,,
1972-07-31,Washington,WAS,,,,,,,,106.1,,
1972-08-31,Washington,WAS,,,,,,,,106.1,,
1972-09-30,Washington,WAS,,,,,,,,106.1,,
1972-10-31,Washington,WAS,,,,,,,,106.1,,
1972-11-30,Washington,WAS,,,,,,,,106.1,,
1972-12-31,Washington,WAS,,,,,,,,106.1,,
1973-01-31,Washington,WAS,,,,,,,,107.3,,
1973-02-28,Washington,WAS,,,,,,,,107.3,,
1973-03-31,Washington,WAS,,,,,,,,107.3,,
1973-04-30,Washington,WAS,,,,,,,,107.3,,
1973-05-31,Washington,WAS,,,,,,,,107.3,,
1973-06-30,Washington,WAS,,,,,,,,107.3,,
1973-07-31,Washington,WAS,,,,,,,,107.3,,
1973-08-31,Washington,WAS,,,,,,,,107.3,,
1973-09-30,Washington,WAS,,,,,,,,107.3,,
1973-10-31,Washington,WAS,,,,,,,,107.3,,
1973-11-30,Washington,WAS,,,,,,,,107.3,,
1973-12-31,Washington,WAS,,,,,,,,107.3,,
1974-01-31,Washington,WAS,,,,,,,,108.6,,
1974-02-28,Washington,WAS,,,,,,,,108.6,,
1974-03-31,Washington,WAS,,,,,,,,108.6,,
1974-04-30,Washington,WAS,,,,,,,,108.6,,
1974-05-31,Washington,WAS,,,,,,,,108.6,,
1974-06-30,Washington,WAS,,,,,,,,108.6,,
1974-07-31,Washington,WAS,,,,,,,,108.6,,
1974-08-31,Washington,WAS,,,,,,,,108.6,,
1974-09-30,Washington,WAS,,,,,,,,108.6,,
1974-10-31,Washington,WAS,,,,,,,,108.6,,
1974-11-30,Washington,WAS,,,,,,,,108.6,,
1974-12-31,Washington,WAS,,,,,,,,108.6,,
1975-01-31,Washington,WAS,26.03,,,,,,,110.1,,
1975-02-28,Washington,WAS,26.03,,,,,,,110.1,,
1975-03-31,Washington,WAS,26.03,,,,,,,110.1,,
1975-04-30,Washington,WAS,26.03,,,,,,,110.1,,
1975-05-31,Washington,WAS,26.03,,,,,,,110.1,,
1975-06-30,Washington,WAS,26.03,,,,,,,110.1,,
1975-07-31,Washington,WAS,26.03,,,,,,,110.1,,
