date,value
1989-01-01,14.9
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,16.5
1994-01-01,
1995-01-01,16.3
1996-01-01,
1997-01-01,15.9
1998-01-01,15.1
1999-01-01,13.4
2000-01-01,13.8
2001-01-01,13.1
2002-01-01,13.9
2003-01-01,13.6
2004-01-01,14.2
2005-01-01,15.0
2006-01-01,14.9
2007-01-01,14.2
2008-01-01,15.3
2009-01-01,16.6
2010-01-01,17.1
2011-01-01,19.1
2012-01-01,18.1
2013-01-01,18.6
2014-01-01,18.5
2015-01-01,20.0
2016-01-01,17.2
2017-01-01,17.0
2018-01-01,16.7
2019-01-01,16.0
2020-01-01,14.7
2021-01-01,16.4
2022-01-01,18.1
2023-01-01,18.8
