date,value
1989-01-01,5.4
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,6.8
1994-01-01,
1995-01-01,5.4
1996-01-01,
1997-01-01,5.3
1998-01-01,5.5
1999-01-01,5.2
2000-01-01,5.2
2001-01-01,5.1
2002-01-01,5.6
2003-01-01,6.2
2004-01-01,6.5
2005-01-01,5.4
2006-01-01,4.8
2007-01-01,5.0
2008-01-01,5.0
2009-01-01,6.8
2010-01-01,6.6
2011-01-01,6.5
2012-01-01,6.3
2013-01-01,7.3
2014-01-01,6.7
2015-01-01,6.0
2016-01-01,7.0
2017-01-01,6.1
2018-01-01,7.0
2019-01-01,5.8
2020-01-01,5.2
2021-01-01,6.2
2022-01-01,6.4
2023-01-01,6.3
