date,value
1990-01-01,3911.0
1991-01-01,2464.0
1992-01-01,3615.0
1993-01-01,3730.0
1994-01-01,3257.0
1995-01-01,3288.0
1996-01-01,3083.0
1997-01-01,2606.0
1998-01-01,3638.0
1999-01-01,3633.0
2000-01-01,3078.0
2001-01-01,2492.0
2002-01-01,2359.0
2003-01-01,3001.0
2004-01-01,2364.0
2005-01-01,2495.0
2006-01-01,1414.0
2007-01-01,1831.0
2008-01-01,974.0
2009-01-01,1175.0
2010-01-01,1711.0
2011-01-01,2360.0
2012-01-01,1595.0
2013-01-01,1851.0
2014-01-01,2441.0
2015-01-01,2656.0
2016-01-01,2394.0
2017-01-01,2406.0
2018-01-01,2046.0
2019-01-01,2650.0
2020-01-01,1976.0
2021-01-01,1745.0
2022-01-01,1825.0
2023-01-01,1069.0
2024-01-01,1304.0
