date,value
1975-01-01,29.47
1976-01-01,32.86
1977-01-01,34.87
1978-01-01,39.04
1979-01-01,42.54
1980-01-01,47.02
1981-01-01,51.65
1982-01-01,47.9
1983-01-01,52.87
1984-01-01,56.0
1985-01-01,58.54
1986-01-01,63.15
1987-01-01,68.7
1988-01-01,76.19
1989-01-01,81.07
1990-01-01,84.09
1991-01-01,86.05
1992-01-01,88.03
1993-01-01,88.51
1994-01-01,88.82
1995-01-01,88.95
1996-01-01,90.33
1997-01-01,91.37
1998-01-01,93.88
1999-01-01,95.47
2000-01-01,100.0
2001-01-01,106.34
2002-01-01,113.95
2003-01-01,121.67
2004-01-01,141.35
2005-01-01,172.8
2006-01-01,196.03
2007-01-01,202.75
2008-01-01,195.61
2009-01-01,177.4
2010-01-01,166.7
2011-01-01,157.67
2012-01-01,153.99
2013-01-01,155.88
2014-01-01,160.08
2015-01-01,163.26
2016-01-01,167.24
2017-01-01,171.59
2018-01-01,176.47
2019-01-01,181.53
2020-01-01,186.36
2021-01-01,203.1
2022-01-01,226.46
2023-01-01,240.46
2024-01-01,251.33
