date,value
1990-01-01,4324.0
1991-01-01,3185.0
1992-01-01,5156.0
1993-01-01,3521.0
1994-01-01,3387.0
1995-01-01,2545.0
1996-01-01,2355.0
1997-01-01,2983.0
1998-01-01,2208.0
1999-01-01,3752.0
2000-01-01,2707.0
2001-01-01,3153.0
2002-01-01,2706.0
2003-01-01,2599.0
2004-01-01,2103.0
2005-01-01,1936.0
2006-01-01,2217.0
2007-01-01,1143.0
2008-01-01,1528.0
2009-01-01,1021.0
2010-01-01,1230.0
2011-01-01,487.0
2012-01-01,695.0
2013-01-01,1102.0
2014-01-01,1004.0
2015-01-01,1312.0
2016-01-01,1293.0
2017-01-01,1376.0
2018-01-01,2107.0
2019-01-01,1417.0
2020-01-01,1447.0
2021-01-01,986.0
2022-01-01,335.0
2023-01-01,1673.0
2024-01-01,1511.0
