date,value
1975-01-01,24.25
1976-01-01,28.63
1977-01-01,29.26
1978-01-01,32.65
1979-01-01,36.74
1980-01-01,39.14
1981-01-01,45.99
1982-01-01,41.24
1983-01-01,47.7
1984-01-01,50.5
1985-01-01,54.43
1986-01-01,58.94
1987-01-01,64.65
1988-01-01,71.32
1989-01-01,74.46
1990-01-01,77.16
1991-01-01,78.85
1992-01-01,81.35
1993-01-01,82.32
1994-01-01,81.97
1995-01-01,81.08
1996-01-01,82.57
1997-01-01,83.43
1998-01-01,87.47
1999-01-01,92.08
2000-01-01,100.0
2001-01-01,109.8
2002-01-01,119.71
2003-01-01,130.01
2004-01-01,149.24
2005-01-01,180.52
2006-01-01,206.12
2007-01-01,218.26
2008-01-01,212.6
2009-01-01,194.06
2010-01-01,180.19
2011-01-01,169.83
2012-01-01,167.56
2013-01-01,173.23
2014-01-01,180.54
2015-01-01,185.38
2016-01-01,191.84
2017-01-01,195.88
2018-01-01,198.82
2019-01-01,202.84
2020-01-01,208.15
2021-01-01,224.53
2022-01-01,246.57
2023-01-01,258.12
2024-01-01,265.96
