date,value
1990-01-01,240.0
1991-01-01,530.0
1992-01-01,78.0
1993-01-01,264.0
1994-01-01,185.0
1995-01-01,316.0
1996-01-01,107.0
1997-01-01,22.0
1998-01-01,64.0
1999-01-01,191.0
2000-01-01,257.0
2001-01-01,195.0
2002-01-01,293.0
2003-01-01,695.0
2004-01-01,740.0
2005-01-01,1256.0
2006-01-01,649.0
2007-01-01,319.0
2008-01-01,1080.0
2009-01-01,341.0
2010-01-01,369.0
2011-01-01,989.0
2012-01-01,730.0
2013-01-01,1257.0
2014-01-01,821.0
2015-01-01,1293.0
2016-01-01,943.0
2017-01-01,438.0
2018-01-01,1547.0
2019-01-01,510.0
2020-01-01,1621.0
2021-01-01,1557.0
2022-01-01,1657.0
2023-01-01,1843.0
2024-01-01,1273.0
