date,value
1978-01-01,31.88
1979-01-01,39.38
1980-01-01,41.55
1981-01-01,40.66
1982-01-01,43.48
1983-01-01,47.14
1984-01-01,50.18
1985-01-01,54.14
1986-01-01,57.03
1987-01-01,62.9
1988-01-01,70.94
1989-01-01,77.63
1990-01-01,82.85
1991-01-01,84.7
1992-01-01,87.47
1993-01-01,87.75
1994-01-01,87.49
1995-01-01,87.86
1996-01-01,89.77
1997-01-01,91.12
1998-01-01,94.94
1999-01-01,95.56
2000-01-01,100.0
2001-01-01,106.07
2002-01-01,114.82
2003-01-01,124.66
2004-01-01,148.98
2005-01-01,183.18
2006-01-01,208.77
2007-01-01,205.95
2008-01-01,193.11
2009-01-01,174.79
2010-01-01,162.39
2011-01-01,154.66
2012-01-01,152.42
2013-01-01,153.35
2014-01-01,157.74
2015-01-01,159.31
2016-01-01,162.13
2017-01-01,166.22
2018-01-01,169.53
2019-01-01,173.83
2020-01-01,179.5
2021-01-01,195.84
2022-01-01,217.01
2023-01-01,225.66
2024-01-01,239.81
