date,value
1990-01-01,954.0
1991-01-01,870.0
1992-01-01,866.0
1993-01-01,960.0
1994-01-01,880.0
1995-01-01,1210.0
1996-01-01,814.0
1997-01-01,815.0
1998-01-01,845.0
1999-01-01,983.0
2000-01-01,931.0
2001-01-01,886.0
2002-01-01,928.0
2003-01-01,791.0
2004-01-01,525.0
2005-01-01,488.0
2006-01-01,305.0
2007-01-01,333.0
2008-01-01,252.0
2009-01-01,260.0
2010-01-01,222.0
2011-01-01,223.0
2012-01-01,276.0
2013-01-01,221.0
2014-01-01,213.0
2015-01-01,332.0
2016-01-01,236.0
2017-01-01,263.0
2018-01-01,184.0
2019-01-01,430.0
2020-01-01,339.0
2021-01-01,240.0
2022-01-01,127.0
2023-01-01,95.0
2024-01-01,101.0
