date,value
1970-01-01,20.682
1971-01-01,22.0
1972-01-01,23.0
1973-01-01,23.7
1974-01-01,25.1
1975-01-01,26.8
1976-01-01,27.9
1977-01-01,29.9
1978-01-01,31.7
1979-01-01,33.6
1980-01-01,34.638
1981-01-01,35.8
1982-01-01,36.225
1983-01-01,37.239
1984-01-01,38.576
1985-01-01,40.101
1986-01-01,42.147
1987-01-01,44.86
1988-01-01,47.177
1989-01-01,49.352
1990-01-01,51.954
1991-01-01,54.366
1992-01-01,56.829
1993-01-01,59.32
1994-01-01,61.706
1995-01-01,63.913
1996-01-01,66.189
1997-01-01,68.641
1998-01-01,71.019
1999-01-01,72.858
2000-01-01,75.157
2001-01-01,77.34
2002-01-01,80.366
2003-01-01,83.305
2004-01-01,85.291
2005-01-01,86.723
2006-01-01,87.553
2007-01-01,88.098
2008-01-01,88.576
2009-01-01,89.166
2010-01-01,88.989
2011-01-01,89.346
2012-01-01,89.746
2013-01-01,90.486
2014-01-01,90.595
2015-01-01,90.542
2016-01-01,91.116
2017-01-01,91.492
2018-01-01,92.131
2019-01-01,92.66
2020-01-01,92.921
2021-01-01,94.249
2022-01-01,94.652
2023-01-01,94.828
2024-01-01,94.913
