date,value
1991-01-01,79.04
1992-01-01,77.34
1993-01-01,82.23
1994-01-01,84.27
1995-01-01,82.16
1996-01-01,86.97
1997-01-01,89.02
1998-01-01,92.95
1999-01-01,95.47
2000-01-01,100.0
2001-01-01,105.41
2002-01-01,114.86
2003-01-01,122.73
2004-01-01,144.38
2005-01-01,175.62
2006-01-01,197.46
2007-01-01,200.18
2008-01-01,196.01
2009-01-01,173.72
2010-01-01,153.5
2011-01-01,143.26
2012-01-01,138.05
2013-01-01,137.13
2014-01-01,137.13
2015-01-01,138.1
2016-01-01,143.09
2017-01-01,150.29
2018-01-01,157.96
2019-01-01,160.32
2020-01-01,170.23
2021-01-01,186.23
2022-01-01,212.7
2023-01-01,227.12
2024-01-01,241.73
