date,value
1990-01-01,213.0
1991-01-01,201.0
1992-01-01,262.0
1993-01-01,217.0
1994-01-01,166.0
1995-01-01,147.0
1996-01-01,173.0
1997-01-01,167.0
1998-01-01,177.0
1999-01-01,199.0
2000-01-01,154.0
2001-01-01,176.0
2002-01-01,174.0
2003-01-01,260.0
2004-01-01,316.0
2005-01-01,362.0
2006-01-01,194.0
2007-01-01,91.0
2008-01-01,91.0
2009-01-01,44.0
2010-01-01,67.0
2011-01-01,29.0
2012-01-01,28.0
2013-01-01,39.0
2014-01-01,35.0
2015-01-01,46.0
2016-01-01,85.0
2017-01-01,55.0
2018-01-01,59.0
2019-01-01,65.0
2020-01-01,75.0
2021-01-01,95.0
2022-01-01,69.0
2023-01-01,69.0
2024-01-01,55.0
