date,value
1970-01-01,69.006
1971-01-01,71.3
1972-01-01,74.2
1973-01-01,76.3
1974-01-01,78.6
1975-01-01,80.3
1976-01-01,83.5
1977-01-01,87.5
1978-01-01,91.3
1979-01-01,94.7
1980-01-01,96.356
1981-01-01,98.648
1982-01-01,100.024
1983-01-01,101.608
1984-01-01,104.078
1985-01-01,106.817
1986-01-01,110.119
1987-01-01,114.097
1988-01-01,117.436
1989-01-01,120.729
1990-01-01,124.086
1991-01-01,126.918
1992-01-01,129.463
1993-01-01,131.653
1994-01-01,134.779
1995-01-01,138.291
1996-01-01,141.438
1997-01-01,144.538
1998-01-01,146.977
1999-01-01,149.149
2000-01-01,151.561
2001-01-01,154.39
2002-01-01,158.542
2003-01-01,162.25
2004-01-01,164.983
2005-01-01,166.798
2006-01-01,168.463
2007-01-01,169.251
2008-01-01,169.628
2009-01-01,169.791
2010-01-01,167.23
2011-01-01,167.072
2012-01-01,167.085
2013-01-01,167.264
2014-01-01,167.383
2015-01-01,167.201
2016-01-01,167.189
2017-01-01,167.687
2018-01-01,168.421
2019-01-01,168.774
2020-01-01,172.91
2021-01-01,174.282
2022-01-01,175.569
2023-01-01,176.735
2024-01-01,177.108
