date,value
1979-01-01,37.53
1980-01-01,41.12
1981-01-01,39.0
1982-01-01,42.15
1983-01-01,47.35
1984-01-01,48.61
1985-01-01,50.3
1986-01-01,54.47
1987-01-01,61.15
1988-01-01,69.95
1989-01-01,78.56
1990-01-01,82.28
1991-01-01,84.96
1992-01-01,86.8
1993-01-01,87.32
1994-01-01,86.73
1995-01-01,88.39
1996-01-01,90.12
1997-01-01,91.09
1998-01-01,95.38
1999-01-01,96.45
2000-01-01,100.0
2001-01-01,106.17
2002-01-01,112.58
2003-01-01,120.18
2004-01-01,138.17
2005-01-01,165.31
2006-01-01,185.07
2007-01-01,188.01
2008-01-01,180.9
2009-01-01,165.6
2010-01-01,156.69
2011-01-01,148.87
2012-01-01,143.05
2013-01-01,142.66
2014-01-01,145.42
2015-01-01,143.98
2016-01-01,148.57
2017-01-01,150.94
2018-01-01,156.89
2019-01-01,163.26
2020-01-01,168.74
2021-01-01,186.93
2022-01-01,209.23
2023-01-01,224.73
2024-01-01,238.81
