date,value
1989-01-01,7.5
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,9.0
1994-01-01,
1995-01-01,8.6
1996-01-01,
1997-01-01,9.0
1998-01-01,8.0
1999-01-01,7.4
2000-01-01,7.1
2001-01-01,6.7
2002-01-01,7.3
2003-01-01,7.8
2004-01-01,8.1
2005-01-01,8.1
2006-01-01,7.8
2007-01-01,9.3
2008-01-01,7.2
2009-01-01,10.0
2010-01-01,10.5
2011-01-01,9.7
2012-01-01,11.9
2013-01-01,9.8
2014-01-01,10.6
2015-01-01,10.0
2016-01-01,10.0
2017-01-01,9.7
2018-01-01,8.3
2019-01-01,10.3
2020-01-01,8.8
2021-01-01,10.9
2022-01-01,9.5
2023-01-01,10.0
