date,value
1970-01-01,53.291
1971-01-01,54.8
1972-01-01,54.9
1973-01-01,56.0
1974-01-01,56.0
1975-01-01,56.6
1976-01-01,56.1
1977-01-01,56.8
1978-01-01,57.8
1979-01-01,59.4
1980-01-01,60.43
1981-01-01,61.112
1982-01-01,62.067
1983-01-01,62.302
1984-01-01,63.517
1985-01-01,64.105
1986-01-01,65.368
1987-01-01,67.001
1988-01-01,68.525
1989-01-01,69.853
1990-01-01,71.866
1991-01-01,73.275
1992-01-01,74.57
1993-01-01,75.875
1994-01-01,77.031
1995-01-01,78.315
1996-01-01,79.441
1997-01-01,80.952
1998-01-01,82.603
1999-01-01,84.591
2000-01-01,86.474
2001-01-01,88.246
2002-01-01,90.066
2003-01-01,92.407
2004-01-01,94.698
2005-01-01,96.672
2006-01-01,98.591
2007-01-01,99.428
2008-01-01,100.024
2009-01-01,100.61
2010-01-01,101.161
2011-01-01,101.583
2012-01-01,101.78
2013-01-01,101.94
2014-01-01,102.252
2015-01-01,102.453
2016-01-01,102.609
2017-01-01,102.509
2018-01-01,102.816
2019-01-01,103.092
2020-01-01,103.805
2021-01-01,104.073
2022-01-01,104.939
2023-01-01,105.676
2024-01-01,106.305
