date,value
1976-01-01,35.34
1977-01-01,36.39
1978-01-01,35.17
1979-01-01,44.72
1980-01-01,46.78
1981-01-01,51.86
1982-01-01,
1983-01-01,53.02
1984-01-01,59.37
1985-01-01,61.45
1986-01-01,65.72
1987-01-01,69.77
1988-01-01,77.76
1989-01-01,85.61
1990-01-01,91.39
1991-01-01,91.95
1992-01-01,93.83
1993-01-01,94.07
1994-01-01,93.02
1995-01-01,92.89
1996-01-01,93.87
1997-01-01,94.06
1998-01-01,95.89
1999-01-01,97.33
2000-01-01,100.0
2001-01-01,106.21
2002-01-01,114.64
2003-01-01,123.98
2004-01-01,148.8
2005-01-01,186.42
2006-01-01,213.48
2007-01-01,214.45
2008-01-01,196.42
2009-01-01,169.12
2010-01-01,155.56
2011-01-01,146.56
2012-01-01,141.27
2013-01-01,141.25
2014-01-01,147.82
2015-01-01,150.98
2016-01-01,154.5
2017-01-01,159.01
2018-01-01,163.61
2019-01-01,170.69
2020-01-01,178.83
2021-01-01,198.57
2022-01-01,222.04
2023-01-01,226.0
2024-01-01,244.35
