date,value
1990-01-01,703.0
1991-01-01,752.0
1992-01-01,941.0
1993-01-01,1077.0
1994-01-01,1060.0
1995-01-01,1051.0
1996-01-01,1207.0
1997-01-01,1263.0
1998-01-01,1517.0
1999-01-01,1211.0
2000-01-01,1233.0
2001-01-01,1368.0
2002-01-01,1470.0
2003-01-01,1244.0
2004-01-01,1000.0
2005-01-01,1309.0
2006-01-01,1327.0
2007-01-01,908.0
2008-01-01,706.0
2009-01-01,714.0
2010-01-01,576.0
2011-01-01,717.0
2012-01-01,671.0
2013-01-01,1391.0
2014-01-01,790.0
2015-01-01,1214.0
2016-01-01,869.0
2017-01-01,682.0
2018-01-01,734.0
2019-01-01,776.0
2020-01-01,735.0
2021-01-01,931.0
2022-01-01,992.0
2023-01-01,1123.0
2024-01-01,1542.0
