date,value
1970-01-01,47.678
1971-01-01,50.8
1972-01-01,54.2
1973-01-01,56.5
1974-01-01,58.6
1975-01-01,60.7
1976-01-01,63.0
1977-01-01,65.6
1978-01-01,68.4
1979-01-01,71.2
1980-01-01,72.751
1981-01-01,76.182
1982-01-01,77.897
1983-01-01,79.25
1984-01-01,81.976
1985-01-01,84.585
1986-01-01,87.944
1987-01-01,92.431
1988-01-01,95.375
1989-01-01,98.945
1990-01-01,101.751
1991-01-01,103.731
1992-01-01,105.174
1993-01-01,106.599
1994-01-01,108.159
1995-01-01,110.196
1996-01-01,111.641
1997-01-01,113.563
1998-01-01,116.177
1999-01-01,118.571
2000-01-01,121.188
2001-01-01,124.657
2002-01-01,127.647
2003-01-01,131.099
2004-01-01,134.307
2005-01-01,136.887
2006-01-01,139.124
2007-01-01,140.434
2008-01-01,141.233
2009-01-01,141.981
2010-01-01,147.159
2011-01-01,149.215
2012-01-01,150.7
2013-01-01,152.71
2014-01-01,154.448
2015-01-01,155.775
2016-01-01,157.474
2017-01-01,159.718
2018-01-01,161.879
2019-01-01,163.733
2020-01-01,166.692
2021-01-01,168.822
2022-01-01,170.376
2023-01-01,172.268
2024-01-01,174.478
